english,tune
We hear children.,wola yidi kikmisa
The leaf is green.,dan lifa miq gunu
You see red dirt.,yara visi red darda
The small child jumps.,dan xib kika djami
My parents are here.,musta sasmisa miq hema
What is the year?,wec miq dan yeza
I have a good family.,musta hav med tav fama
There are two fruits.,kema miq noc viqmisa
This leaf is small and green.,kim lifa miq xibu gim gunu
My sibling is home again.,musta zbula miq homa gon
The white rock moves.,dan wiq raka fraCmisa
Are you calm today?,miq yara kamu kimlyam
Find the purple fruit!,fani dan pin viqa
Who is your sibling?,fip miq yara zbula
I am behind the tree.,musta miq giqe dan toka
The dirt is black.,dan darda miq bulu
Can you see us?,gin yara visi wola
They cannot hear you.,Cefa pim yidi yara
Jump three times.,djami dem timsmisa
Find it again.,fani hina gon
Her friend is climbing a tree.,gesa vrina miq klimreCi med toka
The red fruit is close to you.,dan red viqa miq losi nime yara
How do I find the biggest tree?,niq tim musta fani dan bigmiz toka
It is time to dig for rocks.,hina miq kala nime promi vore rakmisa
What color is the star tonight?,wec glora miq dan zita kimfid
I do not know the time.,musta tim pim nomi dan kala
Is your rock purple or white?,miq yara raka pinu pik wiqu
Calling her parents is too hard.,kugreCi gesa sasmisa miq mip haru
Did you see the yellow star?,tim yara visi dan yul zita
"Count one, two, three.",ciki med noc dem
She will call me tomorrow.,gesa wul kugi musta faplyama
He was your first friend.,bima miq yara deqa vrina
"I want to see, too.",musta weni nime visi mip
I see a lot of dirt over there.,musta visi med zbeqa dige darda riqe kema
This is not a very ripe piece of fruit.,kim miq pim med cin flux nebda dige viqa
"Why will she be wild today, do you think?",won wul gesa miq gloku kimlyam tim yara cibi
I am the middle child of my family.,musta miq dan moda kika dige musta fama
She was very small last year.,gesa miq cin xib lasa yeza
Do not move my small fruit!,tim pim muvi musta xib viqa
Will I find them behind a tree?,wul musta fani Cefa giqe med toka
She said I should not climb there.,gesa vibsuti musta gas pim klimi kema
I like that you always have a plan.,musta like Cat yara conkal hav med blana
We are too far away to see the tree.,wola miq mip fada nibe nime visi dan toka
It would be good to see my home again.,hina wul miq tavu nime visi musta homa gon
Get off that tree or I will call your parents!,gemi vone Cat toka pik musta wul kugi yara sasmisa
He thought she could see him.,bima cibsuti gesa gin visi bima
It is hard to have so much energy.,hina miq haru nime hav Cim cruja xiqa
I planned to call you yesterday.,musta blansuta nime kugi yara beflyama
Don't dig over there because it's too far.,pim promi riqe kema puk miq mip fada
What time did he say he would call?,wec kala tim bima vibi bima wul kugi
Maybe they should go home now.,mub Cefa gas higi homa xoma
They had not looked for a rock of that color.,Cefa hav pim lugsuti vore med raka dige Cat glora
He used to be our calmest friend.,bima yuzlsuta nime miq wola kamlmiz vrina
They wanted us to find a purple leaf.,Cefa wensuti wola nime fani med pin lifa
When can you plan our next dig?,win gin yara blana wola gena promi
Please move it to a better time.,bliz muvi hina nime med jipsa kala
Is it too late to call your parents?,miq hina mip litsa nime kugi yara sasmisa
I didn't plan on doing that ever again!,musta pim blana neve reC Cat vrala gon
I wish you could see this like I do.,musta wiksa yara gin visi kim like musta tim
Will you only look for your family?,wul yara nal lugi vore yara fama
We have seen the star high in the sky.,wola hav visdoni dan zita tiku nute dan xuma
We are aboard a boat.,wola miq broda med yafta
She talked about the sun.,gesa taksuta dije dan sana
The sky is above the sea.,dan xuma miq suze dan tigza
They will be across the water.,Cefa wul miq seCe dan wota
He wanted to rest after the long night.,bima wensuti nime reqa fape dan len fida
Are you with them or against them?,miq yara wime Cefa pik zife Cefa
We walked along the trail for an hour.,wola woksuti jife dan djema vore med harsa
There might be animals among us.,kema bip miq yimlmisa maga wola
