concept,form,shape,role,uses,source,english
the,dan,CVC,bare,754,pin,the
plural,mis,CVC,bare,506,pin,plural
be,biq,CVC,bare,483,pin,am are be been being he's i'm is it's there's was were
me,mep,CVC,entity,296,pin,i me mine my myself
past,sut,CVC,bare,276,pin,past
one,med,CVC,bare,249,pin,a an another one
doing,reC,CVC,bare,220,pin,doing
to,nal,CVC,relation,210,assigned,to
you,din,CVC,entity,174,pin,you you're your yours yourself
in,nim,CVC,relation,161,pin,in into within
and,gin,CVC,bare,144,assigned,and
of,dag,CVC,relation,140,assigned,of
she,kes,CVC,entity,139,assigned,her hers she
we,bik,CVC,entity,139,assigned,our ourselves us we we're
have,hav,CVC,bare,118,pin,had has have i've
it,tik,CVC,entity,113,pin,it its itself
this,kid,CVC,bare,102,pin,these this today tonight
he,pig,CVC,entity,99,assigned,he him his
not,tiv,CVC,bare,92,assigned,aren't can't cannot couldn't didn't doesn't don't isn't no not shouldn't won't wouldn't
will,xiq,CVC,bare,84,pin,i'll we'll will would
manner,hiq,CVC,bare,78,assigned,manner
day,yam,CVC,entity,76,pin,day days evening morning today tomorrow yesterday
they,zip,CVC,entity,76,assigned,their them they
that,kab,CVC,bare,71,pin,that those
all,lax,CVC,bare,67,pin,all always everyone everything everywhere forever
on,nev,CVC,relation,63,pin,on onto
see,vis,CVC,action,61,pin,saw see seeing seen
do,vim,CVC,bare,56,assigned,did do does
forest,faras,CVCVC,entity,55,assigned,forest forests
at,fik,CVC,relation,52,assigned,at
for,fral,CCVC,relation,52,assigned,for
tree,ten,CVC,entity,52,pin,tree tree's woodpecker
go,xib,CVC,action,49,assigned,go goes going gone went
can,jid,CVC,bare,48,assigned,can could
full,vul,CVC,bare,48,assigned,full
time,tiz,CVC,entity,48,pin,always forever sometimes time
with,wim,CVC,relation,45,pin,with
as,Cin,CVC,relation,44,assigned,as
from,fram,CCVC,relation,44,assigned,from
sun,san,CVC,entity,43,pin,sun sunlight sunrise suns sunset sunshine
