english,parts,forms,form,uses
today,this + day,kim + yam,kimlyam,15
morning,day + begin,yam + beg,yambeg,11
always,all + time,con + kal,conkal,10
everything,all + thing,con + kin,conkin,9
rainbow,rain + arc,rex + raks,rexraks,8
tonight,this + night,kim + fid,kimfid,8
another,one + other,med + kor,medkor,7
evening,day + end,yam + neq,yamneq,6
tomorrow,after + day,fap + yam,faplyam,6
yesterday,before + day,bef + yam,beflyam,6
anything,any + thing,nec + kin,neckin,5
butterfly,flutter + bug,flat + bug,flatbug,5
everyone,all + person,con + tid,contid,5
sunset,sun + sink,san + sek,sansek,5
sunshine,sun + shine,san + diqg,sandiqg,5
anyone,any + person,nec + tid,nectid,4
everywhere,all + place,con + pak,conpak,4
forever,all + time,con + kal,conkal,4
afternoon,after + noon,fap + nons,fapnons,3
desert,dry + land,dar + lon,darwalon,3
something,some + thing,lin + kin,linkin,3
sometimes,some + time,lin + kal,linkal,3
sunlight,sun + light,san + zib,sanzib,3
grasshopper,grass + hop,gar + hap,garhap,2
island,water + land,wot + lon,wotlon,2
landscape,land + view,lon + labd,lonlabd,2
myself,me + self,must + sef,mustsef,2
ourselves,we + self,wol + sef,wolsef,2
somewhere,some + place,lin + pak,linpak,2
sunrise,sun + rise,san + rez,sanrez,2
blackberry,black + berry,bul + bral,bulbral,1
eyelid,eye + lid,haq + feq,haqfeq,1
hilltop,hill + top,vefs + tub,vefstub,1
itself,it + self,hin + sef,hinsef,1
midnight,middle + night,mod + fid,modfid,1
moonlight,moon + light,lun + zib,lunzib,1
raindrop,rain + drop,rex + drip,rexdrip,1
raspberry,red + berry,red + bral,redbral,1
someone,some + person,lin + tid,lintid,1
waterfall,water + fall,wot + zor,wotzor,1
woodpecker,tree + peck,tok + klut,toklklut,1
yourself,you + self,yar + sef,yarsef,1
