english,base,build,form,uses,note
a,one,one,med,197,
is,be,be,biq,188,
i,me,me,mib,184,
are,be,be,biq,91,
was,be,be,biq,88,
my,me,me,mib,69,
her,she,she,kes,53,
trees,tre,tre + plural,taralmis,29,"stem guessed, review"
would,will,will,wol,24,
has,have,have,hav,24,
your,you,you,gin,23,
beautiful,beauty,beauty + full,betalfal,23,
us,we,we,pig,21,
were,be,be,biq,21,
don't,not,not,nat,20,
him,he,he,kim,19,
had,have,have,hav,19,
leaves,leaf,leaf + plural,lefmis,19,
birds,bird,bird + plural,bartmis,19,
could,can,can,kon,18,
animals,animal,animal + plural,niCmis,18,
into,in,in,dim,18,
flowers,flower,flower + plural,flormis,18,
our,we,we,pig,16,
an,one,one,med,16,
his,he,he,kim,15,
them,they,they,zin,14,
it's,be,be,biq,14,
let's,let,let,lit,14,
did,do,do,jin,13,
no,not,not,nat,13,
rocks,rock,rock + plural,rakmis,12,
seen,see,see + done,ximdon,12,
stars,star,star + plural,starmis,12,
does,do,do,jin,11,
made,make,make + past,makpas,11,
been,be,be,biq,10,
covered,cover,cover + past,kavarpas,10,
best,good,good + most,tafmaz,10,
eyes,eye,eye + plural,haqmis,10,
its,it,it,tik,10,
am,be,be,biq,9,
berries,berry,berry + plural,baralmis,9,
children,child,child + plural,kikmis,8,
wanted,want,want + past,wintpas,8,
sitting,sit,sit + doing,sitalwareC,8,
going,go,go + doing,cinreC,8,
their,they,they,zin,8,
those,that,that,kat,8,
clouds,cloud,cloud + plural,gladmis,8,
walked,walk,walk + past,wolakpas,7,
can't,not,not,nat,7,
which,what,what,wut,7,
looked,look,look + past,lokpas,6,
loves,lov,lov + plural,lavalmis,6,"stem guessed, review"
years,year,year + plural,yarmis,6,
looking,look,look + doing,lokreC,6,
plants,plant,plant,blan,6,
got,get,get + past,getpas,6,
brought,bring,bring + past,barinpas,6,
saw,see,see + past,ximpas,6,
these,this,this,sis,6,
making,make,make + doing,makreC,6,
bushes,bush,bush + plural,bakasmis,6,
mountains,mountain,mountain + plural,monotmis,6,
friends,friend,friend + plural,farinmis,6,
ears,ear,ear + plural,Cibmis,6,"stem guessed, review"
parents,parent,parent + plural,parunmis,5,
fruits,fruit,fruit + plural,fratmis,5,
cannot,not,not,nat,5,
used,use,use + past,yuwagpas,5,
swimming,swim,swim + doing,siwamreC,5,
won't,not,not,nat,5,
playing,play,play + doing,xibreC,5,
ran,run,run + past,ranalpas,5,
interesting,interest,interest + doing,nitarlreC,5,"stem guessed, review"
falling,fall,fall + doing,falarlreC,5,
filled,fill,fill + past,salenpas,5,
times,tim,tim + plural,timalmis,4,"stem guessed, review"
climbing,climb,climb + doing,kalimreC,4,
didn't,not,not,nat,4,
might,may,may,cid,4,
wants,want,want,wint,4,
people,person,person + plural,parzmis,4,
heard,hear,hear + past,Ciqpas,4,
wouldn't,not,not,nat,4,
i've,have,have,hav,4,
makes,mak,mak + plural,palemlmis,4,"stem guessed, review"
went,go,go + past,cinpas,4,
hills,hill,hill + plural,halarmis,4,
rises,rise,rise,risal,4,
usually,usual,usual + manner,salarhiq,4,"stem guessed, review"
rains,rain,rain + plural,rinmis,4,
delicious,deliciou,deliciou + plural,dalesmis,4,"stem guessed, review"
took,take,take + past,takpas,4,
wonderful,wonder,wonder + full,wenadfal,4,
feet,foot,foot + plural,votmis,4,
riding,ride,ride + doing,ridalwareC,4,
came,come,come + past,gempas,4,
glanced,glanc,glanc + past,galanpas,4,"stem guessed, review"
branches,branch,branch + plural,bronmis,4,
rabbits,rabbit,rabbit + plural,rabatmis,4,
quickly,quick,quick + manner,kiwakhiq,4,
being,be,be,biq,4,
takes,tak,tak + plural,tokolmis,4,"stem guessed, review"
approaches,approach,approach + plural,barotmis,4,"stem guessed, review"
sounds,sound,sound + plural,santmis,4,
things,thing,thing + plural,sinagmis,4,
said,say,say + past,hispas,3,
thought,think,think + past,snikpas,3,
careful,care,care + full,karalfal,3,
walking,walk,walk + doing,wolakreC,3,
running,run,run + doing,ranalwareC,3,
within,in,in,dim,3,
tired,tir,tir + past,tarinpas,3,"stem guessed, review"
coming,come,come + doing,gemreC,3,
jumped,jump,jump + past,dajampas,3,
digging,dig,dig + doing,digalwareC,3,
grew,grow,grow + past,grolpas,3,
longer,long,long + more,lonlib,3,
shouldn't,not,not,nat,3,
shades,shad,shad + plural,kasadmis,3,"stem guessed, review"
dripping,drip,drip + doing,doripreC,3,"stem guessed, review"
felt,feel,feel + past,flanpas,3,
sides,sid,sid + plural,sadanmis,3,"stem guessed, review"
getting,get,get + doing,getreC,3,
lying,lie,lie + doing,xayeCreC,3,"stem guessed, review"
woke,wake,wake + past,wegpas,3,
tides,tid,tid + plural,tidalmis,3,"stem guessed, review"
flying,fly,fly + doing,folorlreC,3,
wolves,wolf,wolf + plural,wolafmis,3,
butterflies,butterfly,butterfly + plural,falatfibmis,3,
we're,we,we,pig,3,
shrubs,shrub,shrub + plural,jiwopmis,3,"stem guessed, review"
having,hav,hav + doing,havalwareC,3,"stem guessed, review"
gets,get,get,get,3,
lights,light,light + plural,ladmis,3,
sat,sit,sit + past,sitalpas,3,
