form,meaning,page,state
simat,symmetry,index,free
nuq,bond,action,free
vut,be,action,free
wug,emanate,action,free
luj,drive,action,free
nav,listen,action,free
buq,go,action,free
lav,love,action,free
cov,brown,color,free
kiz,cyan,color,free
hix,peach,color,free
zet,olive,color,free
lip,list,computation,free
lux,string,computation,free
lus,bit off,computation,free
lap,boolean,computation,free
fal,file,computation,free
lon,loan,computation,free
mix,immutable,computation,free
zok,try,computation,free
vuc,catch,computation,free
bin,bind,computation,free
cat,hook,computation,free
gik,user,computation,free
mav,implementation,computation,free
had,head,computation,free
wit,context,computation,free
kuc,cast,computation,free
ruq,content,computation,free
huv,handle,computation,free
xar,resource,computation,free
hox,host,computation,free
tum,term,computation,free
pud,error,computation,free
bun,halt,computation,free
vor,evaluation,computation,free
xal,of,cradle,free
boc,together,cradle,free
sag,beyond,cradle,free
bis,across,cradle,free
zix,as,cradle,free
saj,beside,cradle,free
rox,to (assign),cradle,free
tub,over,cradle,free
nul,toward,cradle,free
lax,plus,cradle,free
buf,excluding,cradle,free
cum,through,cradle,free
tux,until,cradle,free
Can,than,cradle,free
cin,then,cradle,free
bok,otherwise,cradle,free
wif,iff,cradle,free
cis,unless,cradle,free
Coz,except,cradle,free
yat,yet,cradle,free
hid,but,cradle,free
xev,as soon as (once),cradle,free
hic,either,cradle,free
Cot,though,cradle,free
teq,like (as if),cradle,free
nak,like (filler),cradle,free
maz,as,cradle,free
soz,also,cradle,free
wuC,whether,cradle,free
tev,however,cradle,free
sax,such,cradle,free
nif,a,design,free
hej,every/each,design,free
yod,past tense "-ed" like "created",design,free
kix,x process,design,free
wux,x system,design,free
dom,state of being (-dom),design,free
dax,the state of being x (-acy, -ness, -ship),design,free
nal,period of x (-hood),design,free
yog,practice of focusing on x (-ism),design,free
gin,the nature of doing x (-ence),design,free
mox,the model of the action ("the transform", "the create"),design,free
ciq,thing (hatchling),design,free
gar,language (-ese),design,free
nix,having some aspects of (-ish),design,free
lef,less of (-less),design,free
taz,very much of (-some),design,free
tub,over (overburden),design,free
yip,resembling (-istic),design,free
kif,future tense like "will create",design,free
huf,opposite (anti),design,free
mex,mesh (inter-),design,free
zig,equal (iso-),design,free
rup,partial (semi-),design,free
djen,x generating,design,free
len,general (infinitive "to"),design,free
vak,ever,design,free
smal,small,design,free
brat,large,design,free
drit,right (now),design,free
yov,consequence,design,free
laz,-ize,design,free
rac,straight,gender,free
wos,queer,gender,free
baf,lack (like a-sexual),gender,free
cid,cisgender,gender,free
dij,relatively,manner,free
daf,previously,manner,free
hes,hence,manner,free
sun,soon,manner,free
vuk,ever,manner,free
jed,absolutely,manner,free
Cas,thus,manner,free
wom,well,manner,free
yex,possibly,manner,free
yov,consequently,manner,free
yut,yet,manner,free
yuv,usually,manner,free
besk,basically,manner,free
sadj,besides,manner,free
last,last,manner,free
lored,already,manner,free
lax,add,math,free
vak,multiply,math,free
kuv,divide,math,free
gal,exponentiate,math,free
lug,square root,math,free
rup,logarithm,math,free
vraj,mean (average),math,free
hub,x-axis / horizontal,math,free
payan,$\pi$,math,free
vativ,derivative,math,free
skar,square,math,free
gant,polygon (2d),math,free
hidj,polyhedron (3d),math,free
tolp,polytope (nd),math,free
gac,regular,math,free
drus,radius,math,free
zav,angle,math,free
drig,degree,math,free
rotet,rotate,math,free
sutx,set,math,free
ritx,ring,math,free
flat,flat,math,free
pant,mathematical space,math,free
tarp,topology,math,free
lowaq,groupoid (group theory),math,free
sitx,second,measurement,free
gram,gram,measurement,free
drav,candela,measurement,free
hamp,ampere,measurement,free
webar,weber,measurement,free
farad,farad,measurement,free
homan,ohm,measurement,free
luman,lumen,measurement,free
litar,liter,measurement,free
hoz,position (cardinal),number,free
pum,time (iteration),number,free
wis,inverse,number,free
york,$10^{2}$,number,free
zotx,$10^{3}$,number,free
glez,$10^{4}$,number,free
pogz,$10^{5}$,number,free
drib,$10^{6}$,number,free
kiqk,$10^{15}$,number,free
vrug,$10^{18}$,number,free
morp,$10^{36}$,number,free
widj,$10^{45}$,number,free
bolt,lightning,object,free
frut,fruit,object,free
dort,dirt,object,free
star,star,object,free
vrun,sea/ocean,object,free
yarz,forest,object,free
pem,they/them,object,free
dak,minute,time,free
hek,hour,time,free
mes,month,time,free
ratx,a sound,tone,free
hudj,u sound,tone,free
fred,e sound,tone,free
molt,o sound,tone,free
reqk,english r vowel sound,tone,free
natx,n sound,tone,free
drup,d sound,tone,free
parz,p sound,tone,free
snor,s sound,tone,free
flom,f sound,tone,free
vust,v sound,tone,free
zuqk,z sound,tone,free
xarp,x sound,tone,free
Cork,c sound,tone,free
witx,w sound,tone,free
ladj,l sound,tone,free
ramp,r sound,tone,free
datsul,sculpture,index,not legal
djinzit,pyramid,index,not legal
txeqtxik,hierarchy,index,not legal
m,m,tone,not legal
n,n,tone,not legal
q,ŋ,tone,not legal
g,ɡ,tone,not legal
d,d,tone,not legal
b,b,tone,not legal
p,p,tone,not legal
t,t,tone,not legal
k,k,tone,not legal
h,h,tone,not legal
s,s,tone,not legal
f,f,tone,not legal
v,v,tone,not legal
z,z,tone,not legal
j,ʒ,tone,not legal
x,ʃ,tone,not legal
c,θ,tone,not legal
C,ð,tone,not legal
w,w,tone,not legal
l,l,tone,not legal
r,r,tone,not legal
y,j,tone,not legal
i,i,tone,not legal
e,e,tone,not legal
a,a,tone,not legal
o,o,tone,not legal
u,u,tone,not legal
i,1,tone,not legal
e,2,tone,not legal
a,3,tone,not legal
o,4,tone,not legal
u,5,tone,not legal
m,6,tone,not legal
n,7,tone,not legal
q,8,tone,not legal
g,9,tone,not legal
d,10,tone,not legal
b,20,tone,not legal
p,30,tone,not legal
t,40,tone,not legal
k,50,tone,not legal
h,60,tone,not legal
s,70,tone,not legal
f,80,tone,not legal
v,90,tone,not legal
z,100,tone,not legal
j,200,tone,not legal
x,300,tone,not legal
c,400,tone,not legal
C,500,tone,not legal
w,600,tone,not legal
l,700,tone,not legal
r,800,tone,not legal
y,900,tone,not legal
zus,do,action,held by experience
bud,awaken,action,held by awake
tuv,input,action,held by conscious
him,chime,action,held by peace
hum,urge,action,held by reserved hum
vit,output,action,held by life
jil,stream,action,not legal
wig,kaleidoscope/mesh,action,held by kaleidoscope
lij,orient,action,held by reserved lij
nan,negate,action,held by grandmother
bev,drink,action,1 from bef before
kon,intersect,action,held by six
hin,conclude,action,held by it
hit,eat,action,1 from hip group
faq,imitate,action,1 from vaq center
zor,induce,action,held by fall
jur,measure,action,not legal
cor,unite,action,held by protect
cuv,reverse,action,held by field
Con,transition,action,1 from con all
xid,grey,color,1 from xit computation
mag,magenta,color,held by among
nik,pink,color,not legal
tar,tan,color,held by target
yal,turquoise,color,1 from yar you
vic,information,computation,1 from fic belief
zip,graph,computation,1 from sip size
rek,array,computation,held by receive
run,character,computation,held by write
sal,bit on,computation,held by silence
det,date,computation,held by timestamp
zod,folder,computation,1 from sod son
wov,require,computation,held by sixteen
sev,save,computation,1 from sef self
kap,clone,computation,1 from kat that
lup,loop,computation,1 from lut south
wil,default,computation,not legal
dif,definition,computation,held by different
vep,interface,computation,1 from veb byte
tok,parse,computation,held by tree
man,mine,computation,held by mind
nut,mint,computation,held by in
pol,mill,computation,1 from por process
yul,lace,computation,held by yellow
kop,scope,computation,held by compare
vat,fork,computation,held by bad
taj,integer,computation,held by y axis
hot,floating point numbers,computation,1 from hod hold
foz,hash,computation,1 from voz voice
kes,case,computation,held by exist
wiq,project,computation,held by white
diz,package,computation,held by disconnect
mel,mail,computation,not legal
goq,job,computation,held by work
pad,thread,computation,1 from pat passive
vas,environment,computation,held by body
rap,print,computation,not legal
baq,band,computation,held by individual
sok,around,cradle,1 from sog eight
dud,during,cradle,1 from dub reserved dub
pes,despite,cradle,held by space
lak,as,cradle,1 from lag align
les,behind,cradle,held by less
mak,forward,cradle,1 from mag among
hum,against,cradle,held by reserved hum
mob,about,cradle,1 from mod middle
mat,about,cradle,1 from mad model
pal,to (location),cradle,1 from par part
lop,from,cradle,1 from lot solution
for,for,cradle,1 from fol flow
lan,away,cradle,held by line
xul,except,cradle,1 from jul universe
fab,including,cradle,1 from vab vibe
bit,under,cradle,1 from bid reserved bid
ban,by,cradle,held by balance
los,apart,cradle,held by close
ced,rather,cradle,1 from cet false
nep,instead,cradle,1 from net network
voz,versus,cradle,held by voice
hat,at,cradle,1 from hap hop
kon,and,cradle,held by six
cor,or,cradle,held by protect
kit,if,cradle,1 from kip tune
din,then,cradle,held by identity
son,so,cradle,1 from zon zone
zag,because,cradle,1 from zak effect
wal,while,cradle,not legal
nun,not,cradle,held by union
tep,still (time),cradle,held by step
sus,since (time),cradle,1 from zus experience
nos,almost,cradle,held by note
jas,just,cradle,1 from xas eternal
tan,so,cradle,held by pattern
lam,low,design,held by lack
mol,high,design,1 from mor more
ven,even,design,held by event
sin,soon,design,held by distance
marC,quite,design,not legal
pot,complete state "-ed",design,held by position
reC,progress "-ing",design,held by doing
gut,state of action "-ing" (gerund),design,held by gut
bak,possesive ("the bird's food"),design,1 from bag blue
