concept,form,asked
mom,mam,mam
grandmother,nan,nan
dad,dad,dad
grandfather,bab,bab
child,kik,kik
baby,pip,pip
parent,sas,sas
tune,kip,kip
tone,kup,kup
experience,zus,zus
nothing,siz,siz
no,nog,nog
note,not,not
know,nos,nos
cause,kaz,kaz
god,gad,gad
individual,zak,zak
red,mim,mim
orange,hag,hag
yellow,yul,yul
green,gum,gum
blue,xaz,xaz
purple,gis,gis
black,buz,buz
gray,caq,caq
white,wiq,wiq
copper,hiz,hiz
silver,yas,yas
gold,mus,mus
x axis,pij,pij
y axis,taj,taj
z axis,kuj,kuj
left,bep,bep
right,pob,pob
down,dot,dot
up,ted,ted
back,gok,gok
front,keg,keg
north,yin,yin
east,rog,rog
south,lut,lut
west,web,web
zero,yop,yop
one,med,med
two,noc,noc
three,dez,dez
four,bov,bov
five,tem,tem
six,kos,kos
seven,hen,hen
eight,soC,soC
nine,zeq,zeq
ten,vok,vok
eleven,fev,fev
twelve,xod,xod
thirteen,cex,cex
fourteen,roz,roz
fifteen,lep,lep
sixteen,wom,wom
hundred,yemib,yemib
thousand,morog,morog
million,nebun,nebun
billion,doges,doges
trillion,betif,betif
quadrillion,tosoj,tosoj
quintillion,kefuC,kefuC
sextillion,hoxem,hoxem
septillion,seCiq,seCiq
octillion,zoyol,zoyol
nonillion,vewup,vewup
decillion,folen,folen
power36,xekis,xekis
power39,cojof,cojof
power42,rezuk,rezuk
power45,lomej,lomej
power48,weniC,weniC
type,tap,tap
action type,kiq,kiq
object type,kaq,kaq
feature type,kuq,kuq
action instance,siq,siq
object instance,saq,saq
feature instance,suq,suq
network,mix,mix
bright,mar,mar
dark,ram,ram
rock,rak,rak
mind,man,man
memory,gux,gux
mmm,muq,muq
boom,bum,bum
hop,hap,hap
doing,reC,reC
eye,haq,haq
see,vis,vis
sense,zox,zox
plural,mis,mis
ball,bal,bal
pain,muz,muz
torture,cub,cub
field,cuv,cuv
key,cux,cux
peace,zam,zam
pleasure,zim,zim
mouth,muc,muc
inhale,sep,sep
exhale,pos,pos
heaven,xam,xam
hell,max,max
great,mac,mac
male,mif,mif
female,fem,fem
molecule,molk,molk
mountain,mant,mant
need,nid,nid
nature,nox,nox
center,vaq,vaq
middle,mod,mod
zone,zon,zon
above,suz,suz
below,zis,zis
outside,tiq,tiq
inside,tuq,tuq
nose,noz,noz
infinite,gix,gix
garden,gan,gan
timestamp,det,det
day,yam,yam
year,yar,yar
past,sut,sut
present,paz,paz
future,tis,tis
the,dan,dan
understand,das,das
negative,mum,dum
neutral,naq,naq
positive,min,mid
move,muv,muv
write,run,run
read,rid,rid
run,rin,rin
soil,ris,ris
algorithm,rig,rig
rise,rez,rez
