concept,form,echo
exist,ken,yes
thing,kim,yes
action,kat,yes
entity,net,yes
feature,fed,yes
presence,pes,yes
absense,baf,yes
identity,dim,yes
number,nub,yes
this,kid,yes
that,kab,yes
here,heb,yes
there,kef,yes
between,ben,yes
among,mag,yes
cross,kor,yes
attract,tak,yes
repel,reb,yes
force,fob,yes
part,par,yes
whole,wol,yes
other,kon,yes
me,mep,yes
it,tik,yes
more,mop,yes
less,les,yes
place,pan,yes
edge,dek,yes
in,nim,yes
out,tom,yes
active,kav,yes
passive,pav,yes
source,sok,yes
sink,sin,yes
original,gol,yes
image,mig,yes
direction,dif,yes
orientation,rot,yes
solution,lon,yes
touching,ton,yes
not touching,tog,yes
persist,pet,yes
dimension,nis,yes
obstacle,bok,yes
state,sat,yes
variable,vam,yes
node,nov,yes
path,pax,yes
span,sab,yes
tree,ten,yes
mesh,mek,yes
collection,lok,yes
sequence,sem,yes
order,dor,yes
rate,ras,yes
relation,ret,yes
target,taC,yes
confuse,kog,yes
rule,rub,yes
flow,fol,yes
event,ven,yes
form,fov,yes
store,sod,yes
get,gem,yes
release,rej,yes
send,seg,yes
receive,kej,yes
pattern,pac,yes
instance,nin,yes
change,kak,yes
model,mol,yes
rest,sej,yes
different,fin,yes
same,saz,yes
distance,nik,yes
near,neb,yes
far,fak,yes
open,pot,yes
close,los,yes
gain,gag,yes
lose,lom,yes
merge,mez,yes
separate,seC,yes
repeat,peb,yes
walk,lag,yes
step,teg,yes
size,siv,yes
intensity,niq,yes
density,dev,yes
frequency,fep,yes
duration,dun,yes
time,tiz,yes
uniformity,nuf,yes
diversity,dix,yes
reflect,fez,yes
absorb,sar,yes
convert,nor,yes
map,maq,yes
union,nun,yes
intersection,nip,yes
align,laz,yes
oppose,pof,yes
predictable,pek,yes
unpredictable,nuk,yes
confidence,noj,yes
certain,keC,yes
uncertain,nuq,yes
true,tud,yes
false,faf,yes
boundary,bon,yes
contain,toz,yes
enter,nez,yes
exit,tex,yes
limit,lit,yes
border,boq,yes
region,geq,yes
compare,mok,yes
match,mat,yes
detect,dej,yes
nest,nex,yes
recursion,nec,yes
select,lem,yes
test,tec,yes
constraint,sop,yes
result,len,yes
accept,kiz,yes
reject,jet,yes
position,poj,yes
aware,rac,yes
process,poC,yes
general,geb,yes
specific,pef,yes
before,bex,yes
with,wim,yes
after,faj,yes
start,sav,yes
end,nif,yes
contact,toc,yes
connect,kiv,yes
disconnect,diC,yes
mix,mij,yes
clarify,laf,yes
hit,hit,yes
miss,miC,yes
power,pol,yes
potential,lob,yes
possible,bop,yes
real,lev,yes
any,nam,yes
all,lax,yes
turn,tup,yes
hold,hol,yes
fill,fiq,yes
empty,mev,yes
threshold,lec,yes
amount,mab,yes
discrete,six,yes
continuous,kic,yes
continue,niC,yes
stop,sic,yes
polarity,lov,yes
axis,sax,yes
space,sac,yes
x,kuf,yes
y,yad,yes
z,zad,yes
line,lib,yes
surface,ruk,yes
volume,vop,yes
perpendicular,rip,yes
parallel,laj,yes
agent,gap,yes
lack,laC,yes
maximum,mas,yes
minimum,nap,yes
finite,fib,yes
leader,liz,yes
follower,fox,yes
risk,rof,yes
safe,faC,yes
spec,pim,yes
capacity,yag,yes
capability,baj,yes
balance,baC,yes
complex,mof,yes
vague,vag,yes
forward,foc,yes
backward,dax,yes
silence,lix,yes
