form,letters,shape,note
mip,3,CVC,lexicon
miz,3,CVC,lexicon
mif,3,CVC,lexicon
mix,3,CVC,
mij,3,CVC,
miC,3,CVC,
men,3,CVC,lexicon
meq,3,CVC,
mev,3,CVC,
mej,3,CVC,
mec,3,CVC,
mav,3,CVC,
mom,3,CVC,
moq,3,CVC,
mok,3,CVC,
moC,3,CVC,
mum,3,CVC,
mug,3,CVC,
mub,3,CVC,lexicon
mut,3,CVC,
mul,3,CVC,
niq,3,CVC,lexicon
nip,3,CVC,lexicon
niz,3,CVC,lexicon
nif,3,CVC,
nij,3,CVC,
niC,3,CVC,
nez,3,CVC,
nam,3,CVC,lexicon
nab,3,CVC,
nak,3,CVC,
nas,3,CVC,
naf,3,CVC,
naj,3,CVC,
naC,3,CVC,
nal,3,CVC,lexicon
nop,3,CVC,
nov,3,CVC,lexicon
nuq,3,CVC,
nud,3,CVC,lexicon
nus,3,CVC,
nuC,3,CVC,
nul,3,CVC,
gim,3,CVC,lexicon
gin,3,CVC,lexicon
giq,3,CVC,lexicon
gig,3,CVC,
gib,3,CVC,
gis,3,CVC,lexicon
giz,3,CVC,
giv,3,CVC,lexicon
gij,3,CVC,
gic,3,CVC,
geb,3,CVC,
gek,3,CVC,
ges,3,CVC,lexicon
gex,3,CVC,
gej,3,CVC,
gec,3,CVC,
gap,3,CVC,
gak,3,CVC,
gav,3,CVC,
gac,3,CVC,
gar,3,CVC,lexicon
gom,3,CVC,
gon,3,CVC,lexicon
goq,3,CVC,
gob,3,CVC,
got,3,CVC,
gov,3,CVC,
gox,3,CVC,
goj,3,CVC,
goc,3,CVC,
guq,3,CVC,
guk,3,CVC,
guv,3,CVC,
guc,3,CVC,
gul,3,CVC,lexicon
dij,3,CVC,lexicon
diC,3,CVC,lexicon
deq,3,CVC,lexicon
deb,3,CVC,lexicon
des,3,CVC,
dez,3,CVC,
dev,3,CVC,
dec,3,CVC,
dam,3,CVC,
dap,3,CVC,lexicon
dak,3,CVC,lexicon
daz,3,CVC,
dav,3,CVC,
dac,3,CVC,
dar,3,CVC,
dom,3,CVC,
don,3,CVC,lexicon
doq,3,CVC,
dob,3,CVC,
dok,3,CVC,
dos,3,CVC,
dof,3,CVC,
doC,3,CVC,
dun,3,CVC,
dug,3,CVC,
dus,3,CVC,
duf,3,CVC,
duC,3,CVC,
dul,3,CVC,lexicon
bim,3,CVC,lexicon
bin,3,CVC,lexicon
big,3,CVC,lexicon
bip,3,CVC,
bis,3,CVC,
biz,3,CVC,
biv,3,CVC,
bix,3,CVC,
bij,3,CVC,
bic,3,CVC,
bem,3,CVC,
beq,3,CVC,
beg,3,CVC,lexicon
bed,3,CVC,
bes,3,CVC,
bez,3,CVC,
bex,3,CVC,
bej,3,CVC,
beC,3,CVC,
baq,3,CVC,
bat,3,CVC,lexicon
baf,3,CVC,
baC,3,CVC,
bom,3,CVC,
bok,3,CVC,lexicon
bof,3,CVC,
boC,3,CVC,
bun,3,CVC,
buq,3,CVC,
bup,3,CVC,
bus,3,CVC,
buf,3,CVC,
pim,3,CVC,lexicon
pid,3,CVC,lexicon
pik,3,CVC,lexicon
piz,3,CVC,
piv,3,CVC,
pix,3,CVC,
pic,3,CVC,
pem,3,CVC,
pen,3,CVC,
peq,3,CVC,
pez,3,CVC,
pej,3,CVC,
peC,3,CVC,
pas,3,CVC,
pav,3,CVC,
poz,3,CVC,
pof,3,CVC,
pum,3,CVC,
pun,3,CVC,
puq,3,CVC,
pug,3,CVC,lexicon
pub,3,CVC,
put,3,CVC,lexicon
pus,3,CVC,
puv,3,CVC,
puc,3,CVC,
pul,3,CVC,lexicon
tim,3,CVC,lexicon
tid,3,CVC,lexicon
tiz,3,CVC,lexicon
tif,3,CVC,
tix,3,CVC,
tij,3,CVC,lexicon
tiC,3,CVC,
tem,3,CVC,
teq,3,CVC,
tek,3,CVC,lexicon
tev,3,CVC,
tex,3,CVC,
tec,3,CVC,
taq,3,CVC,
tad,3,CVC,
tas,3,CVC,
tax,3,CVC,
taC,3,CVC,
tod,3,CVC,
tov,3,CVC,
tum,3,CVC,
tug,3,CVC,
tub,3,CVC,lexicon
tut,3,CVC,
tux,3,CVC,
tuc,3,CVC,
kid,3,CVC,lexicon
kiz,3,CVC,lexicon
