concept,form
past,pas
and,nad
she,kes
have,hav
this,sis
not,nat
will,wol
manner,man
that,kat
forest,faras
for,fral
tree,tar
can,kan
full,fal
time,tim
with,wik
from,fram
sun,snal
fruit,frat
there,sar
what,wit
like,lik
night,nit
bird,bart
get,get
look,lok
rain,ran
more,mor
when,wen
tre,taral
river,rivar
very,var
water,wet
animal,nam
leaf,lef
let,let
beauty,betal
flower,flor
want,wint
over,vral
done,don
find,fint
some,som
thing,sinag
around,rant
but,bat
here,har
land,lant
make,mak
sky,skal
should,kas
star,star
walk,wolak
about,bat
friend,farin
most,mas
take,tak
love,lov
begin,beg
grass,gras
moon,mon
must,mas
through,kar
climb,kalim
know,kon
other,sar
person,parz
sit,sital
after,fat
before,bef
come,kom
grow,grol
just,daj
last,last
light,lit
many,man
place,blas
wild,wolid
far,fral
jump,dajam
keep,kepal
rabbit,rabat
small,smal
swim,siwam
berry,baral
end,ned
ever,varal
feel,flar
mountain,monot
plan,palan
run,ranal
sniff,sinaf
still,stal
year,yar
breeze,barez
bring,barin
cover,kavar
every,var
hard,hart
play,pal
please,pal
shine,kisen
sleep,slep
snow,snol
tall,talar
think,snik
again,gan
big,big
cool,kol
dig,digal
dirt,darit
fall,falar
family,famal
give,giv
hear,har
hill,halar
house,hosol
lake,lakal
long,lan
path,pakal
plant,blan
stay,satal
warm,wor
where,wor
cloud,glad
color,glar
dry,dral
fly,falar
fresh,farek
little,lital
next,nek
ocean,sonol
rest,rest
rise,risal
stop,stap
valley,valar
arc,rakal
fish,fik
found,fanad
hot,hat
near,nar
old,lad
while,wol
winter,winet
wolf,wolaf
wonder,wenad
across,gras
bush,bakas
food,fod
live,lival
never,nev
once,nasal
parent,paran
piece,pesal
sibling,sibal
sound,sant
spring,sipar
until,nat
watch,wit
wind,wint
work,work
yet,yetal
along,lan
beach,betak
because,bek
branch,bran
bug,bag
close,glos
dance,danas
early,ralar
fill,falar
help,halep
late,latal
lot,latal
pond,panad
set,stal
sink,sinak
such,sat
summer,samar
than,kan
then,sen
travel,tarav
try,taral
wait,wital
weather,wesar
wet,wet
ahead,hadal
blossom,balas
care,karal
cold,kalt
dream,darem
field,falid
fire,fral
first,farz
flutter,falat
follow,folor
hour,haral
lov,laval
much,matak
only,nal
open,pan
part,part
pretty,paret
self,slef
short,kas
state,sat
talk,talak
well,wolar
without,wik
approach,parat
bloom,bolom
both,bakal
breath,brek
clear,kalar
except,kesap
favorite,favar
glanc,galan
ground,garan
happy,hapal
heavy,hev
interest,nitar
kind,kint
large,larag
leave,leval
maybe,mab
middle,mid
nest,nest
often,fatan
quick,kiwak
quite,kiwet
ride,ridal
