sound,weight,wanted_share,got_share,words
a,1,4.527,6.656,998
s,1,4.527,6.022,903
r,1,4.527,5.955,893
o,0.9,4.074,5.922,888
i,0.85,3.848,5.088,763
e,0.9,4.074,5.062,759
l,0.85,3.848,4.982,747
t,1,4.527,4.735,710
k,1,4.527,4.595,689
u,0.75,3.395,4.588,688
p,1,4.527,4.555,683
d,1,4.527,4.128,619
f,1,4.527,4.021,603
b,1,4.527,3.968,595
n,1,4.527,3.908,586
z,1,4.527,3.901,585
g,1,4.527,3.855,578
m,1,4.527,3.508,526
v,1,4.527,3.301,495
x,0.6,2.716,1.887,283
q,0.6,2.716,1.734,260
tx,0.5,2.263,1.220,183
dj,0.5,2.263,1.214,182
y,0.45,2.037,0.967,145
c,0.16,0.724,0.927,139
h,0.3,1.358,0.874,131
j,0.15,0.679,0.840,126
w,0.45,2.037,0.814,122
C,0.13,0.589,0.774,116
