sound,weight,wanted_share,got_share,words
a,1,4.527,7.644,28378
e,0.9,4.074,7.145,26525
o,0.9,4.074,7.140,26505
i,0.85,3.848,6.914,25666
u,0.75,3.395,6.464,23998
r,1,4.527,4.338,16105
s,1,4.527,4.326,16061
f,1,4.527,3.932,14596
t,1,4.527,3.923,14564
z,1,4.527,3.914,14532
d,1,4.527,3.912,14523
n,1,4.527,3.912,14522
p,1,4.527,3.911,14520
v,1,4.527,3.910,14517
g,1,4.527,3.910,14515
k,1,4.527,3.905,14496
m,1,4.527,3.904,14493
b,1,4.527,3.902,14484
l,0.85,3.848,3.622,13448
x,0.6,2.716,2.076,7706
q,0.6,2.716,2.070,7685
y,0.45,2.037,1.388,5154
w,0.45,2.037,1.386,5146
dj,0.5,2.263,0.754,2798
tx,0.5,2.263,0.753,2796
h,0.3,1.358,0.701,2602
c,0.16,0.724,0.109,403
j,0.15,0.679,0.088,327
C,0.13,0.589,0.047,173
