term,parts,number,was,why
helium,sun atom,2,,
lithium,rock atom,3,,
beryllium,precious atom,4,,
boron,bone atom,5,,
oxygen,breath atom,8,,
fluorine,tooth atom,9,,
neon,tube atom,10,,
sodium,salt atom,11,,
magnesium,ancient atom,12,,
aluminum,shine atom,13,,
phosphorus,light atom,15,,
chlorine,green atom,17,,
argon,slow atom,18,,
potassium,ash atom,19,,
scandium,soft atom,21,,
titanium,strong atom,22,,
vanadium,beauty atom,23,,
chromium,color atom,24,,
manganese,resist atom,25,,
cobalt,ring atom,27,,
nickel,white atom,28,,
zinc,brittle atom,30,,
gallium,bird atom,31,,
germanium,cave atom,32,,
arsenic,poison atom,33,,
selenium,moon atom,34,,
bromine,ocean atom,35,,
krypton,hidden atom,36,,
rubidium,red atom,37,,
strontium,burst atom,38,,
yttrium,bulb atom,39,,
zirconium,opaque atom,40,,
niobium,snow atom,41,,
molybdenum,dark atom,42,,
technetium,craft atom,43,synthetic,synthetic is not a root; the made element
ruthenium,still atom,44,,
rhodium,flower atom,45,,
palladium,wise atom,46,wisdom,wisdom is wise plus state
cadmium,source atom,48,,
indium,ghost atom,49,,
antimony,paint atom,51,,
tellurium,earth atom,52,,
iodine,stain atom,53,,
xenon,alien atom,54,,
caesium,sky atom,55,,
barium,heavy atom,56,,
lanthanum,air atom,57,,
cerium,rust atom,58,tarnish,tarnish is not a root; what it does in air
praseodymium,wind atom,59,,
neodymium,magnet atom,60,,
promethium,fire atom,61,,
samarium,power atom,62,,
europium,screen atom,63,,
gadolinium,seek atom,64,,
terbium,glow atom,65,,
holmium,permeate atom,67,,
erbium,glass atom,68,,
thulium,beyond atom,69,,
ytterbium,memory atom,70,,
lutetium,swamp atom,71,,
hafnium,tool atom,72,,
tantalum,charge atom,73,electricity,electricity is electric plus nature
tungsten,wolf atom,74,,
rhenium,river atom,75,,
osmium,wing atom,76,,
iridium,arch atom,77,,
platinum,noble atom,78,vibrant,vibrant is not a root; and noble is the property
gold,king atom,79,crown,crown is king plus ring
mercury,liquid atom,80,,
thallium,stick atom,81,,
bismuth,shadow atom,83,,
polonium,shake atom,84,,
astatine,quick atom,85,,
radon,trace atom,86,,
francium,loose atom,87,,
radium,beam atom,88,,
actinium,spark atom,89,,
thorium,roar atom,90,,
protactinium,brief atom,91,,
uranium,break atom,92,,
neptunium,wash atom,93,,
plutonium,far atom,94,,
americium,smoke atom,95,,
curium,cheer atom,96,,
berkelium,bright atom,97,,
californium,bare atom,98,naked,naked is bare plus body
einsteinium,smart atom,99,,
fermium,rare atom,100,,
mendelevium,lead atom,101,pioneer,pioneer is not a root; one who goes first
nobelium,prize atom,102,,
lawrencium,open atom,103,,
rutherfordium,structure atom,104,,
dubnium,race atom,105,,
seaborgium,force atom,106,,
bohrium,deep atom,107,depth,depth is deep plus measure
hassium,fresh atom,108,,
meitnerium,merge atom,109,,
darmstadtium,birth atom,110,,
roentgenium,see atom,111,sight,sight is see plus act
copernicium,center atom,112,,
nihonium,danger atom,113,,
flerovium,cloud atom,114,,
moscovium,heart atom,115,,
livermorium,host atom,116,,
tennessine,great atom,117,,
oganesson,join atom,118,fusion,fusion is nucleus plus join
