term,parts,kind
rose,thorn smell flower,flower
tulip,cup flower,flower
daisy,white yellow flower,flower
sunflower,sun face flower,flower
lily,trumpet flower,flower
lotus,water flower,flower
water lily,float water flower,flower
orchid,complex flower,flower
violet,purple small flower,flower
poppy,red sleep flower,flower
iris,rainbow flower,flower
daffodil,yellow trumpet flower,flower
lavender,purple smell flower,flower
jasmine,sweet smell flower,flower
hibiscus,large trumpet flower,flower
chrysanthemum,many petal flower,flower
marigold,gold flower,flower
carnation,fold petal flower,flower
geranium,round leaf flower,flower
peony,big round flower,flower
dahlia,round many flower,flower
magnolia flower,big white flower,flower
gardenia,white smell flower,flower
camellia,smooth petal flower,flower
azalea,bright shrub flower,flower
rhododendron,large shrub flower,flower
hydrangea,ball flower,flower
begonia,uneven leaf flower,flower
petunia,trumpet flower,flower
pansy,face flower,flower
primrose,early flower,flower
buttercup,yellow cup flower,flower
bluebell,blue bell flower,flower
forget-me-not,small blue flower,flower
snapdragon,mouth flower,flower
foxglove,finger bell flower,flower
hollyhock,tall flower stalk,flower
delphinium,tall blue flower,flower
lupine,tall spike flower,flower
aster,star flower,flower
zinnia,bright round flower,flower
cosmos,flat round flower,flower
anemone,wind flower,flower
freesia,sweet smell flower,flower
hyacinth,dense bell flower,flower
crocus,early cup flower,flower
gladiolus,sword leaf flower,flower
amaryllis,large trumpet flower,flower
honeysuckle,sweet vine flower,flower
wisteria,hang purple flower,flower
morning glory,morning vine flower,flower
sweet pea,sweet vine flower,flower
lilac,purple smell flower,flower
goldenrod,gold stalk flower,flower
milkweed,milk sap flower,flower
queen anne's lace,white flat flower,flower
edelweiss,white mountain flower,flower
yarrow,flat white flower,flower
jewelweed,bright wet flower,flower
columbine,hang bell flower,flower
