term,parts,kind
grass,narrow leaf plant,plant
moss,soft ground plant,plant
fern,feather leaf plant,plant
vine,climb plant,plant
ivy,cling vine,plant
bamboo,hollow grass,plant
reed,tall water grass,plant
cattail,tail water plant,plant
clover,three leaf plant,plant
dandelion,yellow wind seed,plant
thistle,sharp flower plant,plant
nettle,sting leaf plant,plant
weed,not want plant,plant
shrub,low branch plant,plant
bush,dense low plant,plant
cactus,thorn water plant,plant
succulent,fat water plant,plant
aloe,gel leaf plant,plant
agave,sharp thick leaf,plant
yucca,sharp leaf plant,plant
heather,small purple shrub,plant
mistletoe,tree parasite plant,plant
mint,cool smell leaf,plant
basil,sweet smell herb,plant
rosemary,needle smell herb,plant
thyme,small smell herb,plant
sage,soft gray herb,plant
oregano,strong smell herb,plant
parsley,green curl herb,plant
cilantro,sharp smell herb,plant
dill,feather herb,plant
chive,thin onion herb,plant
ginger,hot root,plant
turmeric,yellow root,plant
garlic,strong smell bulb,plant
onion,sharp smell bulb,plant
leek,long onion plant,plant
celery,crisp stalk plant,plant
lettuce,soft leaf plant,plant
spinach,dark leaf plant,plant
cabbage,round leaf plant,plant
kale,curl leaf plant,plant
broccoli,green flower plant,plant
cauliflower,white flower plant,plant
carrot,orange root,plant
radish,sharp root,plant
turnip,round root,plant
beet,red root,plant
potato,under ground stem,plant
sweet potato,sweet root,plant
yam,large root,plant
cassava,starch root,plant
corn,tall grain plant,plant
wheat,bread grain,plant
rice,water grain,plant
barley,grain plant,plant
oat,grain plant,plant
rye,grain plant,plant
millet,small grain,plant
sorghum,tall dry grain,plant
bean,pod seed,plant
pea,round pod seed,plant
lentil,flat seed,plant
chickpea,round seed,plant
soybean,oil bean,plant
peanut,under ground nut,plant
pumpkin,large orange gourd,plant
squash,soft gourd,plant
gourd,hard shell fruit,plant
cucumber,cool water fruit,plant
melon,sweet water fruit,plant
watermelon,red water fruit,plant
tomato,red soft fruit,plant
pepper,hot fruit,plant
eggplant,purple fruit,plant
strawberry,red seed berry,plant
grape,vine berry,plant
cotton,soft fiber plant,plant
flax,fiber seed plant,plant
hemp,strong fiber plant,plant
tobacco,smoke leaf plant,plant
tea,drink leaf plant,plant
coffee,bitter seed drink,plant
cocoa,chocolate seed,plant
sugarcane,sweet tall grass,plant
vanilla,sweet smell pod,plant
