term,parts,kind
granite,flower grain,rock
diorite,gray grain,rock
gabbro,dark grain,rock
rhyolite,light fire,rock
andesite,gray fire,rock
basalt,dark fire,rock
peridotite,green grain,rock
pegmatite,big crystal,rock
obsidian,lava glass,rock
pumice,lava foam,rock
scoria,lava hole,rock
tuff,ash stone,rock
slate,board stone,rock
phyllite,silk press,rock
schist,slice stone,rock
gneiss,band press,rock
quartzite,sand press,rock
marble,flower stone,rock
serpentinite,green scale rock,rock
soapstone,soap stone,rock
sandstone,sand stone,rock
limestone,lime stone,rock
mudstone,mud stone,rock
siltstone,silt stone,rock
shale,page stone,rock
conglomerate,round bit,rock
breccia,sharp bit,rock
arkose,granite sand,rock
greywacke,mud sand,rock
chert,dull spark stone,rock
flint,fire strike stone,rock
travertine,spring lime,rock
chalk,powder stone,rock
coal,char stone,rock
peat,bog plant,rock
laterite,iron soil,rock
