term,parts,kind
oak,hard tree,tree
maple,sweet sap tree,tree
pine,needle cone tree,tree
spruce,sharp needle tree,tree
fir,flat needle tree,tree
cedar,smell wood tree,tree
redwood,red tall tree,tree
sequoia,giant tree,tree
cypress,narrow evergreen tree,tree
juniper,berry needle tree,tree
birch,white bark tree,tree
beech,smooth bark tree,tree
ash,wing seed tree,tree
elm,vase tree,tree
willow,bend water tree,tree
poplar,tall fast tree,tree
aspen,shake leaf tree,tree
cottonwood,cotton seed tree,tree
sycamore,patch bark tree,tree
chestnut,spine nut tree,tree
walnut,hard nut tree,tree
hickory,hard wood tree,tree
pecan,sweet nut tree,tree
alder,water cone tree,tree
linden,heart leaf tree,tree
locust,thorn pod tree,tree
hemlock,droop needle tree,tree
larch,fall needle tree,tree
yew,red berry tree,tree
holly,sharp leaf tree,tree
eucalyptus,smell oil tree,tree
acacia,thorn tree,tree
baobab,fat trunk tree,tree
palm,crown leaf tree,tree
coconut,coconut palm,tree
olive,oil fruit tree,tree
fig,soft fruit tree,tree
apple,apple tree,tree
pear,pear tree,tree
cherry,red fruit tree,tree
plum,purple fruit tree,tree
peach,soft skin fruit,tree
apricot,orange fruit tree,tree
almond,nut fruit tree,tree
lemon,sour yellow fruit,tree
orange,orange fruit tree,tree
lime,sour green fruit,tree
grapefruit,bitter round fruit,tree
mango,sweet yellow fruit,tree
avocado,fat green fruit,tree
banana,long yellow fruit,tree
papaya,orange seed fruit,tree
breadfruit,bread fruit tree,tree
mulberry,many berry tree,tree
persimmon,orange sweet fruit,tree
pomegranate,red seed fruit,tree
date palm,sweet palm fruit,tree
rubber tree,rubber sap tree,tree
teak,hard wood tree,tree
mahogany,red wood tree,tree
ebony,black wood tree,tree
sandalwood,smell wood tree,tree
banyan,root branch tree,tree
magnolia,big flower tree,tree
dogwood,flower tree,tree
hawthorn,thorn berry tree,tree
redbud,red flower tree,tree
rowan,red berry tree,tree
buckeye,eye seed tree,tree
horse chestnut,big chestnut tree,tree
tamarind,sour pod tree,tree
mesquite,dry thorn tree,tree
joshua tree,branch yucca tree,tree
ironwood,hard wood tree,tree
kapok,soft fiber tree,tree
gum tree,gum sap tree,tree
