term,parts,how
abstraction,abstract + act,affix
acceleration,accelerate + act,affix
accidental,accident + like,affix
accordance,accord + act,affix
accuracy,accurate + nature,affix
achievement,achieve + act,affix
action,act + act,affix
active,act + like,affix
activist,active + agent,affix
activity,active + nature,affix
actor,act + agent,affix
adaptation,adapt + act,affix
addition,add + act,affix
administration,administer + act,affix
admiration,admire + act,affix
advertisement,advertise + act,affix
agreement,agree + act,affix
allowed,allow + done,affix
angry,anger + like,affix
annoyance,annoy + act,affix
appearance,appear + act,affix
application,apply + act,affix
appointment,appoint + act,affix
appreciation,appreciate + act,affix
approximately,approximate + manner,affix
argument,argue + act,affix
armory,armor + like,affix
arousal,arouse + like,affix
arrangement,arrange + act,affix
artist,art + agent,affix
ascending,ascend + act,affix
ashamed,ashame + done,affix
assembly,assemble + like,affix
assess,as + female,affix
assist,as + agent,affix
assistant,assist + agent,affix
associated,associate + done,affix
association,associate + act,affix
asymmetric,asymmetry + like,affix
asymmetry,asymmetric + like,affix
athletic,athlete + like,affix
atomic,atom + like,affix
attached,attach + done,affix
attendance,attend + act,affix
attention,attend + act,affix
attentive,attend + like,affix
attraction,attract + act,affix
attractive,attract + like,affix
autonomous,autonomy + like,affix
autonomy,autonomous + like,affix
awareness,aware + nature,affix
badger,badge + agent,affix
balanced,balance + done,affix
banish,ban + like,affix
banner,ban + agent,affix
basement,base + act,affix
basic,base + like,affix
bearing,bear + act,affix
beautiful,beauty + full,affix
beautify,beauty + make,affix
beginner,begin + agent,affix
beginning,begin + act,affix
behavior,behave + agent,affix
belly,bell + like,affix
besides,beside + many,affix
billion,bill + act,affix
blessing,bless + act,affix
blurred,blur + done,affix
bored,bore + done,affix
boredom,bore + state,affix
boring,bore + act,affix
bother,both + agent,affix
branching,branch + act,affix
brightness,bright + nature,affix
buddy,bud + like,affix
building,build + act,affix
busy,bus + like,affix
canal,can + like,affix
candor,candy + agent,affix
capability,cap + ability,affix
capable,cap + able,affix
careful,care + full,affix
catchy,catch + like,affix
cavity,cave + nature,affix
celebration,celebrate + act,affix
centralize,central + make,affix
centralized,centralize + done,affix
charity,char + nature,affix
cheerful,cheer + full,affix
chicken,chick + make,affix
civilization,civil + act,affix
civilize,civil + make,affix
classic,class + like,affix
classify,class + make,affix
closed,close + done,affix
closer,close + agent,affix
clothes,cloth + many,affix
clothing,cloth + act,affix
cloudy,cloud + like,affix
coincidence,coincide + act,affix
collection,collect + act,affix
collective,collect + like,affix
colonize,colon + make,affix
colorful,color + full,affix
combination,combine + act,affix
comment,come + act,affix
commitment,commit + act,affix
committee,commit + target,affix
communication,communicate + act,affix
competition,compete + act,affix
completely,complete + manner,affix
compression,compress + act,affix
conditional,condition + like,affix
conductive,conduct + like,affix
conductor,conduct + agent,affix
connected,connect + done,affix
connection,connect + act,affix
connector,connect + agent,affix
conscience,conscious + act,affix
consciousness,conscious + nature,affix
conservation,conserve + act,affix
consistent,consist + agent,affix
constituent,constitute + agent,affix
construction,construct + act,affix
container,contain + agent,affix
continuity,continue + nature,affix
continuous,continue + like,affix
contraction,contract + act,affix
cooked,cook + done,affix
correlated,correlate + done,affix
counter,count + agent,affix
cowardly,coward + manner,affix
creation,create + act,affix
creative,create + like,affix
criticize,critic + make,affix
curved,curve + done,affix
dangerous,danger + like,affix
darkness,dark + nature,affix
declaration,declare + act,affix
decoration,decorate + act,affix
deduction,deduce + act,affix
defeated,defeat + done,affix
defer,defy + agent,affix
definition,define + act,affix
delayed,delay + done,affix
delivery,deliver + like,affix
density,dense + nature,affix
department,depart + act,affix
dependent,depend + agent,affix
derivation,derive + act,affix
derived,derive + done,affix
descending,descend + act,affix
desirable,desire + able,affix
development,develop + act,affix
deviation,deviate + act,affix
devotion,devote + act,affix
difference,differ + act,affix
different,differ + agent,affix
digestion,digest + act,affix
digital,digit + like,affix
disabled,disable + done,affix
discussion,discuss + act,affix
disrespectful,disrespect + full,affix
distributed,distribute + done,affix
distribution,distribute + act,affix
diversity,diverse + nature,affix
documentary,document + like,affix
doubtful,doubt + full,affix
duplication,duplicate + act,affix
easy,ease + like,affix
education,educate + act,affix
effective,effect + like,affix
election,elect + act,affix
electricity,electric + nature,affix
elevation,elevate + act,affix
eleven,elevate + make,affix
employee,employ + target,affix
employer,employ + agent,affix
enabled,enable + done,affix
endurance,endure + act,affix
engineer,engine + agent,affix
entity,end + nature,affix
entrance,entry + act,affix
