english                 tune    shape  role           uses  head  source
------------------------------------------------------------------------------
a                       bod     cvc    determiner        4     0  short
abandon                 xubz    cvcc   verb              1     1  fill
able                    fip     cvc    adjective        42    24  short
abort                   lorv    cvcc   verb              0     0  fill
about                   buf     cvc    preposition       8     6  short
above                   nedj    cvcc   adjective        19     4  fill
abroad                  rudz    cvcc   adverb            0     0  fill
absent                  bruf    ccvc   adjective         0     0  fill
absolute                vorf    cvcc   adjective         2     0  fill
absorb                  zub     cvc    verb              4     4  hand
abstain                 flan    ccvc   noun              1     1  fill
abstract                habz    cvcc   adjective         0     0  hand
absurd                  folv    cvcc   adjective         1     0  fill
abundant                fruz    ccvc   adjective         2     0  fill
abyss                   krad    ccvc   noun              0     0  fill
academy                 vebz    cvcc   noun              0     0  fill
accelerate              snaC    ccvc   verb              1     1  fill
accent                  vatx    cvcc   verb              1     1  fill
accept                  kedj    cvcc   verb             10     4  hand
access                  disp    cvcc   verb              3     2  fill
accident                weq     cvc    noun              3     2  short
accommodate             txid    ccvc   verb              0     0  fill
accompany               lesk    cvcc   verb              0     0  fill
accord                  kluv    ccvc   verb              0     0  fill
account                 nodz    cvcc   verb              2     2  fill
accumulate              fruv    ccvc   verb              0     0  fill
accurate                jemp    cvcc   adjective         0     0  fill
accuse                  yand    cvcc   verb              5     2  fill
ace                     horv    cvcc   verb              0     0  fill
ache                    blat    ccvc   verb              3     3  fill
achieve                 judz    cvcc   verb              5     3  fill
acid                    falf    cvcc   noun              8     7  fill
acorn                   vraf    ccvc   noun              0     0  fill
acoustic                stob    ccvc   adjective         0     0  fill
acquire                 brid    ccvc   verb              2     1  fill
acre                    trov    ccvc   noun              0     0  fill
across                  roq     cvc    preposition      15     5  short
act                     yez     cvc    verb            151   145  short
activity                zorv    cvcc   noun              8     8  fill
actual                  txul           adjective         0     0  hand
acute                   djuj    ccvc   adjective         0     0  fill
adapt                   brez    ccvc   verb              0     0  fill
add                     lax     cvc    verb             27     5  hand
addict                  yolb    cvcc   noun              1     1  fill
address                 nind    cvcc   verb              0     0  fill
adequate                broz    ccvc   adjective         2     0  fill
adhere                  fruf    ccvc   noun              0     0  fill
adhesive                stuc    ccvc   adjective         1     0  fill
adjacent                snef    ccvc   adjective         0     0  fill
adjust                  yarp    cvcc   verb              4     3  fill
administer              klom    ccvc   verb              0     0  fill
admire                  sisk    cvcc   noun              0     0  fill
admit                   modz    cvcc   verb              1     0  fill
adopt                   lond    cvcc   verb              0     0  fill
adult                   sidz    cvcc   adjective         2     1  fill
advance                 kuft    cvcc   verb              6     1  fill
advantage               busp    cvcc   noun              3     1  fill
adventure               zidz    cvcc   noun              1     0  fill
advise                  vadj    cvcc   verb              0     0  fill
affair                  dagz    cvcc   noun              0     0  fill
affect                  volc    cvcc   verb              3     2  fill
afford                  noft    cvcc   verb              0     0  fill
after                   ret     cvc    preposition      34     7  hand
afterward               plot    ccvc   noun              0     0  fill
again                   pal     cvc    adverb          258    47  short
against                 zof     cvc    adjective        53     9  short
age                     hedj    cvcc   verb             17    15  hand
agent                   yug     cvc    noun             18    18  short
aggregate               kan     cvc    verb              0     0  hand
aggressive              jibz    cvcc   adjective         1     0  fill
agitated                blex    ccvc   verb              0     0  fill
ago                     sin     cvc    ago               0     0  short
agree                   kek     cvc    verb             22    18  hand
ah                      zog     cvc    ah                0     0  short
aha                     Ceps    cvcc   interjection      0     0  fill
ahead                   hord    cvcc   adjective         7     5  hand
aid                     soqk    cvcc   verb             13    11  fill
aim                     hond    cvcc   verb              7     6  fill
air                     les     cvc    verb             86    26  hand
alarm                   desk    cvcc   verb              0     0  fill
alas                    grev    ccvc   interjection      0     0  fill
alcohol                 koqk    cvcc   noun              6     6  fill
alert                   palv    cvcc   adjective         3     0  fill
algorithm               riC     cvc    noun              0     0  hand
alias                   wolk    cvcc   noun              0     0  fill
alien                   kebz    cvcc   noun              1     0  fill
align                   mok     cvc    verb              4     4  hand
alike                   vort    cvcc   adjective         2     2  fill
alive                   fis     cvc    adjective         2     2  short
all                     kol     cvc    adjective        18     3  hand
allegiance              djaC    ccvc   noun              0     0  fill
allergy                 kleb    ccvc   noun              3     3  fill
alley                   korv    cvcc   noun              0     0  fill
allow                   norg    cvcc   verb             21    10  fill
alloy                   stid    ccvc   noun              4     4  fill
allure                  frox    ccvc   noun              3     0  fill
ally                    gusk    cvcc   noun              2     0  fill
almost                  zup     cvc    adverb            2     0  short
alone                   kag     cvc    adjective        10     4  short
along                   veq     cvc    preposition       5     5  short
already                 ked     cvc    adverb            0     0  short
also                    soz     cvc    adverb            0     0  hand
altar                   rarb    cvcc   noun              0     0  fill
alter                   ledz    cvcc   verb              1     1  fill
alternate               glef    ccvc   adjective         0     0  fill
although                nusk    cvcc   conjunction       0     0  fill
altitude                grib    ccvc   noun              1     0  fill
alto                    sniC    ccvc   noun              0     0  fill
always                  naq     cvc    adverb            7     1  short
amaze                   smiq    ccvc   verb              8     1  fill
ambiguous               vrax    ccvc   adjective         0     0  fill
ambush                  yorp    cvcc   noun              0     0  fill
ammonia                 smav    ccvc   noun              0     0  fill
among                   gorf    cvcc   preposition       3     0  fill
amount                  barg    cvcc   noun             70    67  fill
amp                     trot    ccvc   noun              1     1  fill
amuse                   braq    ccvc   verb              3     0  fill
analyze                 djix    ccvc   verb              0     0  fill
ancestor                bev     cvc    noun              1     0  short
anchor                  jolf    cvcc   verb              0     0  fill
ancient                 xant    cvcc   adjective         5     0  hand
and                     kon     cvc    conjunction       3     0  hand
anesthetic              snet    ccvc   adjective         1     1  fill
angel                   woq     cvc    noun              1     0  short
anger                   tidz    cvcc   verb             11     9  fill
angle                   homp    cvcc   noun             30    23  fill
anguish                 pluv    ccvc   noun              0     0  fill
animal                  zul            adjective        63    35  hand
ankle                   xuft    cvcc   noun              0     0  fill
announce                forf    cvcc   verb              3     1  fill
annoy                   blev    ccvc   verb              6     2  fill
anomaly                 snoC    ccvc   noun              0     0  fill
another                 puv     cvc    determiner        0     0  short
answer                  vad     cvc    verb             17    14  short
ant                     yolv    cvcc   noun              2     0  fill
antenna                 got     cvc    noun              0     0  hand
anti                    flag    ccvc   noun              6     0  fill
anticipate              blep    ccvc   verb              0     0  fill
anus                    spab    ccvc   noun              1     1  fill
anxious                 segz    cvcc   adjective         2     1  fill
any                     nark    cvcc   determiner        5     0  hand
anyone                  sad     cvc    noun              0     0  short
anything                pep     cvc    noun              0     0  short
apart                   prat    ccvc   adverb           37    33  hand
apathy                  fluv    ccvc   noun              0     0  fill
ape                     heps    cvcc   noun              0     0  hand
apology                 hips    cvcc   noun              0     0  fill
apparatus               smab    ccvc   noun              0     0  fill
apparent                wobz    cvcc   adjective         1     0  fill
appear                  fleC    ccvc   verb              9     8  hand
appendage               dedj    cvcc   noun              0     0  hand
appendix                brag    ccvc   noun              2     0  fill
appetite                xagz    cvcc   noun              0     0  fill
applause                volp    cvcc   noun              1     1  fill
apple                   bodj    cvcc   noun              0     0  fill
apply                   vend    cvcc   verb              0     0  fill
appoint                 txat    ccvc   verb              0     0  fill
appreciate              leb     cvc    verb              1     0  short
approach                peft    cvcc   verb              3     1  fill
appropriate             zugz    cvcc   adjective         0     0  fill
approve                 vosk    cvcc   verb              6     6  fill
approximate             snoz    ccvc   adjective         0     0  fill
arbitrary               steq    ccvc   adjective         0     0  fill
arc                     hark    cvcc   noun              3     3  hand
arch                    gruq    ccvc   verb              2     1  fill
archive                 snab    ccvc   verb              0     0  fill
area                    mint    cvcc   noun            137   127  fill
arena                   glib    ccvc   noun              1     0  fill
argue                   tint    cvcc   verb              7     4  fill
arithmetic              smex    ccvc   noun              0     0  fill
arm                     marb    cvcc   verb             19     9  fill
around                  poz     cvc    preposition      46    34  short
arouse                  snuv    ccvc   verb              0     0  fill
arrange                 hent    cvcc   verb             19    11  fill
arrive                  tomp    cvcc   verb              6     6  fill
arrogant                ribz    cvcc   adjective         1     0  fill
arrow                   jift    cvcc   noun              1     1  fill
arson                   djun    ccvc   noun              1     0  fill
art                     meqk    cvcc   noun             27    17  fill
artery                  yubz    cvcc   noun              2     1  fill
