english               tune                          english parts                     tune parts
--------------------------------------------------------------------------------------------------------------
abscess               stepaigalc                    pus + pocket                      step + galc
abuse                 futaiyuz                      bad + use                         fut + yuz
acacia                rargaidip                     thorn + tree                      rarg + dip
acetamide             -                             acetate + amide                   ? + ?
acetaminophen         muzaipudzaisom                pain + fever + drug               muz + pudz + som
acidemia              falfaibloC                    acid + blood                      falf + bloC
acidosis              falfaidom                     acid + state                      falf + dom
acinus                smaqaisnaz                    gland + sac                       smaq + snaz
actinium              cadjaitom                     spark + atom                      cadj + tom
adenocarcinoma        smaqaibudj                    gland + cancer                    smaq + budj
adenoma               -                             gland + growth                    smaq + ?
adenosine             smaqaigandaibes               gland + sugar + base              smaq + gand + bes
adenovirus            smaqaitagz                    gland + virus                     smaq + tagz
adipocyte             wesaimudz                     fat + cell                        wes + mudz
adjuvant              neqaisom                      help + drug                       neq + som
adrenaline            palvaizifaisnen               alert + heart + hormone           palv + zif + snen
agave                 bontaisespailif               sharp + thick + leaf              bont + sesp + lif
agenesis              -                             no + growth                       nop + ?
agriculture           goraiyabz                     field + craft                     gor + yabz
aircraft              lesaiyabz                     air + craft                       les + yabz
airway                lesaiyat                      air + way                         les + yat
alanine               -                             amino + acid                      ? + falf
albinism              -                             no + colour + state               nop + ? + dom
album                 gaCaivam                      gather + book                     gaC + vam
albumin               wipailudz                     white + protein                   wip + ludz
albuterol             xolsaizarkaisom               lung + open + drug                xols + zark + som
aldehyde              -                             carbon + oxygen + group           rint + ? + hip
alder                 waCaikorbaidip                water + cone + tree               waC + korb + dip
alkali                falfaihand                    acid + opposite                   falf + hand
allergen              klebaikaz                     allergy + cause                   kleb + kaz
alligator             horbaiskodaizart              broad + snout + lizard            horb + skod + zart
almond                nudjaihiksaidip               milk + nut + tree                 nudj + hiks + dip
aloe                  klofailifaidorf               gel + leaf + plant                klof + lif + dorf
alopecia              -                             hair + loss                       fif + ?
alprazolam            -                             calm + anxiety + drug             kam + ? + som
alum                  yedzaitigz                    sour + salt                       yedz + tigz
aluminum              palbaitom                     shine + atom                      palb + tom
amaryllis             xoldaiklepaiflor              bare + stalk + flower             xold + klep + flor
americium             smokaitom                     smoke + atom                      smok + tom
amidase               -                             amide + enzyme                    ? + spug
amide                 smavaifalfaihip               ammonia + acid + group            smav + falf + hip
amine                 snucaihip                     nitrogen + group                  snuc + hip
amoxicillin           brakaiklubaisom               bacteria + kill + drug            brak + klub + som
amphetamine           bupaipalvaisom                energy + alert + drug             bup + palv + som
amyloidosis           snebailudzaidom               starch + protein + state          sneb + ludz + dom
anatomy               vatainedz                     body + study                      vat + nedz
andesite              petxaifor                     gray + fire                       petx + for
anemone               wandaiflor                    wind + flower                     wand + flor
anesthesia            nopainag                      no + feel                         nop + nag
aneurysm              vesaistox                     vessel + bulge                    ves + stox
angioma               -                             vessel + growth                   ves + ?
angiosarcoma          vesaiflaxaibudj               vessel + flesh + cancer           ves + flax + budj
anhydride             nopaiwaCaiCeqk                no + water + compound             nop + waC + Ceqk
anhydrous             nopaiwaC                      no + water                        nop + waC
anthropology          pedainedz                     people + study                    ped + nedz
antibody              zofaivat                      against + body                    zof + vat
antimony              pentaitom                     paint + atom                      pent + tom
antique               -                             old + made + thing                marg + ? + niv
aorta                 macaiyubz                     great + artery                    mac + yubz
apex                  sukaileC                      top + point                       suk + leC
aplasia               -                             no + growth                       nop + ?
apoptosis             zuraiyadaimudzaidac           fall + away + cell + death        zur + yad + mudz + dac
aquaculture           waCaidesp                     water + farm                      waC + desp
aquifer               waCairakaigrof                water + rock + layer              waC + rak + grof
archaeology           margainedz                    old + study                       marg + nedz
arginine              -                             amino + acid                      ? + falf
argon                 slomaitom                     slow + atom                       slom + tom
arkose                -                             granite + sand                    ? + sand
arsenic               borzaitom                     poison + atom                     borz + tom
