english,english_parts,tune,tune_parts,joiner,parts,whole,where,kind
abbreviation,"short + form",letainunt,"let + nunt",ai,2,yes,sense,verdict
abdomen,"lower + body + region",,"? + vat + roqk",ai,3,no,sense,verdict
abdominal,"abdomen + of",,"? + yov",ai,2,no,judged,verdict
abduce,"best + explain + infer",,"? + yep + fliq",ai,3,no,sense,verdict
ability,"able + nature",fipainep,"fip + nep",ai,2,yes,sense,verdict
ablation,"ablate + act",,"? + yez",ai,2,no,judged,verdict
abnormal,"away + normal",yadaimebz,"yad + mebz",ai,2,yes,judged,verdict
abnormality,"abnormal + ness",,"? + ?",ai,2,no,judged,verdict
abortion,"abort + act",lorvaiyez,"lorv + yez",ai,2,yes,judged,verdict
abrasive,"abrade + like",,"? + lak",ai,2,no,sense,verdict
absence,"absent + state",brufaidom,"bruf + dom",ai,2,yes,sense,verdict
absorption,"absorb + act",zubaiyez,"zub + yez",ai,2,yes,judged,verdict
abstraction,"abstract + act",habzauyez,"habz + yez",au,2,yes,affix,verdict
academic,"academy + of",vebzaiyov,"vebz + yov",ai,2,yes,judged,verdict
acceleration,"accelerate + act",snaCauyez,"snaC + yez",au,2,yes,affix,verdict
accelerator,"accelerate + thing",snaCainiv,"snaC + niv",ai,2,yes,judged,verdict
acceptance,"accept + act",kedjaiyez,"kedj + yez",ai,2,yes,judged,verdict
acceptor,"accept + agent",kedjaiyug,"kedj + yug",ai,2,yes,judged,verdict
accessory,"access + thing",dispainiv,"disp + niv",ai,2,yes,judged,verdict
accidental,"accident + like",weqaulak,"weq + lak",au,2,yes,affix,verdict
accommodation,"accommodate + act",txidaiyez,"txid + yez",ai,2,yes,judged,verdict
accordance,"accord + act",kluvauyez,"kluv + yez",au,2,yes,affix,verdict
accountable,"answer + able",vadaifip,"vad + fip",ai,2,yes,sense,verdict
accumulation,"accumulate + act",fruvaiyez,"fruv + yez",ai,2,yes,judged,verdict
accuracy,"accurate + nature",jempaunep,"jemp + nep",au,2,yes,affix,verdict
