english,was,now,shape,source,state
a,bod,bod,CVC,short,kept
abandon,xubz,xubz,CVCC,fill,kept
able,fip,fip,CVC,short,kept
abort,lorv,lorv,CVCC,fill,kept
about,buf,buf,CVC,short,kept
above,nedj,nedj,CVCC,fill,kept
abroad,rudz,rudz,CVCC,fill,kept
absent,bruf,bruf,CCVC,fill,kept
absolute,vorf,vorf,CVCC,fill,kept
absorb,zub,zub,CVC,hand,fixed
abstain,flan,flan,CCVC,fill,kept
abstract,habz,habz,CVCC,hand,fixed
absurd,folv,folv,CVCC,fill,kept
abundant,fruz,fruz,CCVC,fill,kept
abyss,krad,krad,CCVC,fill,kept
academy,vebz,vebz,CVCC,fill,kept
accelerate,snaC,snaC,CCVC,fill,kept
accent,vatx,vatx,CVCC,fill,kept
accept,kedj,kedj,CVCC,hand,fixed
access,disp,disp,CVCC,fill,kept
accident,weq,weq,CVC,short,kept
accommodate,txid,txid,CCVC,fill,kept
accompany,lesk,lesk,CVCC,fill,kept
accord,kluv,kluv,CCVC,fill,kept
account,nodz,nodz,CVCC,fill,kept
accumulate,fruv,fruv,CCVC,fill,kept
accurate,jemp,jemp,CVCC,fill,kept
accuse,yand,yand,CVCC,fill,kept
ace,horv,horv,CVCC,fill,kept
ache,blat,blat,CCVC,fill,kept
achieve,judz,judz,CVCC,fill,kept
acid,falf,falf,CVCC,fill,kept
acorn,vraf,vraf,CCVC,fill,kept
acoustic,stob,stob,CCVC,fill,kept
acquire,brid,brid,CCVC,fill,kept
acre,trov,trov,CCVC,fill,kept
across,roq,roq,CVC,short,kept
act,yez,yez,CVC,short,kept
activity,zorv,zorv,CVCC,fill,kept
actual,txul,txul,CCVC,hand,fixed
acute,djuj,djuj,CCVC,fill,kept
adapt,brez,brez,CCVC,fill,kept
add,lax,lax,CVC,hand,fixed
addict,yolb,yolb,CVCC,fill,kept
address,nind,nind,CVCC,fill,kept
adequate,broz,broz,CCVC,fill,kept
adhere,fruf,fruf,CCVC,fill,kept
adhesive,stuc,stuc,CCVC,fill,kept
adjacent,snef,snef,CCVC,fill,kept
adjust,yarp,yarp,CVCC,fill,kept
administer,klom,klom,CCVC,fill,kept
admire,sisk,sisk,CVCC,fill,kept
admit,modz,modz,CVCC,fill,kept
adopt,lond,lond,CVCC,fill,kept
adult,sidz,sidz,CVCC,fill,kept
advance,kuft,kuft,CVCC,fill,kept
advantage,busp,busp,CVCC,fill,kept
adventure,zidz,zidz,CVCC,fill,kept
advise,vadj,vadj,CVCC,fill,kept
affair,dagz,dagz,CVCC,fill,kept
affect,volc,volc,CVCC,fill,kept
afford,noft,noft,CVCC,fill,kept
after,ret,ret,CVC,hand,fixed
afterward,plot,plot,CCVC,fill,kept
again,pal,pal,CVC,short,kept
against,zof,zof,CVC,short,kept
age,hedj,hedj,CVCC,hand,fixed
agent,yug,yug,CVC,short,kept
aggregate,kan,kan,CVC,hand,fixed
aggressive,jibz,jibz,CVCC,fill,kept
agitated,blex,blex,CCVC,fill,kept
ago,sin,sin,CVC,short,kept
agree,kek,kek,CVC,hand,fixed
ah,zog,zog,CVC,short,kept
aha,Ceps,Ceps,CVCC,fill,kept
ahead,hord,hord,CVCC,hand,fixed
aid,soqk,soqk,CVCC,fill,kept
aim,hond,hond,CVCC,fill,kept
air,les,les,CVC,hand,fixed
alarm,desk,desk,CVCC,fill,kept
alas,grev,grev,CCVC,fill,kept
alcohol,koqk,xogz,CVCC,fill,moved
alert,palv,palv,CVCC,fill,kept
algorithm,riC,riC,CVC,hand,fixed
alias,wolk,wolk,CVCC,fill,kept
alien,kebz,kebz,CVCC,fill,fixed
align,mok,mok,CVC,hand,fixed
alike,vort,vort,CVCC,fill,kept
alive,fis,fis,CVC,short,kept
all,kol,kol,CVC,hand,fixed
allegiance,djaC,djaC,CCVC,fill,kept
allergy,kleb,kleb,CCVC,fill,kept
alley,korv,korv,CVCC,fill,kept
allow,norg,norg,CVCC,fill,kept
alloy,stid,stid,CCVC,fill,kept
allure,frox,frox,CCVC,fill,kept
ally,gusk,gusk,CVCC,fill,kept
almost,zup,zup,CVC,short,kept
alone,kag,kag,CVC,short,kept
along,veq,veq,CVC,short,kept
already,ked,ked,CVC,short,kept
also,soz,soz,CVC,hand,fixed
altar,rarb,rarb,CVCC,fill,kept
alter,ledz,ledz,CVCC,fill,kept
alternate,glef,glef,CCVC,fill,kept
although,nusk,nusk,CVCC,fill,kept
altitude,grib,grib,CCVC,fill,kept
alto,sniC,sniC,CCVC,fill,kept
always,naq,naq,CVC,short,kept
amaze,smiq,smiq,CCVC,fill,kept
ambiguous,vrax,vrax,CCVC,fill,kept
ambush,yorp,yorp,CVCC,fill,kept
ammonia,smav,smav,CCVC,fill,kept
among,gorf,gorf,CVCC,fill,fixed
amount,barg,barg,CVCC,fill,fixed
amp,trot,trot,CCVC,fill,kept
amuse,braq,braq,CCVC,fill,kept
analyze,djix,djix,CCVC,fill,kept
ancestor,bev,bev,CVC,short,kept
anchor,jolf,jolf,CVCC,fill,kept
ancient,xant,xant,CVCC,hand,fixed
and,kon,kon,CVC,hand,fixed
anesthetic,snet,snet,CCVC,fill,kept
angel,woq,woq,CVC,short,kept
anger,tidz,tidz,CVCC,fill,kept
angle,homp,homp,CVCC,fill,kept
anguish,pluv,pluv,CCVC,fill,kept
animal,zul,zul,CVC,hand,fixed
ankle,xuft,xuft,CVCC,fill,kept
announce,forf,forf,CVCC,fill,kept
annoy,blev,blev,CCVC,fill,kept
anomaly,snoC,snoC,CCVC,fill,kept
another,puv,puv,CVC,short,kept
answer,vad,vad,CVC,short,kept
ant,yolv,yolv,CVCC,fill,kept
antenna,got,got,CVC,hand,fixed
anti,flag,flag,CCVC,fill,kept
anticipate,blep,blep,CCVC,fill,kept
anus,spab,spab,CCVC,fill,kept
anxious,segz,segz,CVCC,fill,kept
any,nark,nark,CVCC,hand,fixed
anyone,sad,sad,CVC,short,kept
anything,pep,pep,CVC,short,kept
apart,prat,prat,CCVC,hand,fixed
apathy,fluv,fluv,CCVC,fill,kept
ape,heps,heps,CVCC,hand,fixed
apology,hips,hips,CVCC,fill,kept
apparatus,smab,smab,CCVC,fill,kept
apparent,wobz,wobz,CVCC,fill,kept
appear,fleC,fleC,CCVC,hand,fixed
appendage,dedj,dedj,CVCC,hand,fixed
appendix,brag,brag,CCVC,fill,kept
appetite,xagz,xagz,CVCC,fill,kept
applause,volp,volp,CVCC,fill,kept
apple,bodj,bodj,CVCC,fill,kept
apply,vend,vend,CVCC,fill,kept
appoint,txat,txat,CCVC,fill,kept
appreciate,leb,leb,CVC,short,kept
approach,peft,peft,CVCC,fill,kept
appropriate,zugz,zugz,CVCC,fill,kept
approve,vosk,vosk,CVCC,fill,kept
approximate,snoz,snoz,CCVC,fill,kept
arbitrary,steq,steq,CCVC,fill,kept
arc,hark,hark,CVCC,hand,fixed
arch,gruq,gruq,CCVC,fill,kept
archive,snab,snab,CCVC,fill,kept
area,mint,mint,CVCC,fill,kept
arena,glib,glib,CCVC,fill,kept
argue,tint,tint,CVCC,fill,kept
arithmetic,smex,smex,CCVC,fill,kept
arm,marb,marb,CVCC,fill,kept
around,poz,yum,CVC,short,moved
arouse,snuv,snuv,CCVC,fill,kept
arrange,hent,hent,CVCC,fill,kept
arrive,tomp,tomp,CVCC,fill,kept
arrogant,ribz,ribz,CVCC,fill,kept
arrow,jift,golz,CVCC,fill,moved
arson,djun,djun,CCVC,fill,kept
art,meqk,meqk,CVCC,fill,kept
artery,yubz,yubz,CVCC,fill,kept
artifact,spom,spom,CCVC,fill,kept
artificial,liks,liks,CVCC,fill,kept
as,naz,naz,CVC,hand,fixed
ascend,skiq,skiq,CCVC,fill,kept
ash,prax,prax,CCVC,hand,fixed
ask,xask,xask,CVCC,hand,fixed
asleep,sip,sip,CVC,hand,fixed
aspect,vas,vas,CVC,hand,fixed
assault,keqk,keqk,CVCC,fill,kept
assemble,djeq,djeq,CCVC,fill,kept
assert,sur,sur,CVC,hand,fixed
assign,druq,druq,CCVC,fill,kept
assimilate,flav,flav,CCVC,fill,kept
associate,xesk,xesk,CVCC,fill,kept
assume,golf,golf,CVCC,fill,kept
assurance,txaq,txaq,CCVC,fill,kept
at,hat,hat,CVC,hand,fixed
athlete,lodj,lodj,CVCC,fill,kept
atmosphere,fugz,fugz,CVCC,fill,kept
atom,tom,tom,CVC,hand,fixed
attach,totx,totx,CVCC,hand,fixed
attack,wuf,wuf,CVC,short,kept
attempt,tedj,tedj,CVCC,fill,kept
attend,setx,setx,CVCC,fill,kept
attention,rix,hif,CVC,short,moved
attitude,biks,biks,CVCC,fill,kept
attract,yaqk,yaqk,CVCC,fill,fixed
attribute,skev,skev,CCVC,fill,kept
audio,yalz,yalz,CVCC,fill,kept
audit,spaq,spaq,CCVC,fill,kept
aura,trof,trof,CCVC,fill,kept
author,jidj,jidj,CVCC,fill,kept
authority,peps,peps,CVCC,fill,kept
automatic,Cagz,Cagz,CVCC,fill,kept
autumn,grab,grab,CCVC,fill,kept
available,bisk,bisk,CVCC,fill,kept
average,vraj,vraj,CCVC,hand,fixed
aversion,snez,snez,CCVC,fill,kept
avoid,vord,vord,CVCC,hand,fixed
await,duf,duf,CVC,short,kept
awake,bud,bud,CVC,hand,fixed
award,zolv,zolv,CVCC,fill,kept
aware,dub,dub,CVC,hand,fixed
away,yad,yad,CVC,hand,fixed
awe,brex,brex,CCVC,fill,kept
awful,marf,marf,CVCC,fill,kept
awkward,sigz,sigz,CVCC,fill,kept
axe,rubz,rubz,CVCC,fill,kept
axis,vov,vov,CVC,hand,fixed
baby,beb,beb,CVC,hand,fixed
back,gok,gok,CVC,hand,fixed
bacteria,brak,brak,CCVC,hand,fixed
bad,fut,fut,CVC,hand,fixed
badge,heft,heft,CVCC,fill,kept
bag,rod,rod,CVC,short,kept
bait,blet,blet,CCVC,hand,fixed
bake,ceft,ceft,CVCC,fill,kept
balance,halv,halv,CVCC,fill,fixed
ball,bral,bral,CCVC,hand,fixed
balloon,xarf,xarf,CVCC,fill,kept
balm,frov,frov,CCVC,fill,kept
ban,djex,djex,CCVC,fill,kept
banana,fitx,fitx,CVCC,fill,kept
band,mups,mups,CVCC,fill,kept
bang,beq,beq,CVC,hand,fixed
bank,lar,lar,CVC,short,kept
bar,led,led,CVC,short,kept
barb,barb,barb,CVCC,hand,fixed
bare,xold,xold,CVCC,fill,kept
bargain,vars,vars,CVCC,fill,kept
bark,yogz,yogz,CVCC,fill,kept
barley,skif,skif,CCVC,fill,kept
barren,smaC,smaC,CCVC,fill,kept
barrier,glof,glof,CCVC,fill,kept
base,gont,gont,CVCC,fill,fixed
basin,triz,triz,CCVC,fill,kept
basis,varf,varf,CVCC,fill,kept
bask,frux,frux,CCVC,fill,kept
bass,jarf,jarf,CVCC,fill,kept
bat,batx,batx,CVCC,hand,fixed
batch,word,word,CVCC,fill,kept
bathe,blam,blam,CCVC,fill,kept
battery,veps,veps,CVCC,fill,kept
battle,nutx,nutx,CVCC,fill,kept
bay,balb,balb,CVCC,fill,kept
be,baq,baq,CVC,hand,fixed
beach,molp,molp,CVCC,fill,kept
bead,spef,spef,CCVC,fill,kept
beak,bruk,bruk,CCVC,hand,fixed
beam,blim,blim,CCVC,hand,fixed
bean,Colv,Colv,CVCC,fill,kept
bear,nuqk,nuqk,CVCC,hand,fixed
beard,vitx,vitx,CVCC,fill,kept
beast,bist,bist,CVCC,hand,fixed
beat,bit,bit,CVC,hand,fixed
beauty,bat,bat,CVC,hand,fixed
because,tuz,tuz,CVC,hand,fixed
become,jef,jef,CVC,short,kept
bed,vif,vif,CVC,short,kept
bee,fest,losk,CVCC,fill,moved
beep,brip,brip,CCVC,hand,fixed
beer,mimp,mimp,CVCC,fill,kept
before,tor,tor,CVC,hand,fixed
beg,nisp,nisp,CVCC,fill,kept
begin,mork,mork,CVCC,fill,kept
behave,kolv,kolv,CVCC,fill,kept
behind,vib,vib,CVC,short,kept
believe,pof,pof,CVC,short,kept
bell,gent,kubz,CVCC,fill,moved
belong,norb,norb,CVCC,fill,kept
below,dodj,dodj,CVCC,fill,kept
belt,barz,barz,CVCC,fill,kept
bend,bend,bend,CVCC,hand,fixed
beneath,vodz,vodz,CVCC,fill,kept
benefit,sint,sint,CVCC,fill,kept
berry,glaf,spug,CCVC,fill,moved
beside,sadj,sadj,CVCC,hand,fixed
bet,vop,vop,CVC,short,kept
betray,xedz,xedz,CVCC,fill,kept
between,tin,tin,CVC,hand,fixed
beyond,nump,nump,CVCC,fill,fixed
bias,smim,smim,CCVC,fill,kept
bid,visk,visk,CVCC,fill,kept
big,brat,brat,CCVC,hand,fixed
bile,vriz,vriz,CCVC,fill,kept
bill,xaz,xaz,CVC,short,kept
bind,bin,huc,CVC,short,moved
bird,bax,bax,CVC,hand,fixed
birth,dolb,dolb,CVCC,fill,fixed
bit,vic,vic,CVC,hand,fixed
bite,bed,bed,CVC,hand,fixed
bitter,vump,vump,CVCC,fill,kept
black,vog,vog,CVC,hand,fixed
bladder,wuts,wuts,CVCC,fill,kept
