root_a,english_a,root_b,english_b,distance,placed
bod,a,bot,boat,1,one hand placed
bod,a,pod,free,1,one hand placed
bod,a,bud,awake,1,one hand placed
xubz,abandon,xudz,instrument,1,neither hand placed
fip,able,fit,frank,1,neither hand placed
fip,able,vip,six,1,one hand placed
lorv,abort,rorv,plasma,1,neither hand placed
lorv,abort,lurv,leave,1,one hand placed
buf,about,duf,await,1,neither hand placed
buf,about,puf,dad,1,neither hand placed
nedj,above,nidj,van,1,neither hand placed
bruf,absent,druf,sly,1,neither hand placed
bruf,absent,bruv,spleen,1,neither hand placed
vorf,absolute,vorv,shrink,1,neither hand placed
vorf,absolute,vurf,verify,1,one hand placed
zub,absorb,zup,almost,1,one hand placed
flan,abstain,fran,converge,1,neither hand placed
flan,abstain,flaq,ovary,1,neither hand placed
flan,abstain,flen,plait,1,neither hand placed
flan,abstain,flon,circumvent,1,neither hand placed
habz,abstract,hebz,hip,1,one hand placed
habz,abstract,hobz,seal,1,one hand placed
folv,absurd,volv,creep,1,neither hand placed
folv,absurd,forv,retire,1,neither hand placed
fruz,abundant,vruz,revolve,1,neither hand placed
krad,abyss,kred,credit,1,one hand placed
krad,abyss,krod,whirl,1,neither hand placed
vebz,academy,vedz,covering,1,neither hand placed
vebz,academy,vibz,pump,1,neither hand placed
snaC,accelerate,snac,disrupt,1,neither hand placed
snaC,accelerate,snav,knuckle,1,neither hand placed
snaC,accelerate,snaj,rupture,1,neither hand placed
snaC,accelerate,snaz,sac,1,neither hand placed
snaC,accelerate,sneC,swarm,1,neither hand placed
snaC,accelerate,snoC,anomaly,1,neither hand placed
vatx,accent,vetx,tire,1,neither hand placed
vatx,accent,votx,eagle,1,neither hand placed
kedj,accept,kidj,pee,1,one hand placed
disp,access,dist,season,1,neither hand placed
weq,accident,wiq,wing,1,one hand placed
txid,accommodate,txit,intellect,1,neither hand placed
lesk,accompany,lisk,fabric,1,neither hand placed
kluv,accord,kruv,evaluate,1,neither hand placed
nodz,account,nudz,program,1,neither hand placed
fruv,accumulate,vruv,enroll,1,neither hand placed
jemp,accurate,xemp,ladder,1,neither hand placed
jemp,accurate,jimp,bubble,1,neither hand placed
yand,accuse,yant,tease,1,neither hand placed
yand,accuse,yend,universal,1,neither hand placed
yand,accuse,yond,identical,1,neither hand placed
blat,ache,brat,big,1,one hand placed
blat,ache,blet,bait,1,one hand placed
blat,ache,blot,defect,1,neither hand placed
judz,achieve,xudz,instrument,1,neither hand placed
falf,acid,falv,envelope,1,neither hand placed
falf,acid,farf,leak,1,neither hand placed
falf,acid,valf,weed,1,neither hand placed
falf,acid,folf,blank,1,neither hand placed
vraf,acorn,vrav,traverse,1,neither hand placed
vraf,acorn,vref,gradual,1,neither hand placed
vraf,acorn,vrof,spar,1,neither hand placed
stob,acoustic,stop,bog,1,neither hand placed
stob,acoustic,stod,pant,1,neither hand placed
stob,acoustic,stub,constellation,1,neither hand placed
brid,acquire,drid,damp,1,neither hand placed
brid,acquire,prid,humility,1,neither hand placed
brid,acquire,brit,orbit,1,one hand placed
trov,acre,truv,rodent,1,neither hand placed
djuj,acute,djux,shred,1,neither hand placed
brez,adapt,drez,deliberate,1,neither hand placed
brez,adapt,prez,grumpy,1,neither hand placed
brez,adapt,briz,simple,1,one hand placed
lax,add,rax,train,1,one hand placed
yolb,addict,yold,clumsy,1,neither hand placed
yolb,addict,yorb,mint,1,neither hand placed
yolb,addict,yolp,sponsor,1,neither hand placed
nind,address,nint,pregnant,1,neither hand placed
broz,adequate,droz,enter,1,one hand placed
broz,adequate,bruz,buzz,1,one hand placed
fruf,adhere,fruv,accumulate,1,neither hand placed
fruf,adhere,vruf,mope,1,neither hand placed
stuc,adhesive,stuf,prose,1,neither hand placed
stuc,adhesive,stux,vary,1,neither hand placed
snef,adjacent,snev,dangle,1,neither hand placed
snef,adjacent,snif,sniff,1,one hand placed
yarp,adjust,yart,tomb,1,neither hand placed
yarp,adjust,yorp,ambush,1,neither hand placed
klom,administer,klon,buffer,1,neither hand placed
klom,administer,kloq,texture,1,neither hand placed
klom,administer,klum,cue,1,one hand placed
modz,admit,nodz,account,1,neither hand placed
modz,admit,mudz,cell,1,neither hand placed
lond,adopt,lund,flee,1,neither hand placed
sidz,adult,zidz,adventure,1,neither hand placed
busp,advantage,bust,burst,1,one hand placed
busp,advantage,dusp,coast,1,neither hand placed
busp,advantage,pusp,routine,1,neither hand placed
vadj,advise,vedj,vegetable,1,one hand placed
vadj,advise,vodj,sheet,1,neither hand placed
dagz,affair,tagz,virus,1,neither hand placed
dagz,affair,degz,spare,1,neither hand placed
dagz,affair,dogz,decent,1,neither hand placed
volc,affect,volf,immediate,1,neither hand placed
volc,affect,vols,whale,1,neither hand placed
noft,afford,nuft,opinion,1,neither hand placed
ret,after,rit,soil,1,both hand placed
pal,again,tal,tell,1,one hand placed
pal,again,pol,fine,1,neither hand placed
