term,why,where,kind
adp,"an abbreviation",judged,verdict
aeruginosa,"a Latin species epithet",judged,verdict
africana,"a Latin place epithet",judged,verdict
africanus,"a Latin place epithet",judged,verdict
afro,"a clipping of African",judged,verdict
ala,"Latin for wing",judged,verdict
alabama,"a place",judged,verdict
alaska,"a place",judged,verdict
alba,"Latin for white",judged,verdict
albicans,"Latin",judged,verdict
amazon,"a place",judged,verdict
americana,"Latin",judged,verdict
americanum,"a Latin place epithet",judged,verdict
americanus,"Latin",judged,verdict
anglo,"a combining form of English",judged,verdict
antarctica,"a place",judged,verdict
apache,"a people",judged,verdict
arabia,"a place",judged,verdict
arabian,"a demonym",judged,verdict
arctic,"a place",judged,verdict
arg,"an abbreviation of arginine",judged,verdict
argentina,"a place name",judged,verdict
aries,"a constellation",judged,verdict
arizona,"a place",judged,verdict
armenian,"a demonym",judged,verdict
arteriosus,"a Latin epithet",judged,verdict
asiatic,"a demonym",judged,verdict
aspergillus,"a Latin genus name",judged,verdict
atlantic,"a place",judged,verdict
atp,"an abbreviation",judged,verdict
aureus,"Latin for golden",judged,verdict
australia,"a place",judged,verdict
australis,"Latin for southern",judged,verdict
austria,"a place",judged,verdict
avium,"a Latin genitive off a species name",judged,verdict
baltic,"a place",judged,verdict
belarusian,"a demonym",judged,verdict
belgium,"a place name",judged,verdict
bengal,"a place",judged,verdict
berlin,"a place",judged,verdict
bermuda,"a place",judged,verdict
borealis,"Latin for northern",judged,verdict
boston,"a place",judged,verdict
brasiliensis,"Latin",judged,verdict
brazil,"a place",judged,verdict
brevis,"Latin for short",judged,verdict
brussels,"a place",judged,verdict
buddhism,"a religion's own name",judged,verdict
bulgarian,"a demonym",judged,verdict
bulla,"Latin for bubble",judged,verdict
burgdorferi,"a Latin epithet off a surname",judged,verdict
byzantine,"a place",judged,verdict
california,"a place",judged,verdict
californica,"a Latin place epithet",judged,verdict
callosum,"a Latin epithet",judged,verdict
cambodian,"a demonym",judged,verdict
canada,"a place",judged,verdict
canadensis,"Latin",judged,verdict
candida,"a Latin genus name",judged,verdict
canis,"Latin for dog",judged,verdict
capitis,"a Latin genitive off an anatomy name",judged,verdict
carolina,"a place",judged,verdict
catholic,"a proper name",judged,verdict
caudata,"a Latin species epithet",judged,verdict
cava,"a Latin epithet",judged,verdict
cerebri,"a Latin genitive off an anatomy name",judged,verdict
cerevisiae,"Latin",judged,verdict
chad,"a place",judged,verdict
children's,"a possessive form",judged,verdict
chile,"a place",judged,verdict
chinensis,"a Latin place epithet",judged,verdict
cholerae,"a Latin genitive off a species name",judged,verdict
christian,"a proper name",judged,verdict
christmas,"a proper name",judged,verdict
cinerea,"Latin for ashy off a species name",judged,verdict
