term,of,where,kind
abnormalities,"the plural of abnormality",judged,verdict
aluminium,"the British spelling of aluminum",judged,verdict
armour,"the British spelling of armor",judged,verdict
ass,"use donkey",judged,verdict
behaviour,"the British spelling of behavior",judged,verdict
centre,"the British spelling of center",judged,verdict
colour,"the British spelling of color",judged,verdict
corpus,"Latin for body",judged,verdict
coxa,"the Latin for hip",judged,verdict
cutis,"the Latin for skin",judged,verdict
defence,"the British spelling of defense",judged,verdict
disabilities,"the plural of disability",judged,verdict
draught,"the British spelling of draft",judged,verdict
fibre,"the British spelling of fiber",judged,verdict
fisheries,"the plural of fishery",judged,verdict
ganglia,"the plural of ganglion",judged,verdict
globe,"use orb",judged,verdict
grey,"the British spelling of gray",judged,verdict
inhibitors,"the plural of inhibitor",judged,verdict
labour,"the British spelling of labor",judged,verdict
manus,"the Latin for hand",judged,verdict
mills,"the plural of mill",judged,verdict
mould,"the British spelling of mold",judged,verdict
occupations,"the plural of occupation",judged,verdict
organisation,"the British spelling of organization",judged,verdict
programme,"the British spelling of program",judged,verdict
restrictions,"the plural of restriction",judged,verdict
ribbons,"the plural of ribbon",judged,verdict
sulphate,"the British spelling of sulfate",judged,verdict
textiles,"the plural of textile",judged,verdict
theatre,"the British spelling of theater",judged,verdict
vapour,"the British spelling of vapor",judged,verdict
vermis,"the Latin for worm",judged,verdict
