concept,form,was,note
mom,mam,mother,mama. KINSHIP AXIS, placed first
grandmother,nan,,nana nonna nain. KINSHIP AXIS
dad,dad,content,dada. KINSHIP AXIS. content is displaced
grandfather,bab,father,baba. KINSHIP AXIS. father is displaced
child,kik,kick,kick is displaced. gag is freed
baby,pip,individual,individual moves to zak. beb is freed
tune,kip,tune,already held this. the language names itself
tone,kup,tone,already held this
experience,zus,experience,already held this
nothing,siz,peace,peace is displaced. him is freed
cause,kaz,cause,already held this
god,gad,god,already held this
individual,zak,effect,effect is displaced
mind,man,mind,YIELDS to mam and nan. man is one near sound from both
