word,domains,heads,where
major,25,120,"noun.plant noun.communication noun.object noun.person noun.state"
golden,24,13,"noun.animal noun.plant noun.time noun.food noun.substance"
angular,23,17,"adj.pert adj.all noun.phenomenon noun.body noun.shape"
formation,22,407,"noun.communication noun.group noun.act noun.object noun.artifact"
industrial,22,52,"noun.group noun.communication noun.time adj.pert adj.all"
international,22,31,"noun.group noun.location noun.person noun.quantity noun.communication"
oral,22,31,"noun.person adj.all adj.pert noun.communication noun.state"
concentration,21,1286,"noun.artifact noun.attribute noun.act noun.event noun.cognition"
medical,21,58,"noun.communication adj.pert adj.all noun.act noun.person"
grey,21,56,"noun.animal noun.plant noun.person noun.substance adj.all"
centre,21,44,"noun.location noun.group noun.artifact adj.all noun.food"
business,20,84,"noun.communication noun.group noun.artifact noun.act noun.cognition"
plus,20,82,"noun.act adj.all noun.communication noun.state noun.attribute"
discharge,20,67,"noun.phenomenon noun.event noun.act noun.substance noun.process"
turkey,20,48,"noun.plant noun.location noun.attribute noun.animal noun.communication"
intermediate,20,25,"adj.all noun.substance verb.communication noun.animal noun.artifact"
political,20,22,"noun.communication adj.all adj.pert noun.group noun.state"
safety,19,73,"noun.group noun.relation noun.communication noun.attribute noun.artifact"
composite,19,66,"noun.attribute adj.all adj.pert noun.cognition noun.plant"
colour,19,41,"noun.attribute noun.substance adj.all noun.cognition verb.social"
flush,19,37,"adj.all noun.time noun.state noun.group noun.feeling"
optical,19,24,"noun.artifact adj.pert noun.phenomenon noun.substance noun.attribute"
cellular,19,18,"noun.substance adj.pert adj.all noun.process noun.object"
acoustic,19,14,"adj.pert noun.artifact noun.attribute noun.state noun.communication"
gross,19,14,"noun.quantity adj.all noun.possession verb.possession noun.cognition"
pulp,18,52,"noun.food noun.object noun.plant noun.substance noun.communication"
guinea,18,48,"noun.location noun.quantity noun.person noun.plant noun.state"
utility,18,33,"noun.quantity noun.group noun.artifact adj.all noun.attribute"
academic,18,30,"adj.pert adj.all noun.person noun.attribute noun.artifact"
pedal,18,28,"noun.artifact adj.pert noun.communication verb.motion verb.creation"
molecular,18,14,"adj.pert adj.all noun.person noun.cognition noun.communication"
cardinal,18,7,"noun.person noun.body noun.plant adj.all noun.quantity"
condensation,17,198,"noun.cognition noun.process noun.phenomenon noun.event noun.communication"
composition,17,102,"noun.act noun.communication noun.attribute noun.substance noun.artifact"
extension,17,86,"noun.time noun.act noun.communication noun.cognition noun.attribute"
jack,17,73,"noun.person noun.artifact noun.animal noun.act noun.plant"
thermal,17,35,"noun.quantity noun.artifact adj.pert adj.all noun.phenomenon"
christian,17,18,"adj.pert noun.person noun.communication noun.group noun.cognition"
slack,17,18,"noun.person adj.all noun.substance noun.process noun.object"
axial,17,17,"adj.pert adj.all noun.artifact noun.event noun.body"
cardiac,17,17,"noun.body adj.pert noun.state noun.event noun.substance"
tan,17,16,"noun.person adj.all noun.animal noun.act noun.state"
