field,terms,last_10,first_10,heads,head_1,head_2,head_3
place,250101,30.7,14.7,3685,村,乡,镇
species,136060,34.6,15.8,1416,蝇,草,蛾
concept,60721,33.1,9.4,3287,的,属,地
agricultural,41306,25.9,8.7,2096,属,鱼,科
word,38147,4.6,3.8,4418,子,人,头
phenotype,15529,35.2,19.3,691,常,瘤,症
wordnet.noun.artifact,9009,18.4,8.1,980,器,机,车
wordnet.noun.plant,5124,47.8,13.4,559,属,草,科
wordnet.noun.animal,4773,52.4,15.1,411,属,科,鱼
wordnet.noun.state,4512,28.3,9.1,937,病,症,炎
wordnet.noun.substance,3006,33.9,8.1,401,酸,素,石
chemical,2318,27.8,39.1,238,酸,烷,钠
wordnet.noun.act,2230,14.3,7,762,动,法,化
wordnet.verb.social,1904,10.7,18.3,726,作,化,用
mineral,1631,92.6,27.2,71,石,矿,礦
wordnet.verb.motion,1572,22.1,17.8,483,动,行,出
wordnet.noun.possession,1518,38.3,11.8,213,金,费,税
wordnet.noun.person,1374,57.4,15.9,268,者,人,员
rock,1373,87.7,21.7,105,石,矿,岩
wordnet.verb.stative,1368,13.2,17.3,551,于,过,住
wordnet.noun.process,1290,34.7,11.9,338,化,用,成
wordnet.noun.quantity,1170,41.8,20.9,274,数,位,量
wordnet.noun.time,1126,56.6,15.5,191,日,期,节
wordnet.noun.communication,1106,20.3,11.3,388,语,文,言
wordnet.verb.possession,1083,14.9,18.3,449,于,给,出
wordnet.verb.change,1058,17,35.9,432,化,现,生
star,1008,92.7,31.9,49,一,二,三
wordnet.verb.perception,858,27.3,33.1,333,声,响,到
wordnet.verb.communication,729,14.3,14.4,342,说,明,问
wordnet.noun.cognition,648,25.6,10.2,269,学,论,义
medicinal,550,41.8,16,220,子,草,花
wordnet.verb.contact,538,16.4,19.5,286,住,击,上
wordnet.noun.relation,524,36.1,24.2,179,系,率,数
wordnet.noun.shape,498,60.4,20.5,125,形,线,角
wordnet.noun.group,472,30.9,16.1,172,会,队,人
wordnet.adv.all,445,76.2,20.7,93,地,的,上
wordnet.noun.attribute,402,29.4,12.2,212,性,度,力
wordnet.noun.location,400,29,43.8,174,亚,岛,点
wordnet.adj.all,362,74.6,41.7,102,的,明,些
wordnet.noun.food,268,30.6,20.9,112,酒,菜,肉
wordnet.noun.object,264,39,33,111,河,星,子
wordnet.noun.body,263,26.6,22.1,146,子,部,骨
wordnet.verb.cognition,224,20.5,22.3,143,想,化,定
wordnet.adj.pert,212,89.2,16,33,的,者,华
wordnet.noun.event,201,20.9,18.9,137,事,合,赛
wordnet.verb.weather,200,39,45,96,光,火,雨
