head,marks,gloss
子,767,"offspring"
人,383,"person"
水,290,"water"
头,252,"head"
心,226,"heart"
山,205,"mountain"
頭,204,"head"
道,193,"path"
手,191,"hand"
城,188,"castle"
力,184,"power"
地,184,"earth"
面,182,"face"
气,180,"gas"
事,177,"matter"
出,173,"out"
生,172,"life"
口,172,"mouth"
行,172,"column"
然,172,"yes"
化,171,"change"
色,158,"color"
仔,157,"small thing"
县,148,"county"
文,146,"literature"
音,145,"sound"
下,144,"down"
身,144,"body"
花,142,"flower"
家,140,"home"
用,139,"with"
法,138,"law"
度,138,"degree"
语,137,"language"
日,133,"day"
意,133,"thought"
工,133,"labor"
线,133,"line"
门,132,"door"
的,131,"possessive"
路,131,"road"
定,130,"decide"
位,130,"throne"
州,130,"state"
点,129,"dot"
车,128,"cart"
石,128,"stone"
科,127,"section"
名,126,"name"
体,126,"body"
菜,126,"vegetables"
角,126,"horn"
动,124,"move"
情,122,"feeling"
性,122,"sex"
年,121,"year"
安,117,"peaceful"
火,117,"fire"
光,116,"light"
草,116,"grass"
属,115,"class"
球,114,"ball"
死,114,"die"
阳,113,"'male' principle"
数,112,"count"
流,112,"flow"
眼,112,"eyelet"
上,111,"up"
鱼,111,"fish"
物,110,"thing"
合,110,"combine"
皮,110,"skin"
方,109,"a square"
言,109,"words"
管,109,"pipe"
骨,107,"skeleton"
场,106,"open space"
号,106,"mark"
分,106,"divide"
制,106,"system"
儿,105,"son"
本,105,"root"
长,105,"long"
量,104,"amount"
客,104,"guest"
明,104,"bright"
房,103,"house"
中,103,"central"
金,103,"gold"
食,103,"eat"
片,102,"piece"
海,102,"sea"
理,102,"reason"
目,101,"eye"
板,101,"plank"
发,99,"issue"
入,99,"enter"
利,99,"sharp"
风,99,"wind"
机,98,"desk"
国,97,"nation"
天,97,"sky"
马,97,"horse"
語,96,"speak"
时,95,"time"
油,95,"oil"
成,95,"completed"
女,95,"female"
台,95,"platform"
江,94,"river"
氣,93,"gas"
书,92,"book"
命,92,"life"
起,90,"rise"
教,90,"teach"
会,89,"would"
期,89,"period of time"
木,88,"tree"
士,87,"scholar"
果,87,"fruit"
价,87,"price"
料,87,"consider"
豆,87,"beans"
德,87,"virtue"
衣,86,"clothes"
格,86,"pattern"
世,86,"generation"
带,86,"bring"
学,85,"learning"
月,85,"month"
开,84,"on"
声,84,"sound"
酒,84,"wine"
空,84,"empty"
大,83,"big"
病,83,"illness"
平,83,"flat"
民,83,"people"
重,83,"heavy"
白,82,"white"
星,82,"star"
船,82,"boat"
落,82,"fall"
土,82,"soil"
河,82,"river"
作,81,"work"
得,81,"obtain"
信,81,"letter"
和,81,"and"
形,81,"form"
魚,81,"fish"
服,80,"clothes"
住,80,"reside"
取,80,"take"
神,80,"god"
字,79,"word"
票,79,"ticket"
钱,79,"money"
