mark,heads,gloss
大,475,"big"
小,286,"small"
不,265,"not"
水,251,"water"
白,242,"white"
海,231,"sea"
上,224,"up"
一,209,"one"
中,209,"central"
高,204,"high"
天,198,"sky"
打,192,"beat"
出,188,"out"
开,188,"on"
公,184,"fair"
自,184,"self"
重,180,"heavy"
分,175,"divide"
下,174,"down"
花,169,"flower"
老,168,"old"
外,163,"outside"
发,158,"issue"
地,147,"earth"
金,147,"gold"
手,144,"hand"
新,144,"new"
山,143,"mountain"
回,140,"return"
无,140,"negative"
生,138,"life"
平,137,"flat"
正,133,"upright"
相,133,"mutual"
反,133,"reverse"
人,131,"person"
长,130,"long"
前,128,"forward"
清,128,"clear"
石,127,"stone"
火,126,"fire"
家,123,"home"
西,122,"west"
转,120,"turn"
心,119,"heart"
黑,119,"black"
三,119,"three"
安,117,"peaceful"
通,117,"pass through"
后,114,"backward"
南,113,"south"
主,111,"master"
失,111,"lose"
文,111,"literature"
有,110,"have"
沙,110,"sand"
同,108,"alley"
成,108,"completed"
马,107,"horse"
全,107,"maintain"
对,107,"correct"
内,107,"inside"
电,106,"electric"
神,104,"god"
交,103,"hand"
光,103,"light"
合,102,"combine"
行,102,"column"
阿,101,"prefix for people's names"
多,100,"many"
加,100,"add"
流,100,"flow"
空,100,"empty"
名,99,"name"
青,99,"blue"
黄,99,"yellow"
木,99,"tree"
定,97,"decide"
变,96,"change"
冰,96,"ice"
日,95,"day"
本,95,"root"
血,95,"blood"
放,94,"put"
面,94,"face"
可,93,"may"
收,93,"gather together"
红,92,"red"
推,91,"push"
解,91,"loosen"
好,90,"nice"
明,89,"bright"
起,89,"rise"
受,89,"receive"
月,89,"month"
香,89,"fragrant"
死,89,"die"
排,88,"row"
美,88,"beauty"
口,88,"mouth"
法,88,"law"
北,87,"north"
干,87,"dry"
提,87,"hold in hand"
土,87,"soil"
风,86,"wind"
倒,86,"pour"
国,85,"nation"
牛,85,"cow"
特,85,"special"
酒,85,"wine"
無,85,"not have"
入,84,"enter"
原,84,"source"
油,84,"oil"
单,83,"single"
年,83,"year"
气,83,"gas"
传,83,"summon"
古,82,"old"
走,81,"go"
精,81,"essence"
五,81,"five"
头,80,"head"
接,80,"catch"
包,79,"pack"
商,79,"business"
教,79,"teach"
直,78,"straight"
双,78,"pair"
散,78,"scatter"
暗,78,"obscure"
女,77,"female"
