char,english,pinyin,hsk,total,as_head,as_mark,role
叶,"leaf",yè,,4343,237,4106,both
花,"flower",huā,1,1908,298,1610,both
毛,"hair",máo,1,1603,135,1468,both
山,"mountain",shān,1,1358,119,1239,both
南,"south",nán,1,1272,35,1237,both
长,"long",zhǎng,2,966,41,925,both
大,"big",dà,1,955,63,892,both
果,"fruit",guǒ,1,912,176,736,both
小,"small",xiǎo,1,801,80,721,both
西,"west",xī,1,801,7,794,both
草,"grass",cǎo,2,584,496,88,both
齿,"tooth",chǐ,,551,63,488,both
细,"fine, tiny",xì,4,519,42,477,both
藓,"moss, lichen",xiǎn,,486,475,11,both
白,"white",bái,1,479,65,414,both
东,"east",dōng,1,470,7,463,both
短,"short",duǎn,2,467,21,446,both
黄,"yellow",huáng,2,462,81,381,both
萼,"stem and calyx of a flower",è,,459,53,406,both
多,"many",duō,1,459,18,441,both
枝,"branches, limbs",zhī,6,447,44,403,both
川,"river",chuān,,429,8,421,both
苞,"a variety of rush",bāo,,428,55,373,both
台,"platform",tái,3,415,8,407,both
红,"red",hóng,2,412,38,374,both
云,"cloud",yún,2,411,8,403,both
木,"tree",mù,5,400,239,161,both
海,"sea",hǎi,2,394,38,356,both
尖,"sharp, pointed, acute, keen",jiān,6,386,17,369,both
华,"flowery",huá,5,386,13,373,both
藏,"hide",cáng,5,385,12,373,both
茎,"stem, stalk",jīng,6,377,16,361,both
裂,"split, crack, break open",liè,6,375,36,339,both
生,"life, living, lifetime",shēng,2,371,21,350,both
江,"river",jiāng,4,371,6,365,both
柄,"authority",bǐng,,365,34,331,both
中,"central",zhōng,1,354,4,350,both
氏,"clan, family",shì,6,348,16,332,both
湾,"a bay, cove, inlet, bend of stream",wān,6,342,3,339,both
滇,"Lake Dian",diān,,341,15,326,both
脉,"blood vessels, veins, arteries",mài,6,341,10,331,both
瓣,"petal",bàn,6,326,38,288,both
兰,"orchid",lán,,324,232,92,both
穗,"ear of grain",suì,,316,32,284,both
紫,"purple, violet",zǐ,5,313,51,262,both
刺,"prick",cì,4,312,64,248,both
北,"north",běi,1,305,9,296,both
圆,"round",yuán,4,303,10,293,both
金,"gold",jīn,3,302,90,212,both
高,"high",gāo,1,300,18,282,both
狭,"narrow, limited",xiá,6,282,5,277,both
拟,"draft",nǐ,7,275,83,192,both
亚,"Asia",yà,4,270,4,266,both
密,"dense, thick, close",mì,4,268,7,261,both
苔,"moss, lichen",tái,,248,243,5,both
序,"preface",xù,7,248,12,236,both
光,"light",guāng,3,245,14,231,both
龙,"dragon",lóng,3,244,36,208,both
尔,"you",ěr,4,244,2,242,both
丽,"beautiful, magnificent, elegant",lì,4,242,7,235,both
三,"three",sān,1,241,37,204,both
羽,"feather, plume",yǔ,4,240,37,203,both
广,"wide",guǎng,5,231,5,226,both
梗,"stem of flower, branch of plant",gěng,,230,3,227,both
头,"head",tóu,2,228,40,188,both
地,"earth",de,1,226,49,177,both
粗,"rough, thick, course",cū,4,226,10,216,both
异,"different, unusual, strange",yì,6,225,38,187,both
鳞,"fish scales",lín,,222,56,166,both
柱,"pillar, post",zhù,6,222,45,177,both
藤,"rattan, cane",téng,,221,184,37,both
香,"fragrant, sweet-smelling",xiāng,3,219,94,125,both
马,"horse",mǎ,3,216,44,172,both
黑,"black",hēi,2,213,17,196,both
假,"falsehood, deception",jiǎ,2,209,91,118,both
色,"color, tint, hue, shade",sè,4,209,3,206,both
四,"four",sì,1,207,16,191,both
水,"water",shuǐ,1,204,76,128,both
宽,"wide",kuān,4,200,8,192,both
边,"side",biān,1,197,12,185,both
蕨,"Pteris aquilina, common bracken",jué,,196,177,19,both
绿,"green",lǜ,2,196,5,191,both
子,"offspring, child",zǐ,1,194,110,84,both
无,"negative, no, not",wú,4,193,24,169,both
拉,"pull",lā,2,192,7,185,both
尾,"tail",wěi,,185,51,134,both
美,"beauty",měi,3,183,16,167,both
状,"form",zhuàng,5,182,1,181,both
石,"stone, rock, mineral",shí,5,179,66,113,both
矮,"short, dwarf",ǎi,3,178,7,171,both
天,"sky",tiān,1,178,30,148,both
灰,"ash",huī,5,177,25,152,both
腺,"gland",xiàn,7,175,9,166,both
平,"flat, level, even",píng,2,174,18,156,both
州,"state",zhōu,6,174,0,174,mark only
唇,"lip",chún,6,171,33,138,both
角,"horn",jiǎo,2,169,52,117,both
青,"blue, green",qīng,5,167,34,133,both
翅,"wings",chì,5,164,33,131,both
单,"single, individual, only",dān,4,163,23,140,both
卵,"horn",luǎn,7,158,2,156,both
菊,"chrysanthemum",jú,,157,145,12,both
麻,"hemp, jute, flax",má,7,156,68,88,both
林,"forest, grove",lín,4,156,4,152,both
树,"tree",shù,1,153,122,31,both
疏,"neglect",shū,6,151,1,150,both
新,"new",xīn,1,147,19,128,both
蕊,"unopened flowers, flower buds",ruǐ,,143,32,111,both
阿,"prefix for people's names",ā,,143,3,140,both
耳,"ear",ěr,3,140,45,95,both
厚,"thick",hòu,4,139,20,119,both
河,"river",hé,2,136,1,135,both
球,"ball",qiú,1,134,23,111,both
心,"heart",xīn,3,132,17,115,both
