domain,lemmas,phrase,built,opaque,already_candidate
medicine.mesh,1079127,865705,43480,169942,376
chemistry,218533,184654,782,33097,48
medicine.all,204161,179309,2624,22228,1382
tool.artifact,180460,140147,4282,36031,915
disease,57980,48588,432,8960,242
anatomy,25171,23356,226,1589,159
medicine.sign,19894,18537,159,1198,30
noun.person,19708,8618,1351,9739,511
adj.all,17837,3228,6254,8355,831
noun.plant,17789,13020,138,4631,224
noun.artifact,17245,8521,979,7745,1015
noun.animal,14349,8399,295,5655,232
geology.rock,11409,4622,163,6624,61
noun.act,9655,3305,3340,3010,734
noun.communication,9266,4173,1356,3737,675
environment,6471,4964,298,1209,312
clothing,6032,4104,63,1865,70
noun.state,5677,2103,1286,2288,394
music,5111,2950,55,2106,36
noun.attribute,5089,770,3211,1108,480
noun.location,5073,2147,199,2727,225
noun.substance,4857,2147,251,2459,227
noun.cognition,4640,1682,1414,1544,476
sport,4556,3844,154,558,16
adv.all,4482,810,1138,2534,193
adj.pert,4365,191,693,3481,51
noun.group,4086,2318,402,1366,309
noun.food,3698,1936,155,1607,262
noun.body,3591,2167,114,1310,261
cell,3335,3191,11,133,3
verb.change,2766,529,378,1859,651
verb.contact,2535,539,250,1746,769
law,2419,2236,54,129,14
noun.object,2372,1107,175,1090,239
physics.quantity,2276,1790,108,378,50
verb.communication,2270,453,320,1497,632
noun.quantity,2111,819,175,1117,222
quality,1887,1034,332,521,145
noun.time,1724,941,146,637,157
verb.motion,1707,515,128,1064,514
verb.social,1692,422,228,1042,518
noun.event,1677,436,497,744,286
plant-part,1659,1450,17,192,25
noun.possession,1586,942,203,441,151
noun.process,1165,314,568,283,63
verb.cognition,1067,228,195,644,377
verb.possession,1064,246,161,657,355
verb.stative,1016,277,124,615,403
noun.phenomenon,998,517,183,298,122
verb.body,965,209,94,662,259
verb.creation,896,164,119,613,293
noun.feeling,776,80,435,261,113
noun.relation,707,298,206,203,69
verb.perception,662,114,64,484,249
verb.emotion,640,141,79,420,211
verb.competition,608,142,54,412,220
physics.unit,573,398,11,164,51
noun.shape,569,168,97,304,158
verb.consumption,402,102,38,262,148
verb.weather,127,36,14,77,48
noun.root,83,17,19,47,44
noun.motive,78,22,18,38,16
adj.ppl,76,6,23,47,0
