domain,head,names,share_of_domain
adj.all,shaped,115,0.0379
adj.all,colored,42,0.0138
adj.all,eyed,41,0.0135
adj.all,out,39,0.0128
adj.all,like,34,0.0112
adj.all,sized,28,0.0092
adj.all,coloured,28,0.0092
adj.all,white,27,0.0089
adj.all,haired,26,0.0086
adj.all,brown,26,0.0086
adj.all,green,24,0.0079
adj.all,minded,24,0.0079
adj.all,gray,23,0.0076
adj.all,grey,23,0.0076
adj.all,scented,22,0.0072
adj.all,blue,22,0.0072
adj.all,red,21,0.0069
adj.all,speaking,19,0.0063
adj.all,black,19,0.0063
adj.all,down,19,0.0063
adj.all,faced,18,0.0059
adj.all,headed,17,0.0056
adj.all,free,16,0.0053
adj.all,purple,15,0.0049
adj.all,fifth,15,0.0049
adj.all,five,15,0.0049
adj.all,one,14,0.0046
adj.all,bodied,14,0.0046
adj.all,leafed,14,0.0046
adj.all,leaved,14,0.0046
adj.all,handed,14,0.0046
adj.all,sided,14,0.0046
adj.all,off,13,0.0043
adj.all,pink,13,0.0043
adv.all,time,21,0.0276
adv.all,way,14,0.0184
anatomy,development,947,0.0433
anatomy,cell,768,0.0351
anatomy,differentiation,488,0.0223
anatomy,morphogenesis,472,0.0216
anatomy,artery,417,0.0191
anatomy,bone,397,0.0181
anatomy,muscle,369,0.0169
anatomy,nucleus,339,0.0155
anatomy,vein,335,0.0153
anatomy,element,299,0.0137
anatomy,transport,273,0.0125
anatomy,gland,267,0.0122
anatomy,node,253,0.0116
anatomy,epithelium,252,0.0115
anatomy,formation,233,0.0106
anatomy,tooth,217,0.0099
anatomy,cartilage,214,0.0098
anatomy,proliferation,196,0.0090
anatomy,vertebra,193,0.0088
anatomy,nerve,192,0.0088
anatomy,secretion,184,0.0084
anatomy,system,183,0.0084
anatomy,tissue,179,0.0082
anatomy,membrane,172,0.0079
anatomy,digit,165,0.0075
anatomy,joint,161,0.0074
anatomy,migration,153,0.0070
anatomy,layer,147,0.0067
anatomy,organization,138,0.0063
anatomy,binding,136,0.0062
anatomy,region,135,0.0062
anatomy,duct,123,0.0056
anatomy,somite,123,0.0056
anatomy,cord,120,0.0055
anatomy,assembly,120,0.0055
anatomy,segment,111,0.0051
anatomy,tract,110,0.0050
anatomy,ganglion,110,0.0050
anatomy,complex,104,0.0048
anatomy,condensation,104,0.0048
anatomy,mesenchyme,102,0.0047
anatomy,plate,99,0.0045
anatomy,vessel,97,0.0044
anatomy,cortex,96,0.0044
anatomy,human,95,0.0043
anatomy,area,95,0.0043
anatomy,organ,94,0.0043
anatomy,sulcus,94,0.0043
anatomy,skeleton,91,0.0042
anatomy,response,87,0.0040
anatomy,mouse,87,0.0040
anatomy,canal,83,0.0038
anatomy,maturation,83,0.0038
anatomy,ray,81,0.0037
anatomy,foramen,74,0.0034
anatomy,ligament,73,0.0033
anatomy,primordium,73,0.0033
anatomy,ventricle,71,0.0032
anatomy,stimulus,70,0.0032
anatomy,lobe,69,0.0032
anatomy,crest,65,0.0030
anatomy,activation,64,0.0029
anatomy,chemotaxis,64,0.0029
anatomy,homeostasis,63,0.0029
anatomy,neuron,62,0.0028
anatomy,plexus,61,0.0028
anatomy,gyrus,61,0.0028
anatomy,body,59,0.0027
anatomy,stage,58,0.0026
anatomy,growth,57,0.0026
anatomy,tubule,56,0.0026
anatomy,tube,55,0.0025
anatomy,acid,54,0.0025
anatomy,intestine,54,0.0025
anatomy,zone,50,0.0023
anatomy,rib,50,0.0023
anatomy,junction,49,0.0022
anatomy,division,48,0.0022
anatomy,bud,48,0.0022
anatomy,arch,48,0.0022
anatomy,sinus,47,0.0021
anatomy,colon,46,0.0021
anatomy,cavity,46,0.0021
anatomy,space,46,0.0021
anatomy,spine,46,0.0021
anatomy,column,45,0.0021
anatomy,contraction,45,0.0021
anatomy,localization,45,0.0021
anatomy,structure,44,0.0020
anatomy,sac,44,0.0020
anatomy,entity,43,0.0020
anatomy,bronchus,42,0.0019
anatomy,production,42,0.0019
anatomy,commissure,42,0.0019
anatomy,compound,41,0.0019
anatomy,fold,41,0.0019
