domain,one,two,word_one,word_two,shape,note
space,left,right,bep,pob,CVC,keeps both
space,up,down,ted,dot,CVC,keeps both
space,front,back,keg,gok,CVC,keeps both
bound,inside,outside,brad,drob,CCVC,
bound,open,shut,xuj,jix,CVC,
bound,near,far,dolb,bald,CVCC,
size,big,small,vrif,fruv,CCVC,
size,long,short,tolv,valt,CVCC,
size,wide,narrow,zols,salz,CVCC,
weight,heavy,light,vaf,fov,CVC,
weight,thick,thin,kurg,gark,CVCC,
weight,deep,shallow,vult,talv,CVCC,
heat,hot,cold,plub,blip,CCVC,
heat,wet,dry,karg,gurk,CVCC,
heat,bright,dim,prek,krop,CCVC,
touch,hard,soft,Cec,coC,CVC,
touch,rough,smooth,jox,xaj,CVC,
touch,sharp,dull,jal,loj,CVC,
worth,good,bad,plok,klep,CCVC,
worth,clean,dirty,vrof,frav,CCVC,
worth,rich,poor,kap,puk,CVC,
truth,true,false,dret,trod,CCVC,
truth,right,wrong,pulb,balp,CVCC,
truth,certain,uncertain,brep,prob,CCVC,
count,all,none,brid,drub,CCVC,
count,many,few,vrit,truv,CCVC,
count,more,less,Cuc,ciC,CVC,
time,begin,end,pok,kep,CVC,kep holds clone
time,before,after,klip,pluk,CCVC,
time,early,late,sulz,zals,CVCC,
life,birth,death,varf,forv,CVCC,
life,live,die,preb,brop,CCVC,
life,grow,shrink,barp,porb,CVCC,
move,come,go,glek,klog,CCVC,
move,rise,fall,palk,kolp,CVCC,
move,push,pull,gruk,krig,CCVC,
hold,give,take,bod,dab,CVC,
hold,gain,lose,sorz,zars,CVCC,
hold,keep,drop,jol,laj,CVC,
join,join,split,fulv,valf,CVCC,
join,attach,detach,kog,gek,CVC,
join,include,exclude,falv,vulf,CVCC,
mind,know,doubt,blap,plob,CCVC,
mind,remember,forget,pulk,kalp,CVCC,
mind,wake,sleep,fiv,vuf,CVC,
feel,love,hate,xoj,jex,CVC,
feel,joy,sorrow,grok,kreg,CCVC,
feel,hope,fear,krog,grek,CCVC,
talk,ask,answer,trud,drit,CCVC,
talk,speak,listen,zes,soz,CVC,soz holds also
talk,teach,learn,gak,kug,CVC,
deed,build,destroy,dult,tald,CVCC,
deed,help,harm,trav,vrot,CCVC,
deed,heal,wound,zis,suz,CVC,
rule,allow,forbid,cuC,Cac,CVC,
rule,praise,blame,fev,vof,CVC,
rule,free,bind,prib,brup,CCVC,
trade,buy,sell,dalb,buld,CVCC,
trade,lend,borrow,fuv,vif,CVC,
trade,send,receive,krug,grak,CCVC,
flow,absorb,emit,pleb,blop,CCVC,
flow,inhale,exhale,bop,pab,CVC,
flow,fill,empty,klug,glak,CCVC,
state,same,different,bolp,palb,CVCC,
state,whole,part,tov,vet,CVC,
state,one,many,tav,vut,CVC,
make,create,destroy,prub,brap,CCVC,
make,order,chaos,blup,plib,CCVC,
make,peace,war,burp,parb,CVCC,
kin,parent,child,tid,dut,CVC,
kin,ancestor,descendant,tud,dit,CVC,
kin,host,guest,xij,jux,CVC,
side,friend,enemy,vraf,frov,CCVC,
side,self,else,sez,zos,CVC,sez holds sir
side,ally,rival,vrut,triv,CCVC,
cause,cause,effect,vrat,trov,CCVC,
cause,enable,prevent,bap,pub,CVC,
cause,add,subtract,Coc,ceC,CVC,
