name,kind,proposal,from
Actinolite,gem_material,green flash stone,echo
Actinolite,gem_material,radiate stone,echo
Adularia,gem_material,ice long stone,echo
Agate,gem_material,jinx string,echo
Alexandrite,gem_material,change stone,echo
Almandine,gem_material,noble garnet,echo
Alunite,gem_material,bright alum stone,echo
Amber,gem_material,cinnabar vigor,echo
Amber,gem_material,sea resin,echo
Amethyst,gem_material,purple clear,echo
Amethyst,gem_material,letter way attachment,echo
Andalusite,gem_material,red pillar stone,echo
Anhydrite,gem_material,hard stone grease,echo
Anorthite,gem_material,ashes long stone,echo
Anorthite,gem_material,lime feldspar,echo
Anthracite,gem_material,white coal,echo
Anthracite,gem_material,hard coal,echo
Anthracite,gem_material,negative smoke charcoal,echo
Anthracite,gem_material,smokeless coal,echo
Apatite,gem_material,phosphorus ashes stone,echo
Aquamarine,gem_material,green jade,echo
Aquamarine,gem_material,water marine,echo
Aragonite,gem_material,literature stone,echo
Aragonite,gem_material,hail stone,echo
Asbestos,gem_material,stone cotton wad,echo
Azurite,gem_material,stone blue,echo
Azurite,gem_material,blue copper mine,echo
Bauxite,gem_material,alum soil,echo
Bauxite,gem_material,aluminum soil,echo
Beryl,gem_material,green pillar stone,echo
Biotite,gem_material,black enamel,echo
Bone,gem_material,skeleton head,echo
Bornite,gem_material,mottled copper mine,echo
Carnallite,gem_material,mixed salt,echo
Cassiterite,gem_material,tin stone,echo
Cassiterite,gem_material,kassite rite,echo
Chalcopyrite,gem_material,yellow copper mine,echo
Chalcopyrite,gem_material,copper gravel,echo
Chromite,gem_material,chromium ironstone,echo
Chrysoberyl,gem_material,gold green stone,echo
Cinnabar,gem_material,early morning pebbles,echo
Citrine,gem_material,yellow water,echo
Coral,gem_material,mountain number,echo
Cordierite,gem_material,celery blue stone,echo
Corundum,gem_material,hard jade,echo
Corundum,gem_material,firm jade,echo
Corundum,gem_material,steel jade,echo
Covellite,gem_material,copper blue,echo
Cryolite,gem_material,ice stone,echo
Diamond,gem_material,drill stone,echo
Diamond,gem_material,beautiful jade stone,echo
Diamond,gem_material,gold firm,echo
Dolomite,gem_material,pure clouds stone,echo
Emerald,gem_material,green jade,echo
Emerald,gem_material,green jade stone,echo
Feldspar,gem_material,long stone,echo
