gloss,uses,forms,sayable
saint,249376,556,1
creek,237218,13,1
church,229440,192,1
lake,228403,271,1
"a school, educational institution that provides education, whether combined with research or not",204634,7,1
hill,200172,481,1
secondhand,198442,2759,0
mountain,188705,1062,1
alternative letter-case form of ch ("horsepower"),187443,2263,1
forms iterative verbs,180440,266,1
spring,161136,324,1
river,160488,516,1
the name of the latin-script letter c/c.,149712,252,1
"ben tree, horseradish tree (the moringa oleifera of arabia and india, which produces oil of ben)",145873,137,1
"stoutness, thickness",143131,4923,0
food,140368,117,1
valley,128393,1042,1
one,119524,3149,1
house,119377,1568,1
added to a verb or less frequently to a noun to form a verb denoting a repetitive action. linking vowels are usually used between the stem and the suffix.,103891,925,1
field,99008,101,1
address a single person by the use of the pronoun ye instead of thou.,98570,324,1
island,95391,504,1
first-person singular present negative colloquial of bod,90686,480,1
"jay, the name of the latin script letter j/j.",76231,2155,1
farmstead,75487,1560,0
stream,72383,111,1
sigh [since 11th century],72309,1516,1
four,70052,81,1
"honour, glory, grace",69769,378,1
dam,69748,63,1
point,68912,26,1
a surname,68416,1342,0
hotel,66383,45,1
de-,64993,129,0
"gorge, ravine",61322,1,1
ice,59061,1421,1
"stop, stopover, station (a place where one stops on the way; the act of stopping itself)",58737,3,1
a kind of commercial label used on certain goods in the past,58099,1541,1
"play, sport",56681,8,1
"the person who started a thread on an internet forum; the original poster, the op",55995,670,1
a male given name,53092,625,1
centre / center,53036,12,1
to give,52927,807,1
the ground husk of wheat,52620,19,1
xi (greek letter),52535,1624,1
name of the digraph ch/ch; previously considered a letter,52315,248,1
department,51368,4,1
new,51149,504,1
a person.,50639,72,1
high,49878,45,1
a finnish surname,49343,1119,0
sow (female pig),47947,665,1
"forming nouns from verbs, denoting verbal action or an instance of it; or denoting a substance involved in the verbal action",47789,177,1
cow (female bovine animal at or near adulthood),47619,30,1
the state of being employed or having a work or job; employment:,47569,1,1
slide,47009,157,1
village,45930,283,1
ranch,45735,9,0
town,45127,1001,1
post,44357,8,1
a user account belonging to whatsapp.,44273,936,1
inn,43634,36,1
zhuang (language),43318,1009,1
"to buzz, bumble, drone",43230,727,1
pure,43111,977,1
bay,42869,366,1
wood,42789,418,1
h-prothesized form of i,42249,1193,1
"doe, female fallow deer",42130,1119,1
swan,41681,661,1
rib of a ship,41349,65,1
element,40771,4,1
"a brook, stream or creek; a small river",40458,1,1
cvh: initialism of porte-hélicoptère: helicopter carrier,40249,310,1
long,39817,627,1
bier; a litter to transport dead people,39344,103,1
baptist (male or of unspecified gender) (member of a baptist church or denomination),38996,1,1
lunch,37606,885,1
the (written with elision before a vowel),37574,340,1
"dialectal form of نام (nâm, "name")",37491,13,1
"method, system, mode, manner",37193,28,1
"a person or animal of male gender, a male",37183,457,1
cheerful; merry,37006,62,1
hungry,36717,513,1
third-person singular preterite of bod,36600,595,1
side,36283,645,1
name server,35830,476,1
go ("board game"),35702,1165,1
"unit of mass, often broadly similar to 500 grams",35636,16,1
west,35491,103,1
east,35392,116,1
fire,35135,590,1
ba,35114,1147,0
north,34831,65,1
yes,34629,95,1
head,34188,565,1
south,33934,78,1
