was,meaning,broke,best,second,third
mul,"unreal",no_blurred_rhyme,mub,muC,muf
nul,"forget",no_blurred_rhyme,nuC,nud,nuf
gul,"exponent",no_blurred_rhyme,guc,guC,gud
dul,"delete",no_blurred_rhyme,duc,duC,duf
bul,"blue",no_blurred_rhyme,buc,buC,buf
pul,"pull",no_blurred_rhyme,pub,puc,puC
tur,"turf",no_blurred_rhyme,tuC,tud,tuf
tul,"tool",no_blurred_rhyme,tud,tuf,tug
kur,"down",no_blurred_rhyme,kuc,kuC,kug
kul,"cool (interjection)",no_blurred_rhyme,kuC,kug,kuj
sur,"assert",no_blurred_rhyme,suc,sud,sug
sul,"still (time)",no_blurred_rhyme,sud,sug,suj
zur,"fall",no_blurred_rhyme,zuc,zuC,zud
zul,"animal",no_blurred_rhyme,zuC,zud,zuf
vul,"via",no_blurred_rhyme,vub,vuC,vud
fur,"fail",no_blurred_rhyme,fub,fuc,fuC
ful,"fuel",no_blurred_rhyme,fuc,fuC,fud
xul,"subtract",no_blurred_rhyme,xub,xuc,xuC
jul,"universe",no_blurred_rhyme,jub,juc,juC
yul,"polynomial",no_blurred_rhyme,yub,yuC,yud
rul,"rule (in system)",no_blurred_rhyme,ruc,ruC,ruf
wan,"why",no_wa_start,wen,won,can
waq,"um",no_wa_start,weq,woq,wuq
wat,"white",no_wa_start,wit,wot,Cat
wak,"walk",no_wa_start,wik,wok,wuk
wav,"exist",no_wa_start,wov,wuv,bav
waC,"water",no_wa_start,weC,wiC,woC
war,"wear",no_wa_start,car,dar,far
wal,"while",no_wa_start,bal,cal,Cal
djul,"jewel",no_blurred_rhyme,djub,djuc,djuC
drul,"drool",no_blurred_rhyme,drub,drud,druf
txul,"actual",no_blurred_rhyme,txub,txuc,txuC
smul,"smile",no_blurred_rhyme,smub,smuc,smuC
snik,"sneak",no_taboo,nisk,sisk,smik
skur,"scare",no_blurred_rhyme,skub,skud,skuq
skul,"school",no_blurred_rhyme,skud,skuq,skuv
slur,"my",no_blurred_rhyme,skuq,skuv,skux
nurv,"nerve",no_blurred_rhyme,norv,nubz,nudj
nurf,"vowel large U sound",no_blurred_rhyme,nuft,narf,norf
kurv,"curve",no_blurred_rhyme,kluv,karv,korv
vurf,"verify",no_blurred_rhyme,vruf,vuft,varf
lurv,"leave",no_blurred_rhyme,lorv,ludj,lugz
wand,"wind (coil)",no_wa_start,wend,wind,wond
want,"want",no_wa_start,went,wint,wont
watx,"watch",no_wa_start,wotx,wutx,catx
warp,"vowel large A sound",no_wa_start,garp,marp,varp
wark,"work",no_wa_start,mark,weqk,wesk
wald,"wild",no_wa_start,bald,fald,gald
