domain,meaning,word,note
other word,a,mim,
other word,about,meg,
other word,ago,mas,
other word,although,mon,
other word,another,mub,
other word,any,mig,
other word,as,mib,
other word,at,mip,
other word,by,mik,
other word,during,mif,
other word,either,miz,
other word,else,mij,
other word,except,mic,
other word,for,miC,
other word,from,mem,
other word,hello,med,
other word,how,meb,
other word,hundred,mep,
other word,into,met,
other word,million,mef,
other word,neither,mev,
other word,no,mez,
other word,non,mex,
other word,nor,mec,
other word,of,meC,
other word,off,max,
other word,okay,maC,
other word,on,mom,
other word,onto,mob,
other word,per,mos,
other word,please,mof,
other word,plenty,mov,
other word,several,moc,
other word,shoot,moC,
other word,since,mum,
other word,than,mup,
other word,that,muf,
other word,the,mux,
other word,therefore,muC,
other word,these,mur,
other word,those,mint,
other word,though,mits,
other word,thousand,midj,
other word,till,misk,
other word,to,mend,
other word,today,meqk,
other word,tomorrow,meks,
other word,trillion,mesp,
other word,twelve,mamp,
other word,unless,malb,
other word,until,marf,
other word,upon,maft,
other word,via,maps,
other word,well,mabz,
other word,what,molp,
other word,whether,morb,
other word,which,mogz,
other word,while,motx,
other word,who,mulf,
other word,why,mudz,
other word,within,must,
other word,yes,mimp,
other word,yesterday,mind,
other word,ah,mift,
other word,aha,mips,
other word,alas,mibz,
other word,bravo,migz,
other word,fig,mitx,
other word,hey,midz,
other word,hmm,misp,
other word,hooray,mist,
other word,huh,memp,
other word,mmm,meft,
other word,oh,meps,
other word,oops,mebz,
other word,ouch,megz,
other word,ow,mets,
other word,phew,medj,
other word,shh,metx,
other word,ugh,medz,
other word,uh,mesk,
other word,whoa,mest,
other word,wow,mant,
other word,yay,mand,
other word,yuck,malp,
other verb,abandon,nim,
other verb,absorb,gen,
other verb,accelerate,daq,
other verb,accent,bog,
other verb,accept,pud,
other verb,access,neq,
other verb,accompany,nag,
other verb,accord,nod,
other verb,account,nun,
other verb,accumulate,giq,
other verb,accuse,gam,
other verb,ache,gob,
other verb,achieve,gug,
other verb,acquire,din,
other verb,act,dem,
other verb,adapt,dop,
other verb,address,dut,
other verb,adjust,bik,
other verb,administer,bef,
other verb,admit,bap,
other verb,adopt,buq,
other verb,advance,pig,
other verb,advise,peb,
other verb,affect,paf,
other verb,affix,pon,
other verb,afford,tid,
other verb,age,teg,
other verb,aggregate,tan,
other verb,agree,toq,
other verb,aid,tum,
other verb,aim,nin,
other verb,air,nib,
other verb,align,nip,
other verb,allocate,nit,
other verb,allow,nis,
other verb,alter,niv,
other verb,amaze,nij,
other verb,amuse,nic,
other verb,analyze,niC,
other verb,anger,nem,
other verb,animate,nen,
other verb,announce,neb,
other verb,annoy,nef,
other verb,anticipate,nez,
other verb,appear,nej,
other verb,appoint,nex,
other verb,appreciate,nec,
other verb,approach,neC,
other verb,approve,naq,
other verb,arch,nad,
other verb,archive,nab,
other verb,argue,nap,
other verb,arouse,nat,
other verb,arrange,naf,
other verb,arrive,naj,
other verb,ascend,nax,
other verb,assail,nac,
other verb,assemble,naC,
other verb,assign,nom,
other verb,associate,noq,
other verb,assume,nog,
other verb,attach,nob,
other verb,attack,nok,
other verb,attempt,nos,
other verb,attend,nof,
other verb,attract,nov,
other verb,attribute,noj,
other verb,avoid,noc,
other verb,await,noC,
other verb,award,nor,
other verb,bake,nud,
other verb,ban,nup,
other verb,band,nut,
other verb,bank,nuk,
other verb,bar,nus,
other verb,base,nuf,
other verb,bathe,nux,
other verb,battle,nuC,
other verb,beg,nur,
other verb,behave,gig,
other verb,benefit,gid,
other verb,bet,gip,
other verb,betray,giv,
other verb,bewilder,gij,
other verb,bias,gix,
other verb,bid,giC,
other verb,bit,geq,
other verb,bite,geg,
other verb,blame,ged,
other verb,blast,geb,
other verb,bleed,gep,
other verb,blend,get,
other verb,blink,gek,
other verb,block,ges,
other verb,blow,gef,
other verb,blur,gev,
other verb,board,gez,
other verb,boat,gej,
other verb,boil,gex,
other verb,bomb,gec,
other verb,bond,geC,
other verb,book,gaq,
other verb,boot,gap,
other verb,border,gat,
other verb,bore,gak,
other verb,born,gas,
other verb,borrow,gaf,
other verb,bottle,gaj,
other verb,bounce,gax,
other verb,brake,gac,
other verb,brand,gom,
other verb,breathe,gon,
other verb,breed,gog,
other verb,bribe,gop,
other verb,bridge,gos,
other verb,bruise,gof,
other verb,brush,gov,
other verb,bubble,goz,
other verb,bully,goj,
other verb,bump,gox,
other verb,bundle,goc,
other verb,burden,goC,
other verb,burn,gor,
other verb,burp,guq,
other verb,burst,gud,
other verb,bury,gup,
other verb,buzz,guf,
other verb,cage,gux,
other verb,cake,guc,
other verb,calculate,guC,
other verb,camp,gur,
other verb,cancel,diq,
other verb,cannot,dit,
other verb,cap,dik,
other verb,capture,diz,
other verb,carve,dij,
other verb,cast,dix,
other verb,catalog,dic,
other verb,caulk,diC,
other verb,caution,den,
other verb,cave,deq,
other verb,cease,deg,
other verb,celebrate,ded,
other verb,chain,deb,
other verb,chair,dep,
other verb,challenge,dek,
other verb,channel,des,
other verb,chant,def,
other verb,charge,dev,
other verb,charm,dex,
other verb,chart,dec,
other verb,cheat,deC,
other verb,check,dab,
other verb,cheer,dap,
other verb,chew,daz,
other verb,chip,daj,
other verb,chop,dax,
other verb,chute,daC,
other verb,claim,dar,
other verb,clap,don,
other verb,click,doq,
other verb,clip,dog,
other verb,club,dod,
other verb,coat,dok,
other verb,collaborate,dos,
other verb,collapse,dof,
other verb,collect,dov,
other verb,collide,doj,
other verb,color,dox,
other verb,combat,doc,
other verb,combine,doC,
other verb,comfort,dol,
other verb,command,duq,
other verb,commit,dup,
other verb,communicate,duf,
other verb,compete,duv,
other verb,complain,duj,
other verb,comply,duc,
other verb,compound,duC,
other verb,compute,dur,
other verb,concentrate,bin,
other verb,concern,bis,
other verb,conclude,bif,
other verb,condemn,biv,
other verb,condense,bij,
other verb,conduct,bix,
other verb,confess,bic,
other verb,confirm,biC,
other verb,conflict,bem,
other verb,confuse,ben,
other verb,connect,beg,
other verb,conquer,bek,
other verb,consent,bev,
other verb,consider,bez,
other verb,consist,bej,
other verb,construct,bex,
other verb,consume,bec,
other verb,contact,beC,
other verb,contaminate,bas,
other verb,contract,baf,
other verb,contrast,bav,
other verb,control,baz,
other verb,convert,baj,
other verb,convince,bac,
other verb,cooperate,bal,
other verb,coordinate,bom,
other verb,core,bon,
other verb,correlate,boq,
other verb,correspond,bod,
other verb,corrode,bob,
other verb,cost,bop,
other verb,couple,bok,
other verb,court,bof,
other verb,cover,boj,
other verb,crack,box,
other verb,crash,boc,
other verb,crave,boC,
other verb,crawl,bol,
other verb,create,bun,
other verb,credit,buk,
other verb,creep,bus,
other verb,crooked,buf,
other verb,cross,buv,
other verb,crush,buj,
other verb,cry,buc,
other verb,cue,buC,
other verb,cultivate,bur,
other verb,cure,pin,
other verb,curl,pid,
other verb,dam,pib,
other verb,damage,pis,
other verb,dance,pif,
other verb,dare,piv,
other verb,dart,piz,
other verb,dash,pij,
other verb,date,pix,
other verb,daze,pic,
other verb,deal,piC,
other verb,debate,pen,
other verb,deceive,peg,
other verb,decelerate,ped,
other verb,declare,pep,
other verb,decline,pet,
other verb,decode,pek,
other verb,decorate,pef,
other verb,decrease,pev,
other verb,dedicate,pez,
other verb,deduce,pej,
other verb,defeat,pex,
other verb,defecate,pec,
other verb,defend,peC,
other verb,define,pag,
other verb,defy,pad,
other verb,delay,pab,
other verb,delegate,pap,
other verb,delete,pav,
other verb,delight,paz,
other verb,deliver,paj,
other verb,demand,pax,
other verb,demonstrate,paC,
other verb,deny,pal,
other verb,depart,poq,
other verb,depend,pog,
other verb,derive,pok,
other verb,descend,pos,
other verb,describe,pof,
other verb,desert,pov,
other verb,deserve,poz,
other verb,desire,poj,
other verb,detach,pox,
other verb,detail,poc,
other verb,detect,poC,
other verb,determine,pol,
other verb,develop,pun,
other verb,devote,puq,
other verb,diagnose,pug,
other verb,dig,pub,
other verb,digest,pup,
other verb,diminish,puk,
other verb,dine,pus,
other verb,dip,puf,
other verb,disappoint,puv,
other verb,discover,puz,
other verb,discuss,puj,
other verb,disguise,pux,
other verb,dish,puc,
other verb,dismiss,puC,
other verb,dispatch,pur,
other verb,disperse,tig,
other verb,display,tib,
other verb,dispute,tit,
other verb,disrupt,tik,
other verb,dissolve,tis,
other verb,distinguish,tif,
other verb,distract,tij,
