word,domains,uses
of,63,35813
the,56,7225
and,54,13849
in,54,6697
up,49,1379
to,48,5812
on,48,1452
free,48,848
double,47,958
water,46,2198
point,44,691
short,43,1184
air,43,1056
off,43,664
down,43,564
high,42,1711
light,42,1359
open,42,709
red,41,1704
by,40,3272
for,40,2232
long,40,1519
cross,40,797
head,39,1385
line,39,1037
black,39,1005
field,39,644
side,39,500
eye,38,1617
post,38,1365
life,38,716
face,38,307
blood,37,19784
body,37,2190
de,37,1153
single,37,939
back,37,937
ground,37,313
non,36,8449
white,36,1549
time,36,1413
second,36,697
fire,36,619
one,35,15154
hand,35,1340
low,35,1314
out,35,1105
lead,35,816
base,35,652
top,35,318
small,34,2372
mass,34,1118
soft,34,872
end,34,776
set,34,688
part,34,647
dry,34,539
over,34,374
square,34,355
drop,34,224
salt,33,6396
with,33,6250
group,33,4750
blue,33,1521
work,33,1036
common,33,971
natural,33,823
deep,33,511
bar,33,254
run,33,247
foot,32,1098
self,32,986
surface,32,977
lower,32,972
block,32,898
ring,32,897
new,32,803
round,32,527
cold,32,489
two,32,447
direct,32,368
bottom,32,136
touch,32,116
human,31,27360
control,31,6221
heart,31,2124
chain,31,1784
oil,31,1759
order,31,1011
at,31,1003
root,31,896
death,31,864
silver,31,778
first,31,695
from,31,668
home,31,568
cut,31,386
go,31,316
medium,31,259
cell,30,18063
type,30,12048
system,30,6760
skin,30,2581
central,30,2257
right,30,1502
green,30,996
sex,30,960
tree,30,815
sea,30,765
stone,30,581
three,30,396
active,30,352
earth,30,331
hard,30,320
action,30,291
dead,30,266
force,30,214
spot,30,206
break,30,200
charge,30,185
complex,29,4692
nuclear,29,3102
plant,29,2776
form,29,2340
iron,29,1477
color,29,1104
state,29,739
horse,29,654
center,29,628
no,29,604
half,29,463
flow,29,461
man,29,442
hot,29,386
change,29,377
crown,29,373
ball,29,372
wave,29,341
fast,29,254
full,29,254
play,29,206
split,29,199
simple,29,168
cast,29,135
compound,28,2723
test,28,2254
joint,28,1980
large,28,1286
american,28,1011
pressure,28,959
scale,28,958
heat,28,863
gas,28,792
space,28,781
st,28,764
magnetic,28,576
old,28,381
floor,28,356
wind,28,245
do,28,228
good,28,226
place,28,213
mark,28,179
big,28,177
fall,28,149
bear,28,116
beta,27,21590
ii,27,4390
positive,27,3370
process,27,3247
level,27,1178
wall,27,917
paper,27,850
physical,27,830
ice,27,696
fat,27,593
case,27,555
brown,27,540
power,27,530
bed,27,503
sound,27,463
land,27,454
great,27,417
west,27,392
shell,27,349
world,27,301
stick,27,254
spring,27,230
pole,27,217
rest,27,201
it,27,174
re,27,166
pass,27,143
quarter,27,124
catch,27,111
chemical,26,10239
animal,26,6879
stage,26,3847
primary,26,2309
as,26,1854
unit,26,1565
class,26,1367
box,26,1254
hair,26,1148
area,26,1103
glass,26,927
energy,26,766
rock,26,760
day,26,724
age,26,689
gold,26,652
internal,26,606
house,26,556
tongue,26,554
indian,26,548
angle,26,505
north,26,397
range,26,397
french,26,382
gray,26,372
nose,26,362
minor,26,346
flat,26,337
whole,26,326
take,26,299
blind,26,249
star,26,216
fly,26,200
track,26,191
away,26,190
turn,26,190
tip,26,159
put,26,132
flash,26,122
strike,26,93
love,26,86
alpha,25,21361
or,25,3943
brain,25,1931
food,25,1881
channel,25,1689
transfer,25,1304
yellow,25,1056
ear,25,1018
middle,25,982
motor,25,958
plate,25,755
fish,25,727
standard,25,726
rate,25,650
ray,25,625
all,25,617
major,25,547
get,25,464
seed,25,459
game,25,381
mineral,25,321
pan,25,267
reverse,25,260
bank,25,248
stock,25,247
pit,25,202
roll,25,196
straight,25,194
golden,25,193
call,25,178
cloud,25,144
shoot,25,135
hole,25,131
hold,25,127
real,25,115
beat,25,105
crack,25,74
acid,24,65280
radiation,24,18918
factor,24,12389
growth,24,8822
bone,24,4383
family,24,4383
pre,24,1098
number,24,1038
neck,24,992
copper,24,901
co,24,867
substance,24,798
male,24,765
electric,24,714
weight,24,708
mouth,24,674
cap,24,663
military,24,636
release,24,622
leaf,24,592
milk,24,575
zone,24,530
heavy,24,516
egg,24,485
third,24,396
south,24,360
section,24,358
pick,24,342
east,24,306
brush,24,268
way,24,256
key,24,248
closed,24,245
cover,24,245
saint,24,241
disk,24,239
be,24,226
grand,24,222
snow,24,218
net,24,213
living,24,209
sun,24,202
drive,24,184
speed,24,181
german,24,176
figure,24,174
little,24,174
loose,24,174
flag,24,172
piece,24,167
wing,24,150
triple,24,141
check,24,138
flight,24,124
pitch,24,116
storm,24,107
like,23,3988
dental,23,3077
anti,23,2826
wood,23,1893
breast,23,1819
oral,23,1475
service,23,1313
upper,23,1054
tube,23,1000
organic,23,998
function,23,971
mixed,23,958
general,23,830
phase,23,804
public,23,752
core,23,719
chinese,23,491
size,23,461
clear,23,458
birth,23,402
japanese,23,387
contact,23,385
night,23,355
bag,23,330
coal,23,303
loop,23,292
tail,23,283
linear,23,271
bottle,23,270
four,23,269
strain,23,256
stand,23,243
an,23,241
dark,23,238
belt,23,221
wire,23,219
hook,23,218
fine,23,201
under,23,180
content,23,177
make,23,175
wash,23,165
slip,23,153
come,23,146
return,23,136
angular,23,133
reserve,23,120
through,23,119
polar,23,116
train,23,96
swing,23,76
development,22,7378
grade,22,7211
negative,22,2450
specific,22,1661
medical,22,1636
loss,22,1302
secondary,22,1296
product,22,1288
organ,22,1013
art,22,866
school,22,645
al,22,598
formation,22,591
lip,22,580
arm,22,573
structure,22,533
exchange,22,529
native,22,487
orange,22,472
band,22,468
support,22,452
image,22,427
sand,22,397
la,22,378
cup,22,373
eastern,22,363
grass,22,361
solid,22,350
industrial,22,341
press,22,309
waste,22,302
bond,22,292
english,22,269
series,22,246
radio,22,242
shape,22,241
sub,22,217
live,22,214
snake,22,207
true,22,203
palm,22,198
balance,22,194
front,22,190
patent,22,187
start,22,180
walk,22,174
string,22,169
dutch,22,165
stop,22,152
rule,22,151
desert,22,150
pull,22,149
blast,22,143
mud,22,143
strip,22,136
semi,22,131
tap,22,116
mexican,22,113
moon,22,103
rain,22,95
pop,22,88
blow,22,86
hit,22,68
bubble,22,59
transport,21,2601
pro,21,2365
concentration,21,1654
stem,21,1207
agent,21,1131
dog,21,1053
social,21,1039
count,21,978
name,21,873
information,21,866
juvenile,21,724
pattern,21,694
international,21,572
cat,21,571
intermediate,21,561
board,21,484
mercury,21,482
nail,21,473
fruit,21,466
signal,21,456
cone,21,449
cycle,21,449
matter,21,446
leg,21,433
liquid,21,412
disc,21,411
film,21,408
speech,21,381
motion,21,371
effect,21,366
well,21,359
broad,21,348
bell,21,330
frame,21,308
grain,21,306
war,21,301
mechanical,21,292
after,21,286
branch,21,270
plus,21,263
trade,21,252
sweet,21,248
pin,21,247
rabbit,21,242
pink,21,229
special,21,211
patch,21,202
fourth,21,199
fold,21,192
border,21,189
street,21,189
distance,21,185
main,21,175
step,21,169
vertical,21,167
tear,21,161
sponge,21,155
raw,21,144
draw,21,139
into,21,138
snap,21,138
dip,21,129
give,21,120
grey,21,119
show,21,119
circle,21,115
russian,21,108
burn,21,107
weather,21,106
scratch,21,104
mother,21,103
rise,21,84
centre,21,68
drug,20,20617
supply,20,12472
muscle,20,3620
tissue,20,3508
iii,20,2344
tooth,20,1987
care,20,1913
alcohol,20,1768
score,20,1690
activity,20,1682
delta,20,1607
left,20,1401
visual,20,1096
material,20,1081
molecular,20,1042
adult,20,959
shock,20,873
machine,20,789
table,20,784
metal,20,758
layer,20,754
female,20,744
african,20,725
car,20,688
terminal,20,688
mental,20,687
biological,20,652
index,20,617
national,20,615
external,20,600
card,20,531
inner,20,517
western,20,446
european,20,427
normal,20,358
chicken,20,353
tin,20,351
composite,20,347
outer,20,345
horn,20,336
term,20,330
flower,20,329
mountain,20,328
business,20,302
pig,20,300
target,20,290
wild,20,275
tie,20,260
legal,20,258
island,20,252
corn,20,248
sign,20,248
bridge,20,242
atomic,20,235
wine,20,233
political,20,230
taste,20,222
roman,20,213
relative,20,208
crystal,20,189
discharge,20,187
union,20,185
ridge,20,184
country,20,183
cluster,20,181
course,20,181
greek,20,181
guinea,20,181
road,20,178
close,20,176
position,20,174
slow,20,171
sheet,20,166
italian,20,160
attack,20,151
bearing,20,151
fifth,20,145
royal,20,143
crop,20,132
turkey,20,128
fan,20,125
hunting,20,123
dot,20,106
flame,20,104
throw,20,99
shift,20,95
bull,20,91
spur,20,90
stay,20,90
carry,20,83
colour,20,77
fair,20,75
parallel,20,72
see,20,68
upon,20,56
even,20,47
mouse,19,14712
data,19,6255
style,19,2537
multiple,19,1663
finger,19,1197
element,19,1093
sleep,19,1000
ion,19,992
early,19,890
partial,19,788
total,19,775
trial,19,716
reaction,19,711
resistance,19,687
volume,19,674
movement,19,628
cellular,19,623
computer,19,619
shaped,19,585
quality,19,538
soil,19,531
media,19,530
book,19,525
united,19,510
bay,19,479
electron,19,478
sugar,19,468
object,19,464
basic,19,449
frequency,19,398
window,19,396
safety,19,395
word,19,384
production,19,360
personal,19,341
labor,19,328
optical,19,325
classical,19,317
steel,19,290
acoustic,19,284
plane,19,277
electrical,19,270
purple,19,258
tax,19,249
market,19,245
wheel,19,242
solar,19,241
pocket,19,233
false,19,227
baby,19,222
dust,19,212
peg,19,201
web,19,199
pump,19,198
six,19,180
civil,19,175
source,19,170
pot,19,167
travel,19,166
rack,19,164
bow,19,157
bowl,19,155
load,19,155
fixed,19,153
port,19,151
around,19,148
shot,19,137
farm,19,136
holy,19,136
bound,19,133
duck,19,132
narrow,19,132
australian,19,131
extra,19,129
universal,19,117
rough,19,116
measure,19,114
near,19,112
winter,19,112
dynamic,19,110
el,19,110
opening,19,103
cow,19,100
look,19,96
irish,19,93
flush,19,92
tan,19,91
flux,19,90
pay,19,89
poison,19,87
clean,19,83
floating,19,80
aggregate,19,78
stream,19,76
kick,19,72
gross,19,71
escape,19,70
pearl,19,70
peace,19,69
knock,19,63
drift,19,61
yield,19,59
puff,19,58
hang,19,52
fluid,18,15938
use,18,11219
hydrogen,18,3252
gamma,18,3242
fusion,18,1980
respiratory,18,1920
liver,18,1788
