word,rank,apart
yig,1,6
mam,2,6
dud,3,6
get,4,5
kok,5,5
mid,6,4
mug,7,4
nek,8,4
nos,9,4
bes,10,4
bof,11,4
dim,12,4
dax,13,4
gum,14,4
kiz,15,4
hif,16,4
had,17,4
huz,18,4
six,19,4
sag,20,4
suv,21,4
zeb,22,4
zon,23,4
fev,24,4
fob,25,4
vaz,26,4
vux,27,4
xej,28,4
xol,29,4
yar,30,4
loj,31,4
mef,32,3
mot,33,3
niv,34,3
naC,35,3
nup,36,3
bik,37,3
bal,38,3
buj,39,3
doq,40,3
giq,41,3
gab,42,3
goz,43,3
pip,44,3
pen,45,3
pak,46,3
pox,47,3
pub,48,3
tis,49,3
tap,50,3
tov,51,3
tuk,52,3
kem,53,3
kas,54,3
kut,55,3
heq,56,3
hom,57,3
sez,58,3
sop,59,3
zit,60,3
zaf,61,3
zus,62,3
fin,63,3
faq,64,3
fuf,65,3
vib,66,3
veg,67,3
vor,68,3
xic,69,3
xan,70,3
xuq,71,3
jed,72,3
jav,73,3
jog,74,3
juc,75,3
cep,76,3
cac,77,3
Cij,78,3
Cat,79,3
CoC,80,3
yex,81,3
yod,82,3
yuC,83,3
liC,84,3
lun,85,3
rec,86,3
weC,87,3
woc,88,3
mim,89,2
mig,90,2
mis,91,2
mix,92,2
miC,93,2
meq,94,2
meb,95,2
met,96,2
mez,97,2
mej,98,2
mad,99,2
mag,100,2
mas,101,2
mav,102,2
max,103,2
mar,104,2
moq,105,2
mob,106,2
moz,107,2
moj,108,2
moc,109,2
mol,110,2
mum,111,2
mud,112,2
mus,113,2
muf,114,2
mux,115,2
muC,116,2
nin,117,2
nib,118,2
niz,119,2
nij,120,2
nic,121,2
nem,122,2
ned,123,2
nes,124,2
nex,125,2
nan,126,2
nab,127,2
naf,128,2
nal,129,2
nom,130,2
nod,131,2
nog,132,2
nox,133,2
nor,134,2
nun,135,2
nuz,136,2
nuv,137,2
nuj,138,2
nuc,139,2
bin,140,2
bib,141,2
biz,142,2
bif,143,2
bij,144,2
bem,145,2
bed,146,2
beg,147,2
bev,148,2
bex,149,2
ban,150,2
bab,151,2
baz,152,2
baj,153,2
bac,154,2
bom,155,2
bod,156,2
bog,157,2
bos,158,2
boC,159,2
bor,160,2
bun,161,2
bup,162,2
buk,163,2
buz,164,2
buv,165,2
buc,166,2
did,167,2
dig,168,2
dix,169,2
diC,170,2
den,171,2
deb,172,2
dez,173,2
def,174,2
dej,175,2
dam,176,2
dad,177,2
dag,178,2
das,179,2
dav,180,2
dar,181,2
dob,182,2
dot,183,2
doz,184,2
doj,185,2
doc,186,2
dol,187,2
dum,188,2
dug,189,2
dus,190,2
duf,191,2
dux,192,2
duC,193,2
gib,194,2
gis,195,2
gif,196,2
gix,197,2
giC,198,2
geg,199,2
gez,200,2
gev,201,2
gej,202,2
gec,203,2
gan,204,2
gak,205,2
gaf,206,2
gax,207,2
gaC,208,2
gal,209,2
goq,210,2
god,211,2
gop,212,2
gov,213,2
goj,214,2
goc,215,2
gor,216,2
gug,217,2
gus,218,2
guf,219,2
gux,220,2
guC,221,2
piq,222,2
piv,223,2
pic,224,2
peC,225,2
pat,226,2
paf,227,2
pon,228,2
pop,229,2
puq,230,2
put,231,2
tit,232,2
tik,233,2
tif,234,2
teq,235,2
tev,236,2
tec,237,2
taz,238,2
taj,239,2
kin,240,2
kig,241,2
kip,242,2
kiv,243,2
kij,244,2
kic,245,2
ked,246,2
kek,247,2
kef,248,2
kex,249,2
keC,250,2
kaq,251,2
kap,252,2
kav,253,2
kaj,254,2
kar,255,2
kom,256,2
kof,257,2
kox,258,2
koC,259,2
kol,260,2
kuq,261,2
kub,262,2
kuz,263,2
kuv,264,2
kuj,265,2
kuc,266,2
him,267,2
hid,268,2
hig,269,2
his,270,2
hix,271,2
hiC,272,2
heb,273,2
het,274,2
hez,275,2
hev,276,2
hej,277,2
hec,278,2
hag,279,2
hap,280,2
has,281,2
haf,282,2
hax,283,2
haC,284,2
hal,285,2
hot,286,2
hok,287,2
hov,288,2
hoj,289,2
hoc,290,2
hor,291,2
hun,292,2
hub,293,2
hug,294,2
huf,295,2
hux,296,2
sim,297,2
sid,298,2
sig,299,2
sis,300,2
sif,301,2
siC,302,2
sen,303,2
sek,304,2
sev,305,2
sej,306,2
sec,307,2
sam,308,2
sad,309,2
sas,310,2
sax,311,2
saC,312,2
sal,313,2
soq,314,2
soz,315,2
sof,316,2
soj,317,2
sor,318,2
sum,319,2
sud,320,2
sug,321,2
sux,322,2
ziq,323,2
ziz,324,2
ziv,325,2
zic,326,2
zeg,327,2
zes,328,2
zex,329,2
zeC,330,2
zaq,331,2
zap,332,2
zaz,333,2
zaj,334,2
zar,335,2
zob,336,2
zog,337,2
zov,338,2
zox,339,2
zol,340,2
zuq,341,2
zup,342,2
zuf,343,2
zuj,344,2
fig,345,2
fip,346,2
fis,347,2
fif,348,2
fix,349,2
fiC,350,2
fem,351,2
fed,352,2
fek,353,2
fez,354,2
fej,355,2
fec,356,2
fap,357,2
fas,358,2
faf,359,2
fax,360,2
faC,361,2
fal,362,2
fon,363,2
fog,364,2
foz,365,2
fov,366,2
foj,367,2
foc,368,2
fum,369,2
fud,370,2
fuk,371,2
fus,372,2
fuC,373,2
viq,374,2
vit,375,2
viz,376,2
viv,377,2
vic,378,2
ven,379,2
vep,380,2
ves,381,2
vef,382,2
vex,383,2
veC,384,2
vam,385,2
vad,386,2
vak,387,2
vav,388,2
vaj,389,2
vac,390,2
voq,391,2
vop,392,2
vos,393,2
vof,394,2
vun,395,2
vub,396,2
vug,397,2
vuz,398,2
vuv,399,2
xim,400,2
xid,401,2
