word,rank,apart
hiwik,1,10
mamam,2,10
bubub,3,10
migut,4,8
mutis,5,8
bitaf,6,8
bagix,7,8
gebez,8,8
gokog,9,8
tehoj,10,8
tosed,11,8
hazus,12,8
hufax,13,8
nineb,14,7
nohun,15,7
kimos,16,7
koniq,17,7
semit,18,7
sabof,19,7
sugem,20,7
zetum,21,7
zaheg,22,7
zunoC,23,7
fegak,24,7
vodap,25,7
mibim,26,6
mihaz,27,6
medob,28,6
mekef,29,6
mapug,30,6
masip,31,6
mozov,32,6
mofek,33,6
mumux,34,6
mubal,35,6
nipox,36,6
nesar,37,6
nefij,38,6
nexuz,39,6
navot,40,6
nayes,41,6
nogaj,42,6
noxif,43,6
nujok,44,6
nuwet,45,6
binun,46,6
bihid,47,6
bekol,48,6
bezem,49,6
bafab,50,6
bajuv,51,6
bomez,52,6
boyom,53,6
busig,54,6
diges,55,6
disop,56,6
dediv,57,6
defuk,58,6
datoz,59,6
dohac,60,6
dolut,61,6
dupej,62,6
duvor,63,6
giduj,64,6
gikip,65,6
gizad,66,6
gejon,67,6
gamub,68,6
gatik,69,6
galav,70,6
gojex,71,6
gutaq,72,6
guhiv,73,6
gusuz,74,6
piveg,75,6
pexat,76,6
peyuc,77,6
panok,78,6
pofuj,79,6
porar,80,6
pugos,81,6
tizix,82,6
tiyan,83,6
tiwuv,84,6
taguq,85,6
tumag,86,6
tufin,87,6
kixev,88,6
kewax,89,6
kotuf,90,6
kuveb,91,6
hivom,92,6
heted,93,6
hajim,94,6
homol,95,6
hobev,96,6
huxuq,97,6
huyip,98,6
sizug,99,6
sifal,100,6
sodij,101,6
zijiz,102,6
zovan,103,6
zowuk,104,6
fixor,105,6
fiyif,106,6
fesud,107,6
fanej,108,6
fopib,109,6
fukuv,110,6
fuzec,111,6
vexig,112,6
vacox,113,6
vuhod,114,6
xijaj,115,6
xepic,116,6
xeCup,117,6
xaden,118,6
xawor,119,6
xukid,120,6
xucof,121,6
jevas,122,6
jaliz,123,6
juyug,124,6
cuyaz,125,6
Cajal,126,6
CoCit,127,6
yaret,128,6
yoxob,129,6
lawid,130,6
luwon,131,6
minog,132,5
mitej,133,5
meniz,134,5
mehuv,135,5
mabed,136,5
magoc,137,5
moduz,138,5
mogin,139,5
moxas,140,5
munev,141,5
mukom,142,5
nimuf,143,5
nidaq,144,5
nigig,145,5
nepen,146,5
newom,147,5
nasuj,148,5
nariq,149,5
notor,150,5
noCem,151,5
nubix,152,5
nupuC,153,5
nuzab,154,5
bibep,155,5
bifoz,156,5
bemaj,157,5
bedut,158,5
becis,159,5
baxek,160,5
bobag,161,5
bokuc,162,5
bofiv,163,5
bumot,164,5
buhen,165,5
buxav,166,5
dimiq,167,5
dinar,168,5
dibuc,169,5
devet,170,5
dexof,171,5
danib,172,5
dakeC,173,5
dasan,174,5
dawux,175,5
dobis,176,5
dojoj,177,5
doweq,178,5
dunus,179,5
