concept,form,uses
virtue,mix,44
value,nij,19
win,giz,19
question,dez,18
achieve,biz,17
trust,pix,13
cut,tic,12
fight,kev,12
weak,hij,12
dare,sax,11
harm,zij,10
weapon,viC,10
kill,fep,9
clever,xeg,8
hate,jen,8
king,Cis,8
shape,cij,8
sick,yiz,8
lean,raj,7
plain,liC,7
raw,wif,7
cart,miC,6
command,nex,6
dim,gif,6
honour,def,6
hurt,bif,6
rite,pic,6
shame,tem,6
army,kej,5
feed,hic,5
loose,saC,5
spare,ziC,5
teach,vet,5
add,fez,4
blur,xeb,4
boast,jed,4
carry,Ciz,4
danger,cem,4
die,yif,4
dull,rac,4
enemy,leq,4
fail,wix,4
favour,meq,4
firm,nag,4
jade,giC,4
mess,deC,4
praise,bix,4
press,pem,4
replace,teq,4
serve,kec,4
sign,hen,4
strange,sov,4
thief,zeg,4
tire,vev,4
trouble,fex,4
answer,xet,3
arm,jep,3
bent,Cif,3
blame,cen,3
crush,yix,3
dog,rob,3
drive,lef,3
essence,wij,3
fine,mep,3
flat,nab,3
fool,geb,3
guest,dam,3
horse,bij,3
inverse,pen,3
luck,tev,3
noble,kad,3
raise,heg,3
ruler,soc,3
skill,zeb,3
student,vec,3
thin,fej,3
alone,xef,2
argue,jes,2
armour,Cix,2
belly,ceq,2
blind,yij,2
block,ros,2
blow,lej,2
blunt,wiC,2
bone,mef,2
brittle,nas,2
carpenter,gek,2
chief,daz,2
common,biC,2
crime,peq,2
deal,tex,2
drift,koC,2
dust,hep,2
flaw,sub,2
forward,zev,2
gather,vak,2
ghost,feC,2
hungry,xeC,2
knot,jez,2
muddy,Ced,2
ox,ceb,2
pass,yiC,2
pull,rof,2
rope,laq,2
square,wem,2
stock,mej,2
straw,nax,2
strike,gez,2
tax,dav,2
thread,bem,2
tie,pez,2
tiger,tec,2
tower,kud,2
war,hes,2
angry,sux,1
ban,zex,1
base,vaf,1
beast,fav,1
bellows,xag,1
born,jev,1
bow,Cep,1
chicken,ces,1
claw,yem,1
clay,roj,1
clumsy,lap,1
colour,weq,1
corner,meC,1
court,naC,1
crooked,gex,1
cry,dac,1
custom,beq,1
deaf,pex,1
dung,tam,1
err,kuv,1
excess,hex,1
fierce,suC,1
fix,zej,1
flood,vax,1
gap,faj,1
glory,xad,1
grab,jec,1
grandchild,Cek,1
grasp,cez,1
grave,yen,1
grip,roC,1
guard,laf,1
hair,wes,1
hall,mav,1
hidden,nop,1
hoarse,gec,1
hollow,dom,1
horn,bex,1
host,peC,1
hub,tad,1
inch,kuc,1
kin,hec,1
law,simb,1
leak,zec,1
level,vaC,1
lift,fac,1
lock,xav,1
mile,jab,1
mirror,Cex,1
mixed,cev,1
mock,yeq,1
music,rus,1
neighbour,laj,1
net,wez,1
numb,mom,1
poison,nub,1
poor,gap,1
practise,doq,1
promise,bej,1
sad,pas,1
scare,tas,1
scorn,kiqg,1
sell,ham,1
servant,sint,1
shake,zaz,1
share,vov,1
sinew,fob,1
slip,xac,1
soldier,jat,1
sorrow,Cej,1
spend,cam,1
steal,yet,1
stem,ruv,1
sting,laC,1
stride,wex,1
stutter,mok,1
sword,nus,1
thorn,gak,1
throat,dog,1
tip,beC,1
ugly,pav,1
wary,tac,1
wash,kigz,1
waste,hag,1
withered,siqk,1
worn,zav,1
