concept,form
and,nad
she,kes
not,nat
manner,man
forest,faras
for,fars
can,kan
full,fal
from,fram
fruit,frat
night,nits
bird,bard
look,loks
tre,taral
river,rivar
very,var
animal,nam
let,let
beauty,betal
flower,flor
want,wint
over,vral
done,don
some,som
around,rand
but,bat
land,land
should,kas
star,star
about,bats
friend,farin
most,mas
love,lov
begin,beg
grass,gras
must,mas
through,kral
climb,kalim
person,pars
sit,sital
grow,grol
just,daj
last,last
light,lits
many,mans
wild,wolid
jump,dajam
keep,kepal
rabbit,rabat
small,smal
swim,siwam
berry,baral
ever,varal
feel,fals
sniff,sinaf
still,stal
breeze,barez
cover,kavar
every,var
hard,hard
play,plar
shine,kisen
sleep,slep
snow,snol
tall,talar
think,snak
again,gan
big,big
cool,kols
dig,digal
dirt,darit
hear,hars
hill,halar
house,hosol
lake,lakal
long,lan
plant,plan
stay,satal
warm,wor
where,wor
cloud,klad
dry,dral
fly,falar
fresh,farek
little,lital
ocean,sonol
valley,valar
arc,rakal
fish,fiks
found,fanad
hot,hats
old,lad
while,wol
winter,winet
wolf,wolaf
wonder,wenad
across,kras
bush,bakas
food,fod
live,lival
never,nev
once,nasal
piece,pesal
sibling,sibal
spring,sipar
until,nat
watch,wit
wind,wind
yet,yetal
along,lan
beach,betak
because,bek
branch,bran
bug,bag
dance,danas
early,ralar
help,halep
late,latal
lot,latal
pond,panad
set,sets
such,sat
summer,samar
than,kans
then,sen
travel,tarav
try,taral
weather,wesar
wet,wets
ahead,hadal
blossom,balas
care,karal
cold,kald
fire,fars
first,fars
flutter,falat
follow,folor
hour,haral
lov,laval
much,matak
only,nal
pretty,paret
short,kas
well,wolar
without,wik
approach,parat
bloom,bolom
both,bakal
clear,kalar
except,kesap
favorite,favar
glanc,galan
ground,garan
happy,hapal
heavy,hev
interest,nitar
kind,kind
large,larag
leave,leval
maybe,mab
often,fatan
quick,kiwak
quite,kiwet
ride,ridal
smell,semal
stream,setar
sunny,sanal
tell,tals
under,nad
wake,weks
able,balar
against,gans
also,las
ask,skal
bear,baral
beside,best
better,betar
build,balad
burrow,borul
countryside,konot
deep,deps
deer,daral
deliciou,dales
dense,denas
drink,drin
drop,darop
earth,reks
enjoy,nedaj
even,venal
floor,folor
foot,fots
gift,gifat
girl,garal
hole,holor
hope,hops
huge,hugal
juice,dujis
lush,lakas
mak,makal
meet,metal
neither,nesar
owned,nod
relax,ralek
ripe,ripal
seem,semal
several,sevar
since,sines
sing,sinag
surround,saran
tak,takal
tim,timal
together,tagas
top,taps
toward,tord
train,taran
usual,salar
visit,visat
wish,wikas
wood,wod
young,yan
abundant,banad
adventure,davan
become,bekom
beneath,benak
beyond,bend
brother,baras
brown,boron
catch,katak
chance,takas
climate,kalim
com,kamal
count,kant
country,kanat
dawn,danal
despite,desip
drip,darip
duck,dakal
dug,dagal
each,teks
either,saral
entire,netar
fast,fast
final,final
fragrance,farag
fragrant,farag
fun,fanal
gentle,genat
greet,garet
happen,hapan
hav,haval
head,hed
heart,hart
hence,henas
hide,hidal
howl,holor
humid,hamad
journey,dajar
least,lest
leg,leg
magical,magak
man,manal
master,masat
money,manal
noon,nonol
nor,naral
pick,pikal
put,pats
reach,retak
ready,redal
roll,ralar
sand,sand
save,saval
scatter,sakat
scenery,senar
scent,senat
seeming,semin
settle,setal
shad,kasad
shade,kasad
sharp,kasar
show,kosol
shrub,kasar
sid,sidal
sight,sital
soon,sonol
spent,sepan
stone,ston
storm,satar
study,satad
sudden,sadan
thank,kanak
throw,korol
tid,tidal
tir,taral
total,tatal
upon,panal
wav,wival
weekend,wekan
what',wital
window,winod
wing,win
aboard,barad
activity,katav
actual,katal
already,larad
amongst,manag
anywhere,naral
appearance,paran
argu,ragal
aromatic,ramat
arriv,raval
autumn,taman
bare,baral
believe,balev
blanket,balan
blend,balen
boat,botol
breathe,bares
bud,badal
careful,karaf
cave,kaval
chil,tikas
chirp,tikas
closer,kalas
cloudy,kalad
creation,karet
cricket,karik
crunch,karan
curiou,karal
current,karan
dash,dakas
decide,desid
draw,daral
dusk,dasak
elk,lekal
expect,kesap
extreme,kesat
familiar,famal
father,fasar
fear,fars
finish,finak
flap,falap
flicker,falik
flock,falak
free,faral
frog,farag
gam,gamal
gem,gemal
glad,galad
glimmer,galim
graz,garaz
half,half
hand,hand
hike,hikal
horizon,haraz
hunter,hanat
imagination,migan
insect,nisek
inspir,nisap
instead,niset
join,dajan
kiss,kisal
lak,lakal
lick,likal
lik,likal
main,manal
matter,matar
meadow,medal
mild,malid
mist,misat
mov,maval
mystery,miset
newborn,nebar
nice,nisal
none,nons
nowhere,norol
pat,patal
peaceful,pesaf
peak,pekal
peep,pepal
per,paral
perch,paret
playful,palaf
pleasant,pales
plus,palas
pool,polor
proud,parad
provide,porov
push,pakas
regard,regar
remember,remam
remind,remin
reptil,repit
rich,ritak
room,romol
round,ranad
rub,rabal
rush,rakas
scorch,sakar
shelter,kesal
shin,kisan
shore,kosor
side,sid
slow,slor
smile,simal
soft,saft
somebody,samab
speak,spek
special,sepas
specy,sepik
stand,satan
steady,setad
steep,setap
ston,satan
straight,satar
super,sapar
table,tabal
teacher,tetak
till,talar
told,talad
topic,tapak
touch,tatak
trail,taral
tuck,takal
tunnel,tanal
uncover,nakav
underneath,nudar
unlike,naluk
unusual,nasal
variety,varat
variou,varal
versu,vares
vibrant,vibar
village,valig
visible,viseb
wander,wenad
welcome,wolek
whatever,wetav
whichever,witek
wilder,wolid
windy,winad
word,worad
world,woral
worry,woral
yard,yarad
you'd,yadal
ability,balat
abroad,barad
absolute,basal
act,katal
advantage,davan
alive,laval
almost,lamas
amaz,mazal
amazing,mazan
anymore,namar
anytime,natam
appear,paral
apple,palar
arid,radal
aroma,ramal
aside,sadal
asleep,salap
attempt,tamap
attractive,tarak
aunt,natal
available,valab
avoid,vadal
babe,babal
bam,bamal
bank,banak
barren,baran
basical,basak
bask,basak
basketball,basak
beat,betal
begun,began
beneficial,benif
benefit,benif
benevolence,benav
birthday,barik
blew,balar
blink,balin
blissful,balis
blizzard,baliz
bloop,bol
boil,balar
book,bokol
boot,botol
bought,batal
brave,barav
bread,bared
break,barek
brink,barin
broken,barak
brush,barak
bubbl,babal
bunny,banal
bury,baral
buzz,bazal
canopy,kanap
capable,kapab
cat,katal
caus,kasal
chair,takas
chang,takas
chant,takas
chas,takas
chat,takas
check,tekas
chef,tekas
cherry,tekis
chew,tekas
chill,tikas
chocolate,tokos
chosen,takas
city,sital
clash,kalak
climat,kalim
cloth,kalak
cluster,kalas
coast,kosot
coastal,kosot
coat,kotol
company,kamap
complete,komop
condition,kanad
consider,kanas
construct,kanas
cook,kakol
cosy,kasal
couple,kapal
courage,korog
coyote,kotol
cozy,kazal
cram,karam
crawl,karal
crazy,karaz
creak,karek
creatur,karet
creek,karek
creep,karep
crevic,karev
crisp,karis
cros,karas
cub,kabal
cup,kapal
dangerou,danag
dangl,danag
darkness,darak
darn,daran
death,deks
decid,desid
describ,desik
desire,desar
difference,difar
difficult,difok
dinner,dinar
dip,dipal
disappear,disap
distract,disat
divid,divad
door,dorol
double,dab
doubt,dabat
drank,daran
dress,dares
droop,dorop
eager,garal
eagle,galar
elder,ledar
emerg,mareg
endeavor,nedav
equal,kewal
essential,senit
evolution,valet
