concept,form,template,shape,list
mix,mim,111,CVC,short
miss,min,111,CVC,short
positive,mid,111,CVC,short
plural,mis,111,CVC,short
image,mij,111,CVC,short
merge,mem,111,CVC,short
one,med,111,CVC,short
make,mek,111,CVC,short
mom,mam,111,CVC,short
mind,man,111,CVC,short
among,mag,111,CVC,short
model,mad,111,CVC,short
map,map,111,CVC,short
match,mas,111,CVC,short
mesh,max,111,CVC,short
math,mac,111,CVC,short
bright,mar,111,CVC,short
maximum,mon,111,CVC,short
middle,mod,111,CVC,short
complex,mop,111,CVC,short
male,mof,111,CVC,short
more,mor,111,CVC,short
intuition,mun,111,CVC,short
mmm,muq,111,CVC,short
I,mus,111,CVC,short
pain,muz,111,CVC,short
move,muv,111,CVC,short
magic,muj,111,CVC,short
mouth,muc,111,CVC,short
intersection,nin,111,CVC,short
intensity,nit,111,CVC,short
instance,nis,111,CVC,short
need,niC,111,CVC,short
minimum,nem,111,CVC,short
near,nen,111,CVC,short
end,neq,111,CVC,short
enter,neb,111,CVC,short
network,net,111,CVC,short
nest,nes,111,CVC,short
on,nev,111,CVC,short
any,nec,111,CVC,short
name,nam,111,CVC,short
grandmother,nan,111,CVC,short
neutral,naq,111,CVC,short
amount,nat,111,CVC,short
know,nom,111,CVC,short
confidence,non,111,CVC,short
no,noq,111,CVC,short
previous,nog,111,CVC,short
node,nod,111,CVC,short
note,nos,111,CVC,short
nose,noz,111,CVC,short
convert,nov,111,CVC,short
nature,nox,111,CVC,short
two,noc,111,CVC,short
constraint,nor,111,CVC,short
number,num,111,CVC,short
union,nun,111,CVC,short
in,nut,111,CVC,short
unpredictable,nuk,111,CVC,short
uniformity,nuf,111,CVC,short
song,git,111,CVC,short
infinite,gix,111,CVC,short
get,gem,111,CVC,short
next,gen,111,CVC,short
general,geq,111,CVC,short
gate,get,111,CVC,short
give,gev,111,CVC,short
gain,gam,111,CVC,short
garden,gan,111,CVC,short
agent,gaq,111,CVC,short
god,gad,111,CVC,short
hell,gax,111,CVC,short
gray,gaj,111,CVC,short
work,goq,111,CVC,short
back,gok,111,CVC,short
goal,gol,111,CVC,short
gold,gum,111,CVC,short
green,gun,111,CVC,short
gut,gut,111,CVC,short
memory,guj,111,CVC,short
direction,dim,111,CVC,short
identity,din,111,CVC,short
diversity,diq,111,CVC,short
ignorant,dib,111,CVC,short
perpendicular,dit,111,CVC,short
dimension,dis,111,CVC,short
disconnect,diz,111,CVC,short
different,dif,111,CVC,short
three,dem,111,CVC,short
density,den,111,CVC,short
timestamp,det,111,CVC,short
detect,dek,111,CVC,short
daughter,des,111,CVC,short
discrete,dej,111,CVC,short
the,dan,111,CVC,short
data,daq,111,CVC,short
dad,dad,111,CVC,short
understand,das,111,CVC,short
edge,daj,111,CVC,short
down,dot,111,CVC,short
order,dor,111,CVC,short
negative,dum,111,CVC,short
reserved dub,dub,111,CVC,short
duration,dut,111,CVC,short
being,biq,111,CVC,short
reserved bid,bid,111,CVC,short
between,ben,111,CVC,short
separate,bed,111,CVC,short
left,bep,111,CVC,short
before,bef,111,CVC,short
create,bam,111,CVC,short
balance,ban,111,CVC,short
individual,baq,111,CVC,short
blue,bag,111,CVC,short
grandfather,bab,111,CVC,short
absorb,bas,111,CVC,short
ball,bal,111,CVC,short
exit,bon,111,CVC,short
four,boq,111,CVC,short
boundary,bod,111,CVC,short
absense,bop,111,CVC,short
obstacle,bos,111,CVC,short
border,bor,111,CVC,short
boom,bum,111,CVC,short
awake,bud,111,CVC,short
black,bul,111,CVC,short
purple,pin,111,CVC,short
request,piq,111,CVC,short
cosine,pit,111,CVC,short
x axis,pij,111,CVC,short
presence,peb,111,CVC,short
repel,pet,111,CVC,short
predictable,pek,111,CVC,short
space,pes,111,CVC,short
specific,pef,111,CVC,short
parallel,pam,111,CVC,short
span,pan,111,CVC,short
response,paq,111,CVC,short
capability,pab,111,CVC,short
passive,pat,111,CVC,short
place,pak,111,CVC,short
present,paz,111,CVC,short
path,pac,111,CVC,short
part,par,111,CVC,short
oppose,pom,111,CVC,short
open,pon,111,CVC,short
power,poq,111,CVC,short
potential,pog,111,CVC,short
right,pob,111,CVC,short
position,pot,111,CVC,short
exhale,pos,111,CVC,short
polarity,poz,111,CVC,short
process,por,111,CVC,short
baby,pup,111,CVC,short
out,tin,111,CVC,short
outside,tiq,111,CVC,short
active,tip,111,CVC,short
future,tis,111,CVC,short
five,ten,111,CVC,short
up,ted,111,CVC,short
step,tep,111,CVC,short
test,tes,111,CVC,short
pattern,tan,111,CVC,short
way,taq,111,CVC,short
type,tap,111,CVC,short
talk,tak,111,CVC,short
good,tav,111,CVC,short
y axis,taj,111,CVC,short
target,tar,111,CVC,short
contain,ton,111,CVC,short
attract,top,111,CVC,short
tree,tok,111,CVC,short
