english,group,why,role,uses,head
color,pinned,pinned longer,verb,71,50
liquid,pinned,pinned longer,adjective,69,39
plan,pinned,pinned longer,verb,53,42
great,pinned,pinned longer,adjective,103,13
clean,pinned,pinned longer,adjective,60,17
bring,pinned,pinned longer,verb,55,8
blood,pinned,pinned longer,noun,44,5
human,pinned,pinned longer,noun,15,9
problem,pinned,pinned longer,noun,10,10
hunt,pinned,pinned longer,verb,12,8
trade,pinned,pinned longer,verb,21,4
thousand,pinned,pinned longer,value,15,5
please,pinned,pinned longer,adverb,8,6
gene,pinned,pinned longer,noun,6,6
track,pinned,pinned longer,verb,9,5
dream,pinned,pinned longer,verb,9,4
joke,pinned,pinned longer,verb,9,4
trap,pinned,pinned longer,verb,11,3
prove,pinned,pinned longer,verb,9,3
hundred,pinned,pinned longer,value,11,2
mountain,pinned,pinned longer,noun,6,3
simple,pinned,pinned longer,adjective,13,1
lip,pinned,pinned longer,noun,8,2
solve,pinned,pinned longer,verb,4,3
plane,pinned,pinned longer,noun,5,2
triangle,pinned,pinned longer,noun,8,1
drum,pinned,pinned longer,verb,5,1
click,pinned,pinned longer,verb,1,1
hello,pinned,pinned longer,interjection,1,1
molecule,pinned,pinned longer,noun,1,1
braid,pinned,pinned longer,noun,1,0
jewel,pinned,pinned longer,noun,1,0
brow,pinned,pinned longer,noun,0,0
justice,pinned,pinned longer,adjective,0,0
sneeze,pinned,pinned longer,verb,0,0
me,pinned,pinned longer,,0,0
strength,pinned,pinned longer,,0,0
billion,pinned,pinned longer,,0,0
its,pinned,pinned longer,,0,0
septillion,pinned,pinned longer,,0,0
speech,pinned,pinned longer,,0,0
octillion,pinned,pinned longer,,0,0
decillion,pinned,pinned longer,,0,0
their,pinned,pinned longer,,0,0
your,pinned,pinned longer,,0,0
power42,pinned,pinned longer,,0,0
power45,pinned,pinned longer,,0,0
lay,said,said by hand,adjective,61,47
land,said,said by hand,verb,64,43
style,said,said by hand,verb,49,45
break,said,said by hand,verb,79,34
stick,said,said by hand,verb,54,35
quick,said,said by hand,adjective,101,15
ground,said,said by hand,verb,34,23
stand,said,said by hand,verb,36,22
touch,said,said by hand,verb,29,23
tight,said,said by hand,adjective,33,18
figure,said,said by hand,verb,24,20
wind,said,said by hand,verb,32,17
drop,said,said by hand,verb,24,17
faith,said,said by hand,noun,25,16
tube,said,said by hand,noun,28,15
sheet,said,said by hand,noun,18,16
bend,said,said by hand,verb,32,12
thin,said,said by hand,adjective,49,5
sharp,said,said by hand,adjective,59,2
flat,said,said by hand,adjective,36,7
arrange,said,said by hand,verb,19,11
strike,said,said by hand,verb,23,10
fluid,said,said by hand,adjective,14,11
frame,said,said by hand,verb,11,11
swell,said,said by hand,verb,15,10
firm,said,said by hand,adjective,22,8
glow,said,said by hand,verb,15,9
slide,said,said by hand,verb,15,8
star,said,said by hand,verb,22,6
band,said,said by hand,verb,13,8
burst,said,said by hand,verb,17,7
glass,said,said by hand,noun,12,8
shade,said,said by hand,verb,12,8
soak,said,said by hand,verb,14,7
storm,said,said by hand,verb,7,5
fog,said,said by hand,verb,8,4
hill,said,said by hand,noun,8,4
flash,said,said by hand,verb,6,3
ceremony,said,said by hand,noun,5,3
worship,said,said by hand,verb,4,3
cloud,said,said by hand,verb,3,2
plenty,said,said by hand,determiner,3,1
person,world,named thing,noun,377,358
act,world,named thing,verb,151,145
study,world,named thing,verb,101,95
piece,world,named thing,noun,98,92
together,world,named thing,adjective,128,82
word,world,named thing,noun,110,86
cover,world,named thing,verb,95,70
look,world,named thing,verb,94,67
food,world,named thing,noun,97,64
mark,world,named thing,noun,85,64
view,world,named thing,verb,78,65
item,world,named thing,noun,65,62
water,world,named thing,noun,122,43
spot,world,named thing,verb,57,53
cloth,world,named thing,noun,61,51
cut,world,named thing,verb,101,41
help,world,named thing,verb,79,46
do,world,named thing,verb,66,49
show,world,named thing,verb,92,42
box,world,named thing,verb,58,49
noise,world,named thing,noun,51,50
remove,world,named thing,verb,172,18
picture,world,named thing,noun,58,46
skill,world,named thing,noun,60,41
skin,world,named thing,noun,72,38
room,world,named thing,noun,46,43
science,world,named thing,noun,43,43
sign,world,named thing,verb,52,40
love,world,named thing,verb,54,39
animal,world,named thing,adjective,63,35
story,world,named thing,noun,51,38
plant,world,named thing,verb,66,34
man,world,named thing,noun,48,37
build,world,named thing,verb,52,35
air,world,named thing,verb,86,26
care,world,named thing,verb,53,34
eat,world,named thing,verb,46,34
believe,world,named thing,verb,39,35
hair,world,named thing,noun,45,31
support,world,named thing,verb,61,27
fight,world,named thing,verb,46,30
fire,world,named thing,verb,60,26
people,world,named thing,noun,44,29
say,world,named thing,verb,47,28
heart,world,named thing,noun,49,27
house,world,named thing,verb,37,29
case,world,named thing,noun,32,30
drink,world,named thing,verb,42,26
fit,world,named thing,verb,37,27
go,world,named thing,verb,57,22
book,world,named thing,verb,45,24
substance,world,named thing,noun,29,28
able,world,named thing,adjective,42,24
device,world,named thing,noun,28,27
money,world,named thing,noun,49,21
stone,world,named thing,noun,36,24
meal,world,named thing,noun,35,24
expert,world,named thing,adjective,26,26
message,world,named thing,verb,38,23
hole,world,named thing,verb,28,25
speak,world,named thing,verb,50,19
base,world,named thing,verb,27,24
friend,world,named thing,noun,31,23
angle,world,named thing,noun,30,23
unit,world,named thing,noun,25,24
block,world,named thing,verb,39,20
kill,world,named thing,verb,31,22
draw,world,named thing,verb,38,20
head,world,named thing,verb,42,19
joy,world,named thing,noun,31,21
woman,world,named thing,noun,35,20
guide,world,named thing,verb,30,21
harm,world,named thing,verb,29,21
share,world,named thing,verb,56,14
material,world,named thing,noun,22,22
travel,world,named thing,verb,38,18
shine,world,named thing,verb,37,18
bag,world,named thing,noun,24,21
bone,world,named thing,verb,26,20
creature,world,named thing,noun,21,21
happy,world,named thing,adjective,36,17
metal,world,named thing,noun,32,18
weapon,world,named thing,noun,24,20
heat,world,named thing,verb,35,17
paper,world,named thing,noun,26,19
bird,world,named thing,noun,33,17
chance,world,named thing,noun,25,19
list,world,named thing,verb,27,18
check,world,named thing,verb,30,17
claim,world,named thing,verb,22,19
shake,world,named thing,verb,34,16
thread,world,named thing,verb,22,19
doctor,world,named thing,noun,21,19
bed,world,named thing,noun,36,15
art,world,named thing,noun,27,17
fear,world,named thing,verb,31,16
agree,world,named thing,verb,22,18
put,world,named thing,verb,58,9
hand,world,named thing,verb,45,12
disease,world,named thing,noun,23,17
flower,world,named thing,verb,31,15
leg,world,named thing,noun,23,17
record,world,named thing,verb,22,17
against,world,named thing,adjective,53,9
tale,world,named thing,noun,21,17
catch,world,named thing,verb,32,14
load,world,named thing,verb,20,17
fact,world,named thing,noun,19,17
job,world,named thing,noun,27,15
task,world,named thing,noun,19,17
matter,world,named thing,verb,18,17
happen,world,named thing,verb,21,16
insect,world,named thing,noun,25,15
mood,world,named thing,noun,20,16
spread,world,named thing,verb,28,14
stage,world,named thing,verb,20,16
charge,world,named thing,verb,19,16
feel,world,named thing,verb,35,12
meat,world,named thing,noun,27,14
tell,world,named thing,verb,27,14
carry,world,named thing,verb,30,13
gas,world,named thing,verb,22,15
pull,world,named thing,verb,42,10
supply,world,named thing,verb,21,15
watch,world,named thing,verb,29,13
bug,world,named thing,noun,20,15
copy,world,named thing,verb,28,13
road,world,named thing,noun,27,13
secret,world,named thing,adjective,35,11
deal,world,named thing,verb,18,15
foot,world,named thing,noun,30,12
health,world,named thing,noun,22,14
attack,world,named thing,verb,21,14
cook,world,named thing,noun,29,12
sick,world,named thing,adjective,28,12
fix,world,named thing,verb,35,10
stuff,world,named thing,verb,15,15
car,world,named thing,noun,26,12
game,world,named thing,verb,22,13
answer,world,named thing,verb,17,14
dirt,world,named thing,noun,21,13
fold,world,named thing,verb,21,13
hurt,world,named thing,verb,33,10
complete,world,named thing,adjective,32,10
earth,world,named thing,noun,40,8
free,world,named thing,adjective,44,7
ill,world,named thing,adjective,20,13
pay,world,named thing,verb,24,12
bear,world,named thing,verb,19,13
round,world,named thing,adjective,35,9
worry,world,named thing,verb,19,13
fat,world,named thing,adjective,26,11
muscle,world,named thing,noun,26,11
loud,world,named thing,adjective,49,5
push,world,named thing,verb,33,9
sea,world,named thing,noun,41,7
wave,world,named thing,verb,25,11
burn,world,named thing,verb,32,9
circle,world,named thing,verb,28,10
design,world,named thing,verb,16,13
marriage,world,named thing,noun,16,13
dog,world,named thing,noun,19,12
handle,world,named thing,verb,15,13
sell,world,named thing,verb,19,12
trust,world,named thing,verb,19,12
well,world,named thing,noun,19,12
dish,world,named thing,verb,14,13
meet,world,named thing,verb,22,11
pot,world,named thing,noun,14,13
treat,world,named thing,verb,14,13
worth,world,named thing,verb,18,12
board,world,named thing,verb,13,13
craft,world,named thing,verb,13,13
drive,world,named thing,verb,25,10
fish,world,named thing,verb,21,11
gather,world,named thing,verb,25,10
sad,world,named thing,adjective,33,8
sleep,world,named thing,verb,36,7
poison,world,named thing,verb,19,11
shell,world,named thing,noun,15,12
throw,world,named thing,verb,27,9
coat,world,named thing,verb,14,12
fly,world,named thing,verb,22,10
honor,world,named thing,verb,18,11
interest,world,named thing,verb,14,12
string,world,named thing,verb,18,11
sugar,world,named thing,noun,14,12
teach,world,named thing,verb,22,10
wood,world,named thing,noun,34,7
ask,world,named thing,verb,21,10
twist,world,named thing,verb,33,7
crowd,world,named thing,verb,16,11
fun,world,named thing,adjective,20,10
bind,world,named thing,verb,15,11
heal,world,named thing,verb,19,10
letter,world,named thing,noun,19,10
partner,world,named thing,noun,15,11
ring,world,named thing,verb,19,10
trouble,world,named thing,verb,15,11
blame,world,named thing,verb,14,11
desire,world,named thing,verb,14,11
hope,world,named thing,verb,14,11
oil,world,named thing,verb,18,10
search,world,named thing,verb,22,9
aid,world,named thing,verb,13,11
cost,world,named thing,verb,13,11
promise,world,named thing,verb,17,10
wall,world,named thing,noun,17,10
effort,world,named thing,noun,12,11
mass,world,named thing,noun,16,10
organ,world,named thing,noun,12,11
pipe,world,named thing,verb,16,10
arm,world,named thing,verb,19,9
ship,world,named thing,verb,15,10
smell,world,named thing,verb,15,10
lift,world,named thing,verb,22,8
own,world,named thing,adjective,21,8
waste,world,named thing,verb,21,8
salt,world,named thing,noun,16,9
crime,world,named thing,noun,11,10
damage,world,named thing,verb,15,9
detail,world,named thing,verb,15,9
keep,world,named thing,verb,27,6
text,world,named thing,verb,11,10
fabric,world,named thing,noun,14,9
manage,world,named thing,verb,14,9
opinion,world,named thing,noun,10,10
pad,world,named thing,noun,10,10
practice,world,named thing,verb,14,9
praise,world,named thing,verb,14,9
question,world,named thing,verb,18,8
trick,world,named thing,verb,14,9
hide,world,named thing,verb,37,3
normal,world,named thing,adjective,13,9
print,world,named thing,verb,13,9
split,world,named thing,verb,21,7
wing,world,named thing,verb,13,9
boat,world,named thing,verb,16,8
anger,world,named thing,verb,11,9
blade,world,named thing,noun,11,9
bubble,world,named thing,verb,15,8
carbon,world,named thing,noun,11,9
cry,world,named thing,verb,11,9
emotion,world,named thing,noun,11,9
guard,world,named thing,verb,19,7
shout,world,named thing,verb,11,9
wheel,world,named thing,verb,15,8
sure,world,named thing,adjective,14,8
term,world,named thing,noun,10,9
warm,world,named thing,adjective,26,5
wish,world,named thing,verb,10,9
wrap,world,named thing,verb,22,6
ear,world,named thing,noun,21,6
farm,world,named thing,verb,13,8
method,world,named thing,noun,13,8
music,world,named thing,noun,25,5
smart,world,named thing,adjective,17,7
sweet,world,named thing,adjective,21,6
beat,world,named thing,verb,16,7
chain,world,named thing,verb,12,8
gun,world,named thing,verb,16,7
label,world,named thing,verb,12,8
steady,world,named thing,adjective,16,7
taste,world,named thing,verb,12,8
wear,world,named thing,verb,20,6
wonder,world,named thing,verb,16,7
beauty,world,named thing,noun,11,8
fair,world,named thing,adjective,15,7
last,world,named thing,adjective,19,6
listen,world,named thing,verb,11,8
polite,world,named thing,adjective,11,8
pressure,world,named thing,noun,15,7
raise,world,named thing,verb,27,4
ride,world,named thing,verb,11,8
sex,world,named thing,noun,11,8
wet,world,named thing,adjective,27,4
beyond,world,named thing,adjective,26,4
curve,world,named thing,verb,22,5
jump,world,named thing,verb,18,6
mess,world,named thing,verb,22,5
price,world,named thing,verb,10,8
reduce,world,named thing,verb,22,5
respect,world,named thing,verb,10,8
tie,world,named thing,verb,18,6
appear,world,named thing,verb,9,8
germ,world,named thing,noun,17,6
leave,world,named thing,verb,33,2
race,world,named thing,verb,9,8
smooth,world,named thing,adjective,25,4
straight,world,named thing,adjective,17,6
activity,world,named thing,noun,8,8
buy,world,named thing,verb,12,7
display,world,named thing,verb,12,7
grain,world,named thing,noun,12,7
horn,world,named thing,noun,8,8
issue,world,named thing,verb,8,8
main,world,named thing,adjective,32,2
pack,world,named thing,verb,8,8
plate,world,named thing,noun,8,8
shield,world,named thing,noun,8,8
single,world,named thing,adjective,40,0
title,world,named thing,noun,8,8
win,world,named thing,verb,12,7
bite,world,named thing,verb,11,7
hate,world,named thing,verb,11,7
hear,world,named thing,verb,15,6
reach,world,named thing,verb,15,6
shame,world,named thing,noun,11,7
team,world,named thing,noun,11,7
throat,world,named thing,noun,15,6
bread,world,named thing,noun,14,6
egg,world,named thing,noun,26,3
proud,world,named thing,adjective,14,6
scent,world,named thing,noun,10,7
solid,world,named thing,adjective,14,6
stress,world,named thing,verb,10,7
sudden,world,named thing,adjective,30,2
bold,world,named thing,adjective,13,6
laugh,world,named thing,verb,9,7
mad,world,named thing,adjective,13,6
medicine,world,named thing,noun,17,5
school,world,named thing,noun,17,5
spend,world,named thing,verb,13,6
acid,world,named thing,noun,8,7
beam,world,named thing,noun,8,7
cake,world,named thing,verb,8,7
charm,world,named thing,verb,12,6
city,world,named thing,noun,12,6
fine,world,named thing,adjective,20,4
gap,world,named thing,noun,8,7
knife,world,named thing,noun,8,7
nerve,world,named thing,noun,24,3
ocean,world,named thing,noun,28,2
peak,world,named thing,verb,8,7
shock,world,named thing,verb,16,5
tissue,world,named thing,noun,12,6
trip,world,named thing,verb,8,7
urge,world,named thing,verb,12,6
bar,world,named thing,verb,11,6
compound,world,named thing,verb,7,7
dirty,world,named thing,adjective,15,5
fruit,world,named thing,noun,11,6
grip,world,named thing,verb,7,7
hue,world,named thing,noun,7,7
language,world,named thing,noun,11,6
murder,world,named thing,verb,7,7
press,world,named thing,verb,15,5
satisfy,world,named thing,verb,11,6
sorrow,world,named thing,noun,11,6
strip,world,named thing,verb,11,6
grass,world,named thing,noun,14,5
journey,world,named thing,noun,10,6
shelter,world,named thing,verb,10,6
stream,world,named thing,verb,10,6
suit,world,named thing,verb,10,6
vessel,world,named thing,noun,10,6
brain,world,named thing,noun,17,4
dress,world,named thing,verb,9,6
favor,world,named thing,noun,9,6
feed,world,named thing,verb,9,6
floor,world,named thing,noun,9,6
gentle,world,named thing,adjective,17,4
scare,world,named thing,verb,9,6
shop,world,named thing,verb,9,6
sing,world,named thing,verb,9,6
try,world,named thing,verb,13,5
war,world,named thing,verb,13,5
wise,world,named thing,adjective,13,5
camera,world,named thing,noun,8,6
capture,world,named thing,verb,8,6
chamber,world,named thing,noun,8,6
document,world,named thing,verb,8,6
guilt,world,named thing,noun,8,6
multiple,world,named thing,adjective,32,0
nice,world,named thing,adjective,16,4
spell,world,named thing,verb,8,6
stitch,world,named thing,verb,8,6
wild,world,named thing,adjective,20,3
aim,world,named thing,verb,7,6
bump,world,named thing,verb,7,6
cap,world,named thing,verb,7,6
flavor,world,named thing,verb,7,6
grasp,world,named thing,verb,7,6
horse,world,named thing,verb,15,4
juice,world,named thing,verb,7,6
luck,world,named thing,noun,7,6
pick,world,named thing,verb,11,5
pile,world,named thing,verb,7,6
pole,world,named thing,noun,7,6
poor,world,named thing,adjective,19,3
range,world,named thing,verb,7,6
spouse,world,named thing,noun,7,6
spray,world,named thing,verb,7,6
stable,world,named thing,adjective,7,6
tear,world,named thing,verb,19,3
vote,world,named thing,verb,11,5
alcohol,world,named thing,noun,6,6
approve,world,named thing,verb,6,6
battle,world,named thing,verb,10,5
bunch,world,named thing,noun,6,6
distant,world,named thing,adjective,26,1
duty,world,named thing,noun,6,6
element,world,named thing,noun,6,6
fuel,world,named thing,verb,6,6
instrument,world,named thing,noun,6,6
limb,world,named thing,noun,6,6
meter,world,named thing,noun,6,6
mist,world,named thing,noun,10,5
program,world,named thing,verb,6,6
religion,world,named thing,noun,10,5
role,world,named thing,noun,6,6
root,world,named thing,verb,6,6
strap,world,named thing,noun,6,6
surgery,world,named thing,noun,6,6
brief,world,named thing,adjective,9,5
choose,world,named thing,verb,13,4
crazy,world,named thing,adjective,17,3
electric,world,named thing,adjective,25,1
explain,world,named thing,verb,9,5
post,world,named thing,verb,9,5
scene,world,named thing,noun,9,5
steal,world,named thing,verb,17,3
vision,world,named thing,noun,9,5
wash,world,named thing,verb,17,3
cart,world,named thing,noun,8,5
girl,world,named thing,noun,8,5
ice,world,named thing,noun,16,3
offer,world,named thing,verb,16,3
regret,world,named thing,verb,8,5
serve,world,named thing,verb,8,5
ahead,world,named thing,adjective,7,5
atom,world,named thing,noun,7,5
cast,world,named thing,verb,7,5
chart,world,named thing,verb,7,5
culture,world,named thing,noun,7,5
final,world,named thing,adjective,19,2
gear,world,named thing,verb,7,5
knot,world,named thing,noun,7,5
net,world,named thing,verb,11,4
standard,world,named thing,adjective,7,5
stretch,world,named thing,verb,7,5
tire,world,named thing,verb,11,4
alone,world,named thing,adjective,10,4
bow,world,named thing,noun,6,5
infect,world,named thing,verb,6,5
joint,world,named thing,noun,18,2
platform,world,named thing,noun,6,5
public,world,named thing,adjective,18,2
save,world,named thing,verb,14,3
strange,world,named thing,adjective,26,0
version,world,named thing,noun,6,5
wait,world,named thing,verb,10,4
web,world,named thing,noun,10,4
benefit,world,named thing,verb,5,5
blend,world,named thing,verb,9,4
conduct,world,named thing,verb,5,5
cushion,world,named thing,noun,5,5
deed,world,named thing,noun,5,5
freeze,world,named thing,verb,13,3
fund,world,named thing,verb,5,5
glance,world,named thing,noun,5,5
gland,world,named thing,noun,9,4
lady,world,named thing,noun,5,5
mound,world,named thing,noun,5,5
odor,world,named thing,noun,5,5
panel,world,named thing,noun,5,5
rage,world,named thing,verb,5,5
rod,world,named thing,noun,5,5
roll,world,named thing,verb,9,4
route,world,named thing,verb,9,4
shirt,world,named thing,noun,5,5
snow,world,named thing,verb,9,4
sword,world,named thing,noun,9,4
talent,world,named thing,noun,5,5
usual,world,named thing,adjective,9,4
blow,world,named thing,verb,12,3
can,world,named thing,verb,16,2
cup,world,named thing,noun,8,4
extra,world,named thing,adjective,24,0
lock,world,named thing,verb,12,3
rope,world,named thing,verb,8,4
stomach,world,named thing,noun,12,3
struggle,world,named thing,verb,8,4
success,world,named thing,noun,8,4
suffer,world,named thing,verb,8,4
thief,world,named thing,noun,8,4
train,world,named thing,verb,8,4
argue,world,named thing,verb,7,4
climb,world,named thing,verb,11,3
country,world,named thing,noun,7,4
dance,world,named thing,verb,11,3
exchange,world,named thing,verb,7,4
fashion,world,named thing,noun,7,4
flame,world,named thing,verb,7,4
grave,world,named thing,adjective,11,3
lie,world,named thing,verb,11,3
seal,world,named thing,verb,7,4
signal,world,named thing,verb,11,3
slice,world,named thing,verb,7,4
spoil,world,named thing,verb,11,3
table,world,named thing,noun,7,4
town,world,named thing,noun,7,4
width,world,named thing,noun,7,4
bowl,world,named thing,noun,6,4
cat,world,named thing,noun,6,4
challenge,world,named thing,verb,6,4
chief,world,named thing,adjective,10,3
clash,world,named thing,noun,6,4
command,world,named thing,verb,6,4
foam,world,named thing,noun,6,4
fool,world,named thing,noun,6,4
option,world,named thing,noun,6,4
paint,world,named thing,verb,6,4
party,world,named thing,verb,6,4
perform,world,named thing,verb,6,4
reptile,world,named thing,noun,6,4
rough,world,named thing,adjective,18,1
screen,world,named thing,verb,6,4
site,world,named thing,noun,6,4
situation,world,named thing,noun,6,4
snack,world,named thing,noun,6,4
special,world,named thing,adjective,14,2
symbol,world,named thing,noun,10,3
tap,world,named thing,noun,6,4
wander,world,named thing,verb,6,4
bell,world,named thing,noun,9,3
boy,world,named thing,noun,5,4
comfort,world,named thing,verb,9,3
fail,world,named thing,verb,9,3
fake,world,named thing,adjective,21,0
fee,world,named thing,noun,5,4
gauge,world,named thing,noun,5,4
king,world,named thing,noun,9,3
loyal,world,named thing,adjective,5,4
mate,world,named thing,noun,5,4
moisture,world,named thing,noun,5,4
month,world,named thing,noun,9,3
patient,world,named thing,adjective,5,4
pin,world,named thing,verb,9,3
plot,world,named thing,noun,5,4
plug,world,named thing,verb,5,4
prize,world,named thing,verb,5,4
progress,world,named thing,verb,5,4
puzzle,world,named thing,verb,9,3
ray,world,named thing,noun,9,3
surprise,world,named thing,verb,9,3
temperature,world,named thing,noun,5,4
tongue,world,named thing,noun,5,4
wire,world,named thing,verb,5,4
alloy,world,named thing,noun,4,4
attitude,world,named thing,noun,4,4
axe,world,named thing,noun,4,4
bark,world,named thing,verb,4,4
barrier,world,named thing,noun,4,4
brave,world,named thing,adjective,12,2
clock,world,named thing,noun,4,4
conflict,world,named thing,verb,8,3
crack,world,named thing,verb,4,4
dead,world,named thing,adjective,12,2
dry,world,named thing,adjective,16,1
earn,world,named thing,verb,4,4
error,world,named thing,noun,4,4
invite,world,named thing,verb,4,4
log,world,named thing,verb,4,4
neat,world,named thing,adjective,4,4
organism,world,named thing,noun,4,4
pretty,world,named thing,adjective,4,4
product,world,named thing,noun,4,4
rich,world,named thing,adjective,12,2
sac,world,named thing,noun,4,4
settle,world,named thing,verb,8,3
smile,world,named thing,verb,4,4
status,world,named thing,noun,4,4
stem,world,named thing,verb,4,4
tip,world,named thing,verb,4,4
bee,world,named thing,noun,15,1
boil,world,named thing,verb,7,3
evil,world,named thing,adjective,11,2
excite,world,named thing,verb,7,3
fresh,world,named thing,adjective,11,2
kid,world,named thing,verb,7,3
milk,world,named thing,verb,7,3
office,world,named thing,noun,7,3
river,world,named thing,noun,7,3
tea,world,named thing,noun,15,1
urine,world,named thing,noun,7,3
weather,world,named thing,verb,11,2
welcome,world,named thing,verb,7,3
cure,world,named thing,verb,6,3
current,world,named thing,adjective,10,2
danger,world,named thing,noun,6,3
decide,world,named thing,verb,6,3
drip,world,named thing,verb,6,3
fan,world,named thing,noun,6,3
fence,world,named thing,verb,6,3
information,world,named thing,noun,6,3
noble,world,named thing,adjective,10,2
page,world,named thing,noun,6,3
rail,world,named thing,noun,6,3
remain,world,named thing,verb,6,3
row,world,named thing,noun,6,3
rude,world,named thing,adjective,10,2
sample,world,named thing,verb,6,3
saw,world,named thing,verb,6,3
shed,world,named thing,verb,6,3
sit,world,named thing,verb,6,3
tall,world,named thing,adjective,14,1
tent,world,named thing,noun,6,3
