english,group,set,why,role,uses,head
part,pinned,pair.part,pinned at three sounds,verb,286,255
whole,pinned,pair.part,pinned at three sounds,adjective,20,9
in,pinned,pair.way,pinned at three sounds,preposition,141,70
out,pinned,pair.way,pinned at three sounds,preposition,222,149
up,pinned,pair.rise,pinned at three sounds,preposition,183,139
down,pinned,pair.rise,pinned at three sounds,preposition,120,80
move,pinned,pair.move,pinned at three sounds,verb,183,124
rest,pinned,pair.move,pinned at three sounds,verb,15,7
front,pinned,pair.face,pinned at three sounds,noun,18,4
back,pinned,pair.face,pinned at three sounds,verb,151,104
light,said,pair.weight,said as lait,adjective,199,68
big,scale,pair.size,named,adjective,121,9
small,scale,pair.size,named,adjective,327,15
life,pinned,pair.life,pinned at three sounds,noun,104,49
good,pinned,pair.good,pinned at three sounds,adjective,70,29
bad,pinned,pair.good,pinned at three sounds,adjective,172,19
open,pinned,pair.open,pinned at three sounds,adjective,72,36
close,pinned,pair.open,pinned at three sounds,adjective,52,28
zero,pinned,series.digit,pinned at three sounds,value,0,0
one,pinned,series.digit,pinned at three sounds,value,84,31
two,pinned,series.digit,pinned at three sounds,value,61,3
three,pinned,series.digit,pinned at three sounds,value,66,2
four,pinned,series.digit,pinned at three sounds,value,21,1
five,pinned,series.digit,pinned at three sounds,value,14,1
six,pinned,series.digit,pinned at three sounds,value,11,0
seven,pinned,series.digit,pinned at three sounds,value,26,0
eight,pinned,series.digit,pinned at three sounds,value,5,1
nine,pinned,series.digit,pinned at three sounds,value,3,1
ten,pinned,series.digit,pinned at three sounds,value,15,3
eleven,pinned,series.digit,pinned at three sounds,,0,0
twelve,pinned,series.digit,pinned at three sounds,value,2,0
thirteen,pinned,series.digit,pinned at three sounds,,0,0
fourteen,pinned,series.digit,pinned at three sounds,,0,0
fifteen,pinned,series.digit,pinned at three sounds,,0,0
end,pinned,pair.begin,pinned at three sounds,verb,66,33
wrong,pinned,pair.right,pinned at three sounds,adjective,128,17
start,pinned,pair.start,pinned at three sounds,verb,38,19
stop,pinned,pair.start,pinned at three sounds,verb,83,24
left,pinned,pair.hand,pinned at three sounds,adjective,0,0
right,pinned,pair.hand,pinned at three sounds,adjective,44,32
top,space,pair.end,named,verb,51,29
bottom,space,pair.end,named,adjective,12,4
no,pinned,pair.yes,pinned at three sounds,determiner,163,1
know,pinned,pair.know,pinned at three sounds,verb,39,31
over,space,pair.over,named,adjective,47,25
full,quantity,pair.fill,named,adjective,55,20
center,pinned,pair.middle,pinned at three sounds,verb,21,10
edge,pinned,pair.middle,pinned at three sounds,verb,35,24
high,scale,pair.height,named,adjective,73,14
low,scale,pair.height,named,adjective,54,3
join,relation,pair.join,named,verb,70,14
cause,pinned,pair.cause,pinned at three sounds,verb,50,17
effect,pinned,pair.cause,pinned at three sounds,verb,13,13
create,pinned,pair.make,pinned at three sounds,verb,41,18
destroy,pinned,pair.make,pinned at three sounds,noun,13,7
inside,pinned,pair.side,pinned at three sounds,adjective,54,13
outside,pinned,pair.side,pinned at three sounds,adjective,28,2
same,pinned,pair.same,pinned at three sounds,adjective,65,10
different,pinned,pair.same,pinned at three sounds,,0,0
many,function,pair.count,role,adjective,80,4
few,function,pair.count,role,determiner,3,0
before,pinned,pair.when,pinned at three sounds,conjunction,74,5
after,pinned,pair.when,pinned at three sounds,preposition,34,7
gain,pinned,pair.win,pinned at three sounds,verb,23,16
lose,pinned,pair.win,pinned at three sounds,verb,18,5
push,said,pair.push,said as pex,verb,33,9
pull,said,pair.push,said as xop,verb,42,10
huge,said,pair.extreme,said by hand,adjective,11,0
tiny,said,pair.extreme,said by hand,adjective,76,1
arrive,motion,pair.turn,named,verb,6,6
pass,motion,pair.turn,named,verb,24,14
send,pinned,pair.give,pinned at three sounds,verb,34,11
receive,pinned,pair.give,pinned at three sounds,verb,8,5
death,life,pair.life,named,noun,27,12
under,said,pair.over,said by hand,adjective,58,4
birth,life,pair.birth,named,noun,21,13
old,scale,pair.age,named,adjective,39,0
young,scale,pair.age,named,adjective,36,9
more,pinned,pair.amount,pinned at three sounds,adverb,22,12
less,pinned,pair.amount,pinned at three sounds,noun,24,9
rise,pinned,pair.fall,pinned at three sounds,verb,27,9
fall,pinned,pair.fall,pinned at three sounds,verb,26,10
true,pinned,pair.truth,pinned at three sounds,adjective,20,11
false,pinned,pair.truth,pinned at three sounds,adjective,46,3
source,pinned,pair.flow,pinned at three sounds,noun,13,12
sink,pinned,pair.flow,pinned at three sounds,verb,3,0
grow,scale,pair.grow,named,verb,28,8
shrink,scale,pair.grow,named,verb,2,1
near,pinned,pair.near,pinned at three sounds,adjective,23,4
far,pinned,pair.near,pinned at three sounds,adjective,40,5
now,pinned,pair.now,pinned at three sounds,conjunction,14,10
