english,ipa,form,shape,state,uses,head
sound,saʊnd,saund,CDCC,free,192,153
light,laɪt,lait,CDC,free,199,68
cloth,klɔːθ,kloc,CCVC,free,61,51
land,lænd,land,CVCC,free,64,43
sign,saɪn,sain,CDC,free,52,40
plant,plænt,plant,CCVCC,free,66,34
house,haʊs,haus,CDC,free,37,29
pain,peɪn,pen,CVC,free,39,27
drink,dɹɪŋk,driqk,CCVCC,free,42,26
mind,maɪnd,maind,CDCC,free,46,25
ground,ɡɹaʊnd,graund,CCDCC,free,34,23
base,beɪs,bes,CVC,free,27,24
wind,wɪnd,wind,CVCC,free,32,17
tube,tuːb,tub,CVC,free,28,15
gas,ɡæs,gas,CVC,free,22,15
foot,fʊt,fut,CVC,free,30,12
bright,bɹaɪt,brait,CCDC,free,28,11
dog,dɔːɡ,dog,CVC,free,19,12
dish,dɪʃ,dix,CVC,free,14,13
ring,ɹɪŋ,riq,CVC,free,19,10
shout,ʃaʊt,xaut,CDC,free,11,9
chain,tʃeɪn,txen,CCVC,free,12,8
glass,ɡlæs,glas,CCVC,free,12,8
throat,θɹoʊt,crot,CCVC,free,15,6
school,skuːl,skul,CCVC,free,17,5
knife,naɪf,naif,CDC,free,8,7
fruit,fɹuːt,frut,CCVC,free,11,6
grass,ɡɹæs,gras,CCVC,free,14,5
dress,dɹɛs,dres,CCVC,free,9,6
floor,flɔːɹ,flor,CCVC,free,9,6
juice,dʒuːs,djus,CCVC,free,7,6
root,ruːt,rut,CVC,free,6,6
mound,maʊnd,maund,CDCC,free,5,5
train,tɹeɪn,tren,CCVC,free,8,4
flame,fleɪm,flem,CCVC,free,7,4
town,taʊn,taun,CDC,free,7,4
paint,peɪnt,pent,CVCC,free,6,4
gauge,ɡeɪdʒ,gedj,CVCC,free,5,4
snake,sneɪk,snek,CCVC,free,5,4
clock,klɑːk,klak,CCVC,free,4,4
spine,spaɪn,spain,CCDC,free,7,2
tooth,tuːθ,tuc,CVC,free,7,2
mask,mæsk,mask,CVCC,free,5,2
pen,pɛn,pen,CVC,free,5,2
plane,pleɪn,plen,CCVC,free,5,2
bank,bæŋk,baqk,CVCC,free,4,2
brush,bɹʌʃ,brax,CCVC,free,3,2
cloud,klaʊd,klaud,CCDC,free,3,2
dam,dæm,dam,CVC,free,2,2
ledge,lɛdʒ,ledj,CVCC,free,2,2
pig,pɪɡ,pig,CVC,free,6,1
spoon,spuːn,spun,CCVC,free,2,2
lung,lʌŋ,laq,CVC,free,4,1
bat,bæt,bat,CVC,free,3,1
dawn,dɔːn,don,CVC,free,3,1
sand,sænd,sand,CVCC,free,7,0
breeze,bɹiːz,briz,CCVC,free,2,1
corn,kɔːɹn,korn,CVCC,free,2,1
mouse,maʊs,maus,CDC,free,2,1
skull,skʌl,skal,CCVC,free,2,1
chant,tʃænt,txant,CCVCC,free,1,1
gem,dʒɛm,djem,CCVC,free,1,1
haze,heɪz,hez,CVC,free,1,1
peach,piːtʃ,pitx,CVCC,free,1,1
pool,puːl,pul,CVC,free,1,1
spade,speɪd,sped,CCVC,free,1,1
plain,pleɪn,plen,CCVC,free,4,0
sink,sɪŋk,siqk,CVCC,free,3,0
