english,role,uses,head,source
person,noun,377,358,base
place,verb,289,257,base
part,verb,286,255,base
thing,noun,237,237,base
state,verb,212,206,base
make,verb,426,182,base
time,verb,192,172,base
way,noun,183,165,base
sound,verb,192,153,base
out,preposition,222,149,base
act,verb,151,145,base
up,preposition,183,139,base
area,noun,137,127,base
move,verb,183,124,base
group,noun,174,119,base
form,verb,136,115,base
tool,noun,121,110,base
work,verb,145,109,base
back,verb,151,104,base
shape,verb,122,103,base
study,verb,101,95,base
piece,noun,98,92,base
write,verb,114,91,base
change,verb,152,86,base
talk,verb,142,86,base
word,noun,110,86,base
line,verb,104,86,base
measure,verb,95,84,base
together,adjective,128,82,base
down,preposition,120,80,base
away,adverb,119,80,base
type,verb,85,80,base
point,verb,88,76,base
rule,verb,96,75,base
relation,noun,92,74,base
space,noun,87,73,base
hold,verb,151,70,base
in,preposition,141,70,base
cover,verb,95,70,base
think,verb,92,69,base
light,adjective,199,68,base
look,verb,94,67,base
path,noun,75,67,base
amount,noun,70,67,base
kind,adjective,94,66,base
view,verb,78,65,base
food,noun,97,64,base
mark,noun,85,64,base
quality,noun,63,63,base
item,noun,65,62,base
idea,noun,63,56,base
power,verb,67,53,base
spot,verb,57,53,base
strong,adjective,183,51,base
flow,verb,65,51,base
cloth,noun,61,51,base
color,verb,71,50,base
noise,noun,51,50,base
life,noun,104,49,base
do,verb,66,49,base
box,verb,58,49,base
body,noun,109,48,base
side,verb,79,48,base
use,verb,68,48,base
again,adverb,258,47,base
lay,adjective,61,47,base
event,noun,52,47,base
help,verb,79,46,base
picture,noun,58,46,base
style,verb,49,45,base
water,noun,122,43,base
force,verb,81,43,base
land,verb,64,43,base
lead,verb,56,43,base
room,noun,46,43,base
science,noun,43,43,base
show,verb,92,42,base
plan,verb,53,42,base
order,verb,52,42,base
cut,verb,101,41,base
skill,noun,60,41,base
sign,verb,52,40,base
liquid,adjective,69,39,base
name,verb,56,39,base
love,verb,54,39,base
clear,adjective,87,38,base
skin,noun,72,38,base
story,noun,51,38,base
man,noun,48,37,base
open,adjective,72,36,base
off,preposition,53,36,base
animal,adjective,63,35,base
stick,verb,54,35,base
build,verb,52,35,base
object,verb,52,35,base
believe,verb,39,35,base
break,verb,79,34,base
plant,verb,66,34,base
care,verb,53,34,base
around,preposition,46,34,base
eat,verb,46,34,base
end,verb,66,33,base
apart,adverb,37,33,base
process,verb,33,33,base
number,noun,58,32,base
right,adjective,44,32,base
size,verb,40,32,base
contain,verb,34,32,base
one,value,84,31,base
set,verb,75,31,base
control,verb,46,31,base
hair,noun,45,31,base
know,verb,39,31,base
like,verb,51,30,base
fight,verb,46,30,base
be,verb,45,30,base
mean,adjective,44,30,base
case,noun,32,30,base
condition,noun,32,30,base
give,verb,145,29,base
good,adjective,70,29,base
top,verb,51,29,base
people,noun,44,29,base
house,verb,37,29,base
level,verb,35,29,base
close,adjective,52,28,base
say,verb,47,28,base
spirit,noun,40,28,base
surface,verb,32,28,base
substance,noun,29,28,base
support,verb,61,27,base
heart,noun,49,27,base
pain,noun,39,27,base
fit,verb,37,27,base
device,noun,28,27,base
take,verb,151,26,base
air,verb,86,26,base
fire,verb,60,26,base
see,verb,43,26,base
drink,verb,42,26,base
expert,adjective,26,26,base
hit,verb,59,25,base
over,adjective,47,25,base
mind,verb,46,25,base
count,verb,43,25,base
home,noun,39,25,base
safe,adjective,39,25,base
hole,verb,28,25,base
stop,verb,83,24,base
fast,adjective,58,24,base
on,preposition,50,24,base
book,verb,45,24,base
able,adjective,42,24,base
step,verb,41,24,base
child,noun,37,24,base
value,verb,37,24,base
stone,noun,36,24,base
edge,verb,35,24,base
meal,noun,35,24,base
voice,verb,35,24,base
need,verb,32,24,base
much,determiner,29,24,base
vehicle,noun,28,24,base
base,verb,27,24,base
unit,noun,25,24,base
message,verb,38,23,base
ground,verb,34,23,base
friend,noun,31,23,base
angle,noun,30,23,base
touch,verb,29,23,base
knowledge,noun,28,23,base
hard,adjective,70,22,base
go,verb,57,22,base
image,noun,36,22,base
stand,verb,36,22,base
kill,verb,31,22,base
reason,verb,25,22,base
material,noun,22,22,base
turn,verb,60,21,base
money,noun,49,21,base
face,verb,35,21,base
joy,noun,31,21,base
guide,verb,30,21,base
harm,verb,29,21,base
bag,noun,24,21,base
creature,noun,21,21,base
full,adjective,55,20,base
block,verb,39,20,base
nature,noun,39,20,base
draw,verb,38,20,base
walk,verb,36,20,base
woman,noun,35,20,base
cell,noun,31,20,base
bone,verb,26,20,base
note,verb,25,20,base
figure,verb,24,20,base
weapon,noun,24,20,base
system,noun,21,20,base
bad,adjective,172,19,base
speak,verb,50,19,base
head,verb,42,19,base
start,verb,38,19,base
paper,noun,26,19,base
chance,noun,25,19,base
sense,verb,25,19,base
through,preposition,23,19,base
claim,verb,22,19,base
thread,verb,22,19,base
doctor,noun,21,19,base
remove,verb,172,18,base
mix,verb,77,18,base
create,verb,41,18,base
from,preposition,40,18,base
travel,verb,38,18,base
shine,verb,37,18,base
seed,verb,34,18,base
tight,adjective,33,18,base
link,verb,32,18,base
metal,noun,32,18,base
list,verb,27,18,base
agree,verb,22,18,base
position,verb,21,18,base
agent,noun,18,18,base
wrong,adjective,128,17,base
clean,adjective,60,17,base
live,adjective,58,17,base
cause,verb,50,17,base
for,preposition,41,17,base
happy,adjective,36,17,base
heat,verb,35,17,base
bird,noun,33,17,base
wind,verb,32,17,base
check,verb,30,17,base
day,noun,29,17,base
art,noun,27,17,base
machine,noun,26,17,base
drop,verb,24,17,base
disease,noun,23,17,base
leg,noun,23,17,base
real,adjective,23,17,base
record,verb,22,17,base
tale,noun,21,17,base
load,verb,20,17,base
fact,noun,19,17,base
task,noun,19,17,base
matter,verb,18,17,base
structure,noun,18,17,base
new,adjective,120,16,base
to,conjunction,85,16,base
shake,verb,34,16,base
fear,verb,31,16,base
faith,noun,25,16,base
gain,verb,23,16,base
happen,verb,21,16,base
mood,noun,20,16,base
stage,verb,20,16,base
charge,verb,19,16,base
sheet,noun,18,16,base
ball,noun,16,16,base
trait,noun,16,16,base
small,adjective,327,15,base
quick,adjective,101,15,base
long,adjective,67,15,base
bed,noun,36,15,base
fill,verb,31,15,base
flower,verb,31,15,base
tube,noun,28,15,base
job,noun,27,15,base
test,verb,26,15,base
insect,noun,25,15,base
gas,verb,22,15,base
supply,verb,21,15,base
bug,noun,20,15,base
limit,verb,20,15,base
code,verb,19,15,base
deal,verb,18,15,base
age,verb,17,15,base
focus,verb,16,15,base
member,noun,15,15,base
stuff,verb,15,15,base
high,adjective,73,14,base
join,verb,70,14,base
share,verb,56,14,base
with,preposition,37,14,base
catch,verb,32,14,base
breath,noun,29,14,base
spread,verb,28,14,base
call,verb,27,14,base
meat,noun,27,14,base
tell,verb,27,14,base
rock,verb,25,14,base
pass,verb,24,14,base
health,noun,22,14,base
run,verb,22,14,base
attack,verb,21,14,base
match,verb,19,14,base
class,noun,18,14,base
motion,noun,18,14,base
answer,verb,17,14,base
great,adjective,103,13,base
inside,adjective,54,13,base
law,noun,40,13,base
carry,verb,30,13,base
watch,verb,29,13,base
copy,verb,28,13,base
road,noun,27,13,base
game,verb,22,13,base
birth,noun,21,13,base
dirt,noun,21,13,base
fold,verb,21,13,base
ill,adjective,20,13,base
bear,verb,19,13,base
worry,verb,19,13,base
result,verb,18,13,base
design,verb,16,13,base
marriage,noun,16,13,base
handle,verb,15,13,base
period,noun,15,13,base
tone,verb,15,13,base
dish,verb,14,13,base
pot,noun,14,13,base
treat,verb,14,13,base
board,verb,13,13,base
craft,verb,13,13,base
effect,verb,13,13,base
hand,verb,45,12,base
feel,verb,35,12,base
bend,verb,32,12,base
foot,noun,30,12,base
cook,noun,29,12,base
sick,adjective,28,12,base
death,noun,27,12,base
car,noun,26,12,base
store,verb,26,12,base
learn,verb,24,12,base
pay,verb,24,12,base
more,adverb,22,12,base
leaf,noun,20,12,base
dog,noun,19,12,base
read,verb,19,12,base
sell,verb,19,12,base
trust,verb,19,12,base
want,verb,19,12,base
well,noun,19,12,base
worth,verb,18,12,base
example,noun,15,12,base
shell,noun,15,12,base
coat,verb,14,12,base
field,verb,14,12,base
interest,verb,14,12,base
sugar,noun,14,12,base
source,noun,13,12,base
individual,adjective,12,12,base
moment,noun,12,12,base
self,noun,47,11,base
secret,adjective,35,11,base
send,verb,34,11,base
bright,adjective,28,11,base
fat,adjective,26,11,base
muscle,noun,26,11,base
wave,verb,25,11,base
meet,verb,22,11,base
fish,verb,21,11,base
true,adjective,20,11,base
arrange,verb,19,11,base
poison,verb,19,11,base
honor,verb,18,11,base
string,verb,18,11,base
understand,verb,17,11,base
crowd,verb,16,11,base
drug,noun,16,11,base
energy,noun,16,11,base
bind,verb,15,11,base
enough,adjective,15,11,base
notice,verb,15,11,base
partner,noun,15,11,base
trouble,verb,15,11,base
blame,verb,14,11,base
desire,verb,14,11,base
fluid,adjective,14,11,base
hope,verb,14,11,base
aid,verb,13,11,base
cost,verb,13,11,base
bond,verb,12,11,base
effort,noun,12,11,base
organ,noun,12,11,base
frame,verb,11,11,base
same,adjective,65,10,base
deep,adjective,57,10,base
pull,verb,42,10,base
female,adjective,36,10,base
fix,verb,35,10,base
hurt,verb,33,10,base
complete,adjective,32,10,base
circle,verb,28,10,base
fall,verb,26,10,base
drive,verb,25,10,base
find,verb,25,10,base
gather,verb,25,10,base
strike,verb,23,10,base
fly,verb,22,10,base
teach,verb,22,10,base
allow,verb,21,10,base
ask,verb,21,10,base
center,verb,21,10,base
fun,adjective,20,10,base
heal,verb,19,10,base
judge,verb,19,10,base
letter,noun,19,10,base
ring,verb,19,10,base
mouth,verb,18,10,base
oil,verb,18,10,base
promise,verb,17,10,base
wall,noun,17,10,base
mass,noun,16,10,base
pipe,verb,16,10,base
ship,verb,15,10,base
smell,verb,15,10,base
swell,verb,15,10,base
now,conjunction,14,10,base
shift,verb,14,10,base
world,noun,14,10,base
direction,noun,13,10,base
rank,verb,12,10,base
crime,noun,11,10,base
text,verb,11,10,base
opinion,noun,10,10,base
pad,noun,10,10,base
problem,noun,10,10,base
big,adjective,121,9,base
put,verb,58,9,base
against,adjective,53,9,base
young,adjective,36,9,base
round,adjective,35,9,base
push,verb,33,9,base
burn,verb,32,9,base
rise,verb,27,9,base
throw,verb,27,9,base
less,noun,24,9,base
tree,noun,24,9,base
search,verb,22,9,base
whole,adjective,20,9,base
arm,verb,19,9,base
salt,noun,16,9,base
speed,verb,16,9,base
damage,verb,15,9,base
detail,verb,15,9,base
glow,verb,15,9,base
human,noun,15,9,base
fabric,noun,14,9,base
manage,verb,14,9,base
practice,verb,14,9,base
praise,verb,14,9,base
trick,verb,14,9,base
normal,adjective,13,9,base
print,verb,13,9,base
wing,verb,13,9,base
year,noun,13,9,base
goal,noun,12,9,base
anger,verb,11,9,base
at,preposition,11,9,base
blade,noun,11,9,base
carbon,noun,11,9,base
cry,verb,11,9,base
emotion,noun,11,9,base
seek,verb,11,9,base
shout,verb,11,9,base
term,noun,10,9,base
wish,verb,10,9,base
bit,verb,9,9,base
soft,adjective,73,8,base
bring,verb,55,8,base
earth,noun,40,8,base
sad,adjective,33,8,base
follow,verb,30,8,base
grow,verb,28,8,base
red,adjective,28,8,base
firm,adjective,22,8,base
lift,verb,22,8,base
god,noun,21,8,base
own,adjective,21,8,base
waste,verb,21,8,base
guess,verb,19,8,base
question,verb,18,8,base
release,verb,18,8,base
boat,verb,16,8,base
key,verb,16,8,base
bubble,verb,15,8,base
slide,verb,15,8,base
wheel,verb,15,8,base
sure,adjective,14,8,base
band,verb,13,8,base
farm,verb,13,8,base
method,noun,13,8,base
chain,verb,12,8,base
glass,noun,12,8,base
hunt,verb,12,8,base
label,verb,12,8,base
shade,verb,12,8,base
taste,verb,12,8,base
beauty,noun,11,8,base
listen,verb,11,8,base
pleasure,noun,11,8,base
polite,adjective,11,8,base
ride,verb,11,8,base
sex,noun,11,8,base
corner,noun,10,8,base
function,verb,10,8,base
particle,noun,10,8,base
price,verb,10,8,base
respect,verb,10,8,base
appear,verb,9,8,base
character,noun,9,8,base
distance,noun,9,8,base
race,verb,9,8,base
activity,noun,8,8,base
horn,noun,8,8,base
issue,verb,8,8,base
pack,verb,8,8,base
plate,noun,8,8,base
scale,verb,8,8,base
shield,noun,8,8,base
title,noun,8,8,base
free,adjective,44,7,base
sea,noun,41,7,base
flat,adjective,36,7,base
sleep,verb,36,7,base
after,preposition,34,7,base
wood,noun,34,7,base
twist,verb,33,7,base
wide,adjective,29,7,base
split,verb,21,7,base
guard,verb,19,7,base
quiet,adjective,18,7,base
burst,verb,17,7,base
smart,adjective,17,7,base
baby,noun,16,7,base
beat,verb,16,7,base
gun,verb,16,7,base
steady,adjective,16,7,base
wonder,verb,16,7,base
fair,adjective,15,7,base
peace,noun,15,7,base
pressure,noun,15,7,base
rest,verb,15,7,base
enter,verb,14,7,base
soak,verb,14,7,base
destroy,noun,13,7,base
buy,verb,12,7,base
connect,verb,12,7,base
display,verb,12,7,base
grain,noun,12,7,base
rain,verb,12,7,base
win,verb,12,7,base
bite,verb,11,7,base
hate,verb,11,7,base
shame,noun,11,7,base
team,noun,11,7,base
scent,noun,10,7,base
stress,verb,10,7,base
laugh,verb,9,7,base
soil,noun,9,7,base
acid,noun,8,7,base
beam,noun,8,7,base
cake,verb,8,7,base
cycle,verb,8,7,base
gap,noun,8,7,base
knife,noun,8,7,base
peak,verb,8,7,base
season,noun,8,7,base
trip,verb,8,7,base
tune,verb,8,7,base
compound,verb,7,7,base
grip,verb,7,7,base
hue,noun,7,7,base
murder,verb,7,7,base
of,preposition,45,6,base
calm,adjective,33,6,base
keep,verb,27,6,base
star,verb,22,6,base
wrap,verb,22,6,base
ear,noun,21,6,base
sweet,adjective,21,6,base
wear,verb,20,6,base
last,adjective,19,6,base
night,noun,19,6,base
confuse,verb,18,6,base
jump,verb,18,6,base
tie,verb,18,6,base
germ,noun,17,6,base
straight,adjective,17,6,base
hear,verb,15,6,base
reach,verb,15,6,base
throat,noun,15,6,base
bread,noun,14,6,base
proud,adjective,14,6,base
solid,adjective,14,6,base
bold,adjective,13,6,base
future,adjective,13,6,base
mad,adjective,13,6,base
map,verb,13,6,base
spend,verb,13,6,base
charm,verb,12,6,base
city,noun,12,6,base
tissue,noun,12,6,base
urge,verb,12,6,base
bar,verb,11,6,base
breathe,verb,11,6,base
fruit,noun,11,6,base
have,verb,11,6,base
into,preposition,11,6,base
language,noun,11,6,base
satisfy,verb,11,6,base
sorrow,noun,11,6,base
strip,verb,11,6,base
doubt,verb,10,6,base
journey,noun,10,6,base
shelter,verb,10,6,base
stream,verb,10,6,base
suit,verb,10,6,base
vessel,noun,10,6,base
dress,verb,9,6,base
favor,noun,9,6,base
feed,verb,9,6,base
floor,noun,9,6,base
scare,verb,9,6,base
shop,verb,9,6,base
sing,verb,9,6,base
about,preposition,8,6,base
camera,noun,8,6,base
capture,verb,8,6,base
chamber,noun,8,6,base
course,noun,8,6,base
document,verb,8,6,base
guilt,noun,8,6,base
pattern,noun,8,6,base
please,adverb,8,6,base
spell,verb,8,6,base
stitch,verb,8,6,base
aim,verb,7,6,base
bump,verb,7,6,base
cap,verb,7,6,base
flavor,verb,7,6,base
grasp,verb,7,6,base
juice,verb,7,6,base
luck,noun,7,6,base
pile,verb,7,6,base
pole,noun,7,6,base
range,verb,7,6,base
spouse,noun,7,6,base
spray,verb,7,6,base
stable,adjective,7,6,base
alcohol,noun,6,6,base
approve,verb,6,6,base
arrive,verb,6,6,base
bunch,noun,6,6,base
duty,noun,6,6,base
element,noun,6,6,base
feature,verb,6,6,base
fuel,verb,6,6,base
gene,noun,6,6,base
instrument,noun,6,6,base
limb,noun,6,6,base
meter,noun,6,6,base
program,verb,6,6,base
purpose,noun,6,6,base
rate,verb,6,6,base
role,noun,6,6,base
root,verb,6,6,base
strap,noun,6,6,base
surgery,noun,6,6,base
before,conjunction,74,5,base
eye,verb,53,5,base
loud,adjective,49,5,base
thin,adjective,49,5,base
blood,noun,44,5,base
far,adjective,40,5,base
repeat,verb,34,5,base
add,verb,27,5,base
come,verb,27,5,base
holy,adjective,26,5,base
warm,adjective,26,5,base
music,noun,25,5,base
curve,verb,22,5,base
mess,verb,22,5,base
reduce,verb,22,5,base
lose,verb,18,5,base
male,adjective,18,5,base
weak,adjective,18,5,base
medicine,noun,17,5,base
pure,adjective,17,5,base
school,noun,17,5,base
shock,verb,16,5,base
10^3,value,15,5,base
across,preposition,15,5,base
dirty,adjective,15,5,base
press,verb,15,5,base
grass,noun,14,5,base
try,verb,13,5,base
war,verb,13,5,base
wise,adjective,13,5,base
data,noun,12,5,base
magic,noun,12,5,base
other,adjective,12,5,base
model,verb,11,5,base
pick,verb,11,5,base
still,adjective,11,5,base
vote,verb,11,5,base
battle,verb,10,5,base
mist,noun,10,5,base
religion,noun,10,5,base
shoot,interjection,10,5,base
brief,adjective,9,5,base
explain,verb,9,5,base
location,noun,9,5,base
post,verb,9,5,base
scene,noun,9,5,base
track,verb,9,5,base
vision,noun,9,5,base
cart,noun,8,5,base
girl,noun,8,5,base
receive,verb,8,5,base
regret,verb,8,5,base
serve,verb,8,5,base
ahead,adjective,7,5,base
atom,noun,7,5,base
cast,verb,7,5,base
chart,verb,7,5,base
culture,noun,7,5,base
gear,verb,7,5,base
knot,noun,7,5,base
standard,adjective,7,5,base
storm,verb,7,5,base
stretch,verb,7,5,base
bow,noun,6,5,base
infect,verb,6,5,base
parent,noun,6,5,base
platform,noun,6,5,base
version,noun,6,5,base
along,preposition,5,5,base
benefit,verb,5,5,base
conduct,verb,5,5,base
cushion,noun,5,5,base
deed,noun,5,5,base
fund,verb,5,5,base
glance,noun,5,5,base
lady,noun,5,5,base
mound,noun,5,5,base
odor,noun,5,5,base
panel,noun,5,5,base
rage,verb,5,5,base
rod,noun,5,5,base
shirt,noun,5,5,base
talent,noun,5,5,base
many,adjective,80,4,base
sun,noun,59,4,base
under,adjective,58,4,base
without,preposition,50,4,base
slow,adjective,28,4,base
raise,verb,27,4,base
wet,adjective,27,4,base
beyond,adjective,26,4,base
smooth,adjective,25,4,base
near,adjective,23,4,base
cold,adjective,22,4,base
increase,verb,22,4,base
trade,verb,21,4,base
fine,adjective,20,4,base
above,adjective,19,4,base
begin,verb,19,4,base
front,noun,18,4,base
brain,noun,17,4,base
gentle,adjective,17,4,base
family,noun,16,4,base
nice,adjective,16,4,base
horse,verb,15,4,base
past,verb,14,4,base
choose,verb,13,4,base
risk,verb,13,4,base
bottom,adjective,12,4,base
net,verb,11,4,base
pair,verb,11,4,base
tire,verb,11,4,base
accept,verb,10,4,base
alone,adjective,10,4,base
wait,verb,10,4,base
web,noun,10,4,base
blend,verb,9,4,base
dream,verb,9,4,base
gland,noun,9,4,base
joke,verb,9,4,base
possible,adjective,9,4,base
roll,verb,9,4,base
route,verb,9,4,base
snow,verb,9,4,base
sword,noun,9,4,base
usual,adjective,9,4,base
cup,noun,8,4,base
fog,verb,8,4,base
gut,noun,8,4,base
hill,noun,8,4,base
region,noun,8,4,base
rope,verb,8,4,base
struggle,verb,8,4,base
success,noun,8,4,base
suffer,verb,8,4,base
thief,noun,8,4,base
train,verb,8,4,base
argue,verb,7,4,base
country,noun,7,4,base
exchange,verb,7,4,base
fashion,noun,7,4,base
flame,verb,7,4,base
response,noun,7,4,base
seal,verb,7,4,base
slice,verb,7,4,base
table,noun,7,4,base
town,noun,7,4,base
width,noun,7,4,base
will,verb,7,4,base
bowl,noun,6,4,base
cat,noun,6,4,base
challenge,verb,6,4,base
clash,noun,6,4,base
command,verb,6,4,base
depend,verb,6,4,base
foam,noun,6,4,base
fool,noun,6,4,base
include,verb,6,4,base
option,noun,6,4,base
paint,verb,6,4,base
party,verb,6,4,base
perform,verb,6,4,base
reptile,noun,6,4,base
rhythm,noun,6,4,base
screen,verb,6,4,base
site,noun,6,4,base
situation,noun,6,4,base
snack,noun,6,4,base
tap,noun,6,4,base
wander,verb,6,4,base
boy,noun,5,4,base
fee,noun,5,4,base
gauge,noun,5,4,base
here,noun,5,4,base
loyal,adjective,5,4,base
mate,noun,5,4,base
moisture,noun,5,4,base
