word,kind,described,traits,name,why
Ligularia,genus,"Tall herb of wet alpine meadow and stream side. Huge kidney-shaped basal leaves as wide as a plate on long stalks, then a tall torch of bright yellow daisy heads whose ray florets are long narrow straps. Root boiled for cough. First thing seen: round leaves at the ground, yellow torch above.","strap ray floret; huge round basal leaf; yellow spike; wet alpine meadow; cough root","tongue + flower","The Latin ligula is a little tongue and names the strap ray, which is the one trait true of every species and visible on meeting it."
Indigofera,genus,"Legume shrub or herb with pinnate leaves, spikes of small pink-purple pea flowers and slender pods. The leaves ferment to a deep blue, and this is the plant that dyed the world's cloth blue for three thousand years.","blue dye from leaves; pea flower; pinnate leaf; shrub","blue + dye","Latin indigo-bearing and Chinese wood blue say the same thing. The plant is not blue, it MAKES blue, so dye carries the sense that colour alone would lose."
Plagiochila,genus,"Leafy liverwort of wet shaded forest, growing on bark and rock in flat overlapping feathery mats, translucent green, each shoot a double row of round toothed leaves like a feather laid flat.","feather-flat shoot; overlapping leaves; wet shade; bark and rock; translucent green","feather + moss","The Chinese calls it feather moss and that is exactly what the mats look like. Minimal, and a person meeting it would guess it."
Viburnum,genus,"Shrub with opposite pleated strongly veined leaves, a flat white plate of flowers often ringed with larger sterile ones, then clusters of red or black berries. Straight young shoots were cut for arrow shafts, which is where the English name comes from.","flat white flower plate; red berry; opposite pleated leaf; straight shoots for arrows","arrow + wood","Flat white cyme and red drupe are shared with too many shrubs. The straight arrow shoot is a use, is what English already calls it, and is what matters to someone who needs a shaft."
Saussurea,genus,"Alpine thistle of high stony ground, wrapped in dense white wool, the snow lotus swaddled in translucent woolly bracts that trap the sun's heat at altitude. Purple thistle heads buried in the wool.","dense white wool; alpine and high stony; thistle head; bracts trapping heat","wool + thistle","Chinese wind-hair points at the same wool. Wool separates it from every other thistle, and it is the first thing a hand feels."
Scrophularia,genus,"Square-stemmed herb with opposite leaves and small dull maroon-brown pitcher flowers that wasps work. Rank smell when bruised. The dark tuberous root is dug for fever and swelling.","square stem; small brown helmet flower; rank smell; dark medicinal tuber","dark + root","Chinese xuan shen is dark root, and the root is the whole reason the plant is known and gathered. The flowers are too dull to name it by."
Begonia,genus,"Fleshy translucent jointed stem, and a leaf that is plainly LOPSIDED, one half larger than the other, often silver-marked or red beneath. Pink or white flowers, winged triangular seed cases. The stem is sharply sour and is eaten as a sour vegetable.","lopsided asymmetric leaf; fleshy jointed stem; sour juice; winged seed case","crooked + leaf","The unequal leaf is unique in the whole flora and is the first thing anyone notices. Nothing else needs saying."
Aralia,genus,"Stout prickly stem carrying the largest compound leaves in the temperate wood, with a frothy head of tiny white flowers and black berries. The young spring shoot is cut and eaten before the prickles harden.","thick prickly stem; enormous compound leaf; edible spring shoot; white froth of flowers","thorn + shoot","Chinese song mu is thorn tree. Thorn alone fits too many shrubs, so the edible shoot is added, which is also why people go to it."
Gastrodia,genus,"An orchid with no leaves and no green at all, living on the fungus in the forest floor. A bare brown or straw stalk pushes up carrying dull tubular flowers, then dies back. The underground tuber is dug for headache and dizziness.","no leaves, no green; bare stalk; feeds on fungus; tuber for headache","bare + orchid","Leaflessness is total and is the first thing seen, a stalk standing with nothing on it. No other orchid here is bare."
Deyeuxia,genus,"Tufted perennial grass of damp meadow and hillside, with a fine feathery flower head and a tuft of long hairs at the base of each floret, standing shorter than a true reed.","tufted; feathery panicle; hairs at floret base; damp meadow; reed-like but small","small + reed","English already calls the group small-reed. Two parts, true of the genus, and it places the plant beside the reed it resembles."
