term,occurrences,round,why
stank,0,0,an element rides on it
synthetic,0,0,an element rides on it
cloak,0,0,an element rides on it
permeable,0,0,an element rides on it
rainbow,0,0,an element rides on it
vibrant,0,0,an element rides on it
crown,0,0,an element rides on it
naked,0,0,an element rides on it
pioneer,0,0,an element rides on it
bristly,12301,1,the taxonomy asks for it
sedge,10112,1,the taxonomy asks for it
tadpole,5993,1,the taxonomy asks for it
millet,5850,1,the taxonomy asks for it
ripening,5836,1,the taxonomy asks for it
willow,5420,1,the taxonomy asks for it
punctuated,5330,1,the taxonomy asks for it
first,5276,1,the taxonomy asks for it
variegated,5078,1,the taxonomy asks for it
gadfly,5035,1,the taxonomy asks for it
blond,4850,1,the taxonomy asks for it
verdant,4444,1,the taxonomy asks for it
equipped,4417,1,the taxonomy asks for it
galingale,4329,1,the taxonomy asks for it
triangular,4188,1,the taxonomy asks for it
rejoiced,4067,1,the taxonomy asks for it
unexpected,3813,1,the taxonomy asks for it
eugenia,3790,1,the taxonomy asks for it
californian,3732,1,the taxonomy asks for it
visible,3694,1,the taxonomy asks for it
venus,3506,1,the taxonomy asks for it
sylvan,3502,1,the taxonomy asks for it
peperomia,3280,1,the taxonomy asks for it
deceptive,3091,1,the taxonomy asks for it
gilded,2973,1,the taxonomy asks for it
dissected,2899,1,the taxonomy asks for it
circular,2873,1,the taxonomy asks for it
plum,2854,1,the taxonomy asks for it
weevil,2823,1,the taxonomy asks for it
spherical,2797,1,the taxonomy asks for it
elliptical,2795,1,the taxonomy asks for it
houseleek,2760,1,the taxonomy asks for it
formosan,2695,1,the taxonomy asks for it
bald,2683,1,the taxonomy asks for it
sorrel,2638,1,the taxonomy asks for it
oblique,2544,1,the taxonomy asks for it
fibrous,2543,1,the taxonomy asks for it
cicada,2542,1,the taxonomy asks for it
starry,2534,1,the taxonomy asks for it
vetch,2385,1,the taxonomy asks for it
cylindrical,2292,1,the taxonomy asks for it
aristocrat,2284,1,the taxonomy asks for it
bristle,2230,1,the taxonomy asks for it
thyme,2221,1,the taxonomy asks for it
testicle,2198,1,the taxonomy asks for it
bent,2197,1,the taxonomy asks for it
turban,2161,1,the taxonomy asks for it
pearl,2149,1,the taxonomy asks for it
muddy,2126,1,the taxonomy asks for it
saffron,2028,1,the taxonomy asks for it
coloured,1996,2,the taxonomy asks for it
scaly,1986,2,the taxonomy asks for it
helmet,1983,2,the taxonomy asks for it
canadian,1973,2,the taxonomy asks for it
radiated,1943,2,the taxonomy asks for it
caught,1888,2,the taxonomy asks for it
nearby,1846,2,the taxonomy asks for it
spindle,1833,2,the taxonomy asks for it
basket,1825,2,the taxonomy asks for it
unequal,1815,2,the taxonomy asks for it
asiatic,1801,2,the taxonomy asks for it
glorious,1776,2,the taxonomy asks for it
scurfy,1735,2,the taxonomy asks for it
privet,1716,2,the taxonomy asks for it
blanching,1704,2,the taxonomy asks for it
mullein,1702,2,the taxonomy asks for it
double,1682,2,the taxonomy asks for it
javan,1651,2,the taxonomy asks for it
sown,1642,2,the taxonomy asks for it
argentinian,1638,2,the taxonomy asks for it
wooly,1637,2,the taxonomy asks for it
inclined,1602,2,the taxonomy asks for it
goddess,1587,2,the taxonomy asks for it
edible,1566,2,the taxonomy asks for it
fiery,1542,2,the taxonomy asks for it
toad,1531,2,the taxonomy asks for it
abyssinian,1504,2,the taxonomy asks for it
prostrated,1500,2,the taxonomy asks for it
barbel,1483,2,the taxonomy asks for it
orach,1469,2,the taxonomy asks for it
hedgehog,1466,2,the taxonomy asks for it
sinewy,1450,2,the taxonomy asks for it
transverse,1450,2,the taxonomy asks for it
meadowrue,1427,2,the taxonomy asks for it
erebus,1422,2,the taxonomy asks for it
vermilion,1419,2,the taxonomy asks for it
nape,1404,2,the taxonomy asks for it
crenulate,1376,2,the taxonomy asks for it
half,1372,2,the taxonomy asks for it
myrtle,1364,2,the taxonomy asks for it
entangled,1361,2,the taxonomy asks for it
italy,1343,2,the taxonomy asks for it
perfumed,1341,2,the taxonomy asks for it
pyramidal,1323,2,the taxonomy asks for it
broom,1302,2,the taxonomy asks for it
earliest,1300,2,the taxonomy asks for it
valerian,1290,2,the taxonomy asks for it
humerus,1288,2,the taxonomy asks for it
nodding,1286,2,the taxonomy asks for it
bidentate,1284,2,the taxonomy asks for it
unstained,1279,3,the taxonomy asks for it
osmium,1275,3,the taxonomy asks for it
ivory,1275,3,the taxonomy asks for it
woodlouse,1270,3,the taxonomy asks for it
sicilian,1268,3,the taxonomy asks for it
unknown,1238,3,the taxonomy asks for it
funereal,1202,3,the taxonomy asks for it
curtailed,1194,3,the taxonomy asks for it
currant,1184,3,the taxonomy asks for it
guiana,1181,3,the taxonomy asks for it
second,1179,3,the taxonomy asks for it
charcoal,1177,3,the taxonomy asks for it
