element,concept,held
hydrogen,water,yes
helium,sun,yes
lithium,stone,yes
beryllium,precious,yes
boron,bone,yes
carbon,life,yes
nitrogen,plant,yes
oxygen,breath,yes
fluorine,tooth,yes
neon,tube,yes
sodium,salt,yes
magnesium,ancient,yes
aluminum,shine,yes
silicon,sand,yes
phosphorous,light,yes
sulfur,stank,yes
chlorine,green,yes
argon,slow,yes
potassium,ash,yes
calcium,nerve,yes
scandium,soft,yes
titanium,strength,yes
vanadium,beauty,yes
chromium,color,yes
manganese,magnificent,yes
iron,metal,yes
cobalt,ring,yes
nickel,white,yes
copper,message,yes
zincbrittle,atom,yes
gallium,bird,yes
germanium,cave,yes
arsenic,poison,yes
selenium,moon,yes
bromine,ocean,yes
krypton,hidden,yes
rubidium,red,yes
strontium,burst,yes
yttrium,bulb,yes
zirconium,opaque,yes
niobium,snowy,yes
molybdenum,dark,yes
technetium,synthetic,yes
ruthenium,still,yes
rhodium,flower,yes
palladium,wise,yes
silver,mirror,yes
cadmium,source,yes
indium,ghost,yes
tin,cloak,yes
antimony,paint,yes
tellurium,earth,yes
xenon,alien,yes
caesium,sky,yes
barium,heavy,yes
lanthanum,air,yes
cerium,food,yes
praseodymium,wind,yes
neodymium,magnet,yes
promethium,fire,yes
samarium,power,yes
europium,screen,yes
gadolinium,seeker,yes
terbium,glow,yes
holmium,permeable,yes
erbium,glass,yes
thulium,beyond,yes
ytterbium,memory,yes
lutetium,swamp,yes
hafnium,tool,yes
tantalum,electric,yes
tungsten,wolf,yes
rhenium,river,yes
osmium,wing,yes
iridium,rainbow,yes
platinum,vibrant,yes
gold,crown,yes
mercury,liquid,yes
thallium,stick,yes
lead,death,yes
bismuth,shadow,yes
polonium,shaky,yes
astatine,quick,yes
radon,trace,yes
francium,loose,yes
radium,beam,yes
actinium,sparkle,yes
thorium,thunder,yes
protactinium,sealed,yes
uranium,break,yes
neptunium,wash,yes
plutonium,far,yes
americium,smoke,yes
curium,cheer,yes
berkelium,bright,yes
californium,naked,yes
einsteinium,smart,yes
fermium,rare,yes
mendelevium,pioneer,yes
nobelium,prize,yes
lawrencium,open,yes
rutherfordium,structure,yes
dubnium,race,yes
seaborgium,force,yes
bohrium,deep,yes
hassium,fresh,yes
meitnerium,merged,yes
darmstadtium,birth,yes
roentgenium,sight,yes
copernicium,center,yes
nihonium,danger,yes
flerovium,cloud,yes
moscovium,heart,yes
livermorium,host,yes
tennessine,grand,yes
oganesson,fusion,yes
