term,occurrences
hammerhead shark,4679
fig tree,4375
holm oak,3898
centaurea centaurium,3557
set aside,3417
having cilia,3361
made pointed,2428
somewhat long,2268
chaste tree,2183
marsh mallow,1596
iron hoop,1594
yellow ochre,1250
stinging nettle,1060
longhorn beetle,936
thick-skinned,759
sambuca player,719
to inhabit,660
sow thistle,649
to snarl,595
birch tree,588
coal black,577
beech tree,571
sessile-leafed,563
spinning top,519
sri lanka,516
snub-nosed,457
citron tree,427
panther-like,419
bean trefoil,398
household slave,383
platysma muscle,355
adriatic sea,318
grey mullet,316
wooden hayrack,308
bow-legged,286
strawberry tree,286
bas relief,279
sororal niece,268
yoked-together,248
merchant ship,230
sororal nephew,225
ox-eye daisy,224
ursa major,221
moray eel,212
having stipulated,204
to devour,200
cherry tree,199
red mullet,192
olive oil,184
ad unguem,172
curb chain,170
lookout place,166
olive pomace,161
wattled twigs,160
tallow candle,159
to endow,157
allis shad,157
fallow-land,155
bent outwards,143
pudendum muliebre,141
negros island,141
somewhat hairy,139
wild boar,133
pomegranate-peel,132
finest wool,122
winter solstice,113
myrobalan fruit,112
threshing floor,109
celestial phenomena,109
newborn lamb,106
somewhat obscure,106
to bray,105
mattock-shaped,105
propped up,98
castrated he-goat,97
codling moth,95
urn-bearing,91
sheepskin coat,89
northwestern wind,78
conger eel,78
pomace wine,77
reefing rope,77
olive grove,74
mount oneum,70
half-boot,70
fatty poultice,68
to wrestle,67
canary-colored,67
freedom,66
marl,65
einkorn wheat,65
sieve,65
rhodopis,65
elisabeth,65
indefinite,65
copernicium,65
styloglossal,65
necklace,65
clypeus,64
medea,64
gorgias,64
iphitus,64
lamachus,64
thisbe,64
lying,64
geryon,64
ordinal,64
strigil,63
stonecutter,63
sixth,63
dormouse,63
cyclopia,63
niobium,63
sturgeon,63
eetion,63
inelegant,63
aqueduct,63
anise,62
crystalline rock,62
basilica,62
talus,62
razor,62
nausicaa,62
pirene,61
decision,61
induction,61
deianira,61
mite,60
loosening,60
chaff,60
mulberry tree,60
pedicular,60
sicanian,60
yoked together,60
euboean,60
troy,60
nero,60
geneva,60
equipment,59
budding,59
ibycus,59
gravel,59
forgetfulness,59
argon,59
amoy,59
mandrake,59
application,59
renewed,59
ixion,58
silenus,58
phormio,58
unprepared,58
epidemic diseases,58
apostate,58
paches,57
black mulberry,57
caesar,57
sirius,57
euboea,57
sappho,57
incomparable,57
limnetic,57
creusa,57
epaphus,56
small patchwork,56
iapetus,56
slate-colored,56
sarpedon,56
ascanius,56
terrace,56
expectation [homer],55
depilated,55
haiti,55
aegina,55
seraph,55
larissa,55
bugle,55
enervated,55
cumin,54
unfortunate,54
padan,54
xyston,54
briareus,54
pactolus,54
orchard,54
quadrilateral,54
chariot,54
arsaces,54
persia,53
gracious,53
sistrum,53
seventh,53
narcissus,53
hoopoe,53
hastening,53
coriander,53
archon,53
heterogeneous,53
dicebox,53
to appease,52
ibiza,52
midas,52
licorice root,52
withe,52
wheresoever,52
leguminous,52
pelias,52
castigated,52
eclipse,52
copied,52
desperate,52
irrational,52
proetus,51
raetia,51
hemispherical,51
coccyx,51
first phalanx,51
somniferous,51
wherever,51
daedalus,51
theseus,51
tiro,50
battus,50
merope,50
unwavering,50
mildew,50
abscissa,50
placed underneath,50
semicircle,50
ohio,49
barak,49
-headed,49
delos,49
freckles,49
al-andalus,49
pandarus,49
euphemia,49
ganymede,49
stimulating,49
abundance,49
caligula,49
noah,48
crito,48
neighbour,48
mustard,48
reclining,48
circumcised,48
antecedent,48
aegean,48
sporadic,48
ginger,48
naval,48
kestrel,48
scabbard,48
potter,48
thought,48
begun,48
chalcedon,48
engraver,48
andros,47
dirce,47
cunningly wrought,47
lawrencium,47
tragic,47
destined,46
hard-berried,46
dyed twice,46
consus,46
priam,46
subdivided,46
diarrhea,46
pelasgian,46
ostrich,45
fourth,45
memnon,45
doric,45
amphion,45
led astray,45
acrobat,45
bactrian,45
repurchased,45
capitation tax,45
singus,44
louse,44
turku,44
burn blister,44
temenus,44
titanium,44
augmented,44
prodicus,44
vagabond,44
hephaestion,44
dislocated,44
murderess,44
mandane,44
emesa,43
lod,43
hyrcania,43
galician,43
pittheus,43
frigg,43
viennese,43
aeolic,43
cimbric,43
larian,43
kettle,43
-bearing,42
upwards,42
dried fig,42
river usk,42
netted,42
ellipsis,42
levana,42
drachma,42
pylae,42
imitable,42
piratical,42
parallelogram,42
vermiferous,42
sanctified,42
unharmed,42
olen,41
pheia,41
marsyas,41
polybius,41
flowingly,41
varnish,41
husband,41
phoenicia,41
timasion,41
rebounding,41
holmium,41
semiramis,41
catarrh,41
andromache,41
arpi,41
armed gurnard,40
equilateral,40
athamas,40
ismenias,40
distrusting,40
thyrsus-bearing,40
mysia,40
argos,40
astringent,40
victorious,40
egret,39
barley porridge,39
tellurium,39
to prune,39
bactria,39
parietal,39
acrostic,39
to skirmish,39
etruria,39
dionysus,39
buttock,38
forthwith,38
unwritten,38
turan,38
isaiah,38
hundred,38
aristaeus,38
small chimpanzee,38
putrefying,38
falcon,38
ballista,38
hyoid,38
pelopidas,38
stilts,37
semiotics,37
machaon,37
upbringing,37
hephaestus,37
impious,37
bastardy,37
trident-bearing,37
orthodox,37
purification,37
prow,36
quiver,36
dromedary,36
maidenhair fern,36
resinous pinewood,36
thasos,36
turpentine,36
laos,36
thyestes,36
shortsightedness,36
patroclus,36
minoan civilization,36
ashkelon,36
abraham,36
sent,36
ate up,35
vat,35
emanation,35
fornicator,35
stirrup,35
procne,35
puppy,35
dental caries,35
european bison,35
deiphobus,35
articular,35
unfaithful,35
philae,35
brutal outrage,34
indolent,34
suda,34
for sale,34
unstable,34
myronides,34
aeolis,34
impostor,34
dialectics,34
parallax,34
bartholomew,34
damocles,34
juba,34
minotaur,34
rügen,33
melinoe,33
forborne,33
cottage,33
parthian,33
ithaca,33
beneficent,33
pruned,33
fifth,33
purged,33
sirona,33
glorification,33
elean,33
thynia,33
besmeared,33
jordanian,33
galilean,33
undefined,33
messala,33
alcyone,33
erotic,33
clary sage,33
campania,33
phineus,33
mason,33
serapis,33
nova,32
thyrsus,32
vinegar,32
peleus,32
see lemma,32
strangulation,32
gaius,32
gallium,32
pumice,32
catulus,32
carried forth,32
corsican,32
mindarus,32
cilician woman,32
calpurnia,32
paved,32
acidophilic,32
truthful,32
themis,31
when?,31
