term,uses,head
restore,1507,0
covering,674,0
evening,428,0
beer,318,0
opening,298,0
coral,122,0
linen,121,0
butter,69,0
shallow,44,0
gravity,39,0
multiple,33,0
willing,29,0
strange,26,0
sincere,25,0
extra,24,0
fake,21,0
summon,18,0
common,16,0
vary,15,0
universal,12,0
dull,9,0
rear,9,0
cow,8,0
total,8,0
bury,7,0
flex,7,0
rebel,7,0
slant,7,0
declare,7,0
ideal,7,0
practical,7,0
anti,6,0
intense,6,0
royal,6,0
swing,6,0
tough,6,0
defeat,6,0
ow,6,0
gulp,5,0
repair,5,0
sly,5,0
soothe,5,0
spit,5,0
tilt,5,0
leisure,5,0
spar,5,0
blast,4,0
cheat,4,0
confirm,4,0
discuss,4,0
dual,4,0
filter,4,0
humble,4,0
immune,4,0
internal,4,0
require,4,0
slippery,4,0
sneak,4,0
splash,4,0
stubborn,4,0
urgent,4,0
visual,4,0
wake,4,0
weird,4,0
society,4,0
survive,4,0
aggressive,4,0
certificate,4,0
jealous,4,0
squat,4,0
chin,4,0
chlorine,4,0
compel,4,0
emphasis,4,0
import,4,0
prose,4,0
alert,3,0
allure,3,0
amuse,3,0
automatic,3,0
betray,3,0
buzz,3,0
cautious,3,0
central,3,0
constant,3,0
curious,3,0
curl,3,0
dare,3,0
diplomatic,3,0
drag,3,0
dummy,3,0
encourage,3,0
external,3,0
flip,3,0
hog,3,0
isolate,3,0
lazy,3,0
lineage,3,0
mutual,3,0
navy,3,0
noon,3,0
plead,3,0
punish,3,0
reckless,3,0
rescue,3,0
secure,3,0
smash,3,0
spike,3,0
steep,3,0
stiff,3,0
sway,3,0
tangle,3,0
theater,3,0
predict,3,0
seductive,3,0
admire,3,0
circuit,3,0
designate,3,0
howl,3,0
poetry,3,0
abundant,2,0
adequate,2,0
ally,2,0
appendix,2,0
barren,2,0
belt,2,0
bob,2,0
bull,2,0
cable,2,0
calendar,2,0
clap,2,0
clumsy,2,0
community,2,0
cozy,2,0
crease,2,0
cute,2,0
define,2,0
defy,2,0
delight,2,0
devote,2,0
disappoint,2,0
embryo,2,0
engage,2,0
entire,2,0
exercise,2,0
explode,2,0
fierce,2,0
foul,2,0
gesture,2,0
gloom,2,0
grid,2,0
grill,2,0
guarantee,2,0
hasty,2,0
hip,2,0
idol,2,0
inform,2,0
kept,2,0
knight,2,0
knit,2,0
lemon,2,0
luggage,2,0
minor,2,0
nipple,2,0
passage,2,0
population,2,0
prefer,2,0
quit,2,0
reproduce,2,0
research,2,0
review,2,0
scrape,2,0
shoulder,2,0
shy,2,0
skip,2,0
sleeve,2,0
snap,2,0
spy,2,0
stew,2,0
strategy,2,0
strut,2,0
superior,2,0
switch,2,0
toxic,2,0
trash,2,0
unique,2,0
unravel,2,0
vertical,2,0
waist,2,0
wiggle,2,0
wrist,2,0
yard,2,0
broth,2,0
confident,2,0
contempt,2,0
convey,2,0
gratitude,2,0
recommend,2,0
absurd,1,0
adhesive,1,0
adventure,1,0
altitude,1,0
appreciate,1,0
arena,1,0
arrogant,1,0
arson,1,0
atmosphere,1,0
attend,1,0
aversion,1,0
await,1,0
awful,1,0
balloon,1,0
beneath,1,0
bid,1,0
blot,1,0
bonus,1,0
borrow,1,0
brag,1,0
bruise,1,0
burp,1,0
burrow,1,0
casual,1,0
caution,1,0
celebrate,1,0
chaotic,1,0
char,1,0
choir,1,0
choke,1,0
chronic,1,0
clamp,1,0
clan,1,0
clatter,1,0
claw,1,0
clot,1,0
cluster,1,0
cob,1,0
cock,1,0
college,1,0
colon,1,0
combat,1,0
compete,1,0
compress,1,0
condemn,1,0
confess,1,0
confine,1,0
consent,1,0
contaminate,1,0
council,1,0
crimson,1,0
crucial,1,0
crude,1,0
cunning,1,0
dandy,1,0
dangle,1,0
daze,1,0
decline,1,0
dedicate,1,0
defend,1,0
definite,1,0
delegate,1,0
deliver,1,0
demonstrate,1,0
describe,1,0
deserve,1,0
diligent,1,0
disguise,1,0
dispatch,1,0
disrupt,1,0
district,1,0
divorce,1,0
dizzy,1,0
donate,1,0
drool,1,0
dumpling,1,0
enthusiastic,1,0
exceed,1,0
exclusive,1,0
feces,1,0
fizz,1,0
flair,1,0
flake,1,0
fluff,1,0
font,1,0
fortunate,1,0
fragile,1,0
frog,1,0
frown,1,0
fumble,1,0
global,1,0
gloss,1,0
gossip,1,0
gourd,1,0
greed,1,0
groove,1,0
grumpy,1,0
heir,1,0
helm,1,0
heritage,1,0
horizontal,1,0
hospital,1,0
inflate,1,0
initiate,1,0
inquisitive,1,0
instant,1,0
interfere,1,0
intestine,1,0
jumbo,1,0
larva,1,0
legend,1,0
lewd,1,0
library,1,0
license,1,0
limp,1,0
linger,1,0
liquor,1,0
lone,1,0
maintain,1,0
mammal,1,0
mechanic,1,0
mechanism,1,0
meditate,1,0
mild,1,0
mint,1,0
missile,1,0
mobile,1,0
mope,1,0
mourn,1,0
mucus,1,0
naive,1,0
naughty,1,0
nuisance,1,0
obsess,1,0
offend,1,0
orbit,1,0
pamper,1,0
pant,1,0
park,1,0
pea,1,0
permit,1,0
pimple,1,0
planet,1,0
plump,1,0
police,1,0
poll,1,0
privilege,1,0
prohibit,1,0
prominent,1,0
pupil,1,0
quill,1,0
racket,1,0
raid,1,0
remote,1,0
renounce,1,0
resource,1,0
respond,1,0
retaliate,1,0
reveal,1,0
revise,1,0
rodent,1,0
rowdy,1,0
saliva,1,0
sanitary,1,0
sap,1,0
satire,1,0
scandal,1,0
schedule,1,0
score,1,0
scorn,1,0
severe,1,0
sewage,1,0
shack,1,0
shred,1,0
shun,1,0
signature,1,0
slogan,1,0
snob,1,0
snoop,1,0
snort,1,0
snot,1,0
snug,1,0
solo,1,0
soup,1,0
spectrum,1,0
sperm,1,0
spite,1,0
spontaneous,1,0
squash,1,0
squeak,1,0
squirm,1,0
stamp,1,0
stray,1,0
stumble,1,0
sue,1,0
suppress,1,0
sympathy,1,0
ticket,1,0
timber,1,0
trench,1,0
trinket,1,0
tumble,1,0
tunnel,1,0
twirl,1,0
vapor,1,0
velocity,1,0
vent,1,0
video,1,0
vintage,1,0
vital,1,0
vivid,1,0
voltage,1,0
whim,1,0
whimsical,1,0
whine,1,0
wobble,1,0
bait,1,0
coincide,1,0
cooperate,1,0
geometry,1,0
groin,1,0
hormone,1,0
hydrogen,1,0
intervene,1,0
refute,1,0
regulate,1,0
ridicule,1,0
singular,1,0
zinc,1,0
10^15,0,0
10^18,0,0
10^21,0,0
10^30,0,0
10^36,0,0
10^39,0,0
10^48,0,0
abort,0,0
absent,0,0
abstract,0,0
abyss,0,0
academy,0,0
accommodate,0,0
accompany,0,0
accord,0,0
accumulate,0,0
accurate,0,0
ace,0,0
acre,0,0
acute,0,0
