term,occurrences,missing
"peak amplitude",13467,"amplitude"
"river delta",5481,"delta"
"hammerhead shark",4679,"hammerhead"
"holm oak",4040,"holm"
"half-",3978,"half"
"super-",3628,""
"set aside",3410,"aside"
"having cilia",3361,"cilia"
"art nouveau",3351,"nouveau"
"nominal number",3076,"nominal"
"sub-",2622,"sub"
"qi energy",2003,"qi"
"to barbarize",1896,"barbarize"
"pico-",1676,"pico"
"marsh mallow",1590,"marsh mallow"
"iron hoop",1587,"hoop"
"mamey sapote",1518,"mamey sapote"
"roman fort",1395,"roman"
"owlet moth",1344,"owlet"
"earthenware jar",1311,"earthenware"
"door-to-door peddler",1292,"peddler"
"yellow ochre",1236,"ochre"
"benedictine monk",1165,"benedictine"
"alpine pasture",1152,"alpine"
"duffel coat",1134,"duffel"
"xiang language",1065,"xiang"
"stinging nettle",1055,"nettle"
"longhorn beetle",936,"longhorn beetle"
"jamaican nettletree",828,"jamaican nettletree"
"riverside hostel",754,"riverside"
"to prune",746,"prune"
"-phile",670,""
"-mania",639,""
"erythrina abyssinica",601,"erythrina abyssinica"
"tufted capuchin",524,"tufted capuchin"
"inter-",517,"inter"
"outlet store",513,"outlet"
"youngest child",432,"youngest"
"citron tree",427,"citron"
"bean trefoil",398,"trefoil"
"household slave",383,"household"
"war veteran",358,"veteran"
"platysma muscle",355,"platysma"
"to castrate",337,"castrate"
"gilt-head bream",334,"gilt"
"grey mullet",316,"mullet"
"-path",304,""
"half-black",303,"half"
"hawksbill turtle",302,"hawksbill"
"marshal",298,"marshal"
"beaufort cheese",290,"beaufort"
"outlying farm",282,"outlying"
"bas relief",279,"bas"
"quarter note",274,"quarter"
"noun suffix",264,"noun suffix"
"pithecellobium dulce",257,"pithecellobium dulce"
"itinerant musician",254,"itinerant musician"
"ferro-",243,"ferro"
"lively",212,"lively"
"choir",199,"choir"
"guru",199,"guru"
"ninety",197,"ninety"
"australian ringneck",197,"australian ringneck"
"saltillo",197,"saltillo"
"insane",197,"insane"
"skerry",196,"skerry"
"scallop",196,"scallop"
"railway sleeper",195,"railway"
"viola",195,"viola"
"aberdeen angus",194,"aberdeen angus"
"qalandar",193,"qalandar"
"martyr",192,"martyr"
"panda",192,"panda"
"payee",191,"payee"
"luxury",190,"luxury"
"sphagnum bog",190,"sphagnum"
"rustle",190,"rustle"
"stolen",189,"stolen"
"alga",189,"alga"
"enigmatic",188,"enigmatic"
"ardennais horse",188,"ardennais"
"ocotillo",187,"ocotillo"
"knoll",187,"knoll"
"sleet",186,"sleet"
"diene",183,"diene"
