word,occurrences,meanings_it_unlocks
"amplitude",13467,1
"delta",5481,1
"hammerhead",4679,1
"half",4449,10
"holm",4040,1
"aside",3410,1
"cilia",3361,1
"nouveau",3351,1
"nominal",3076,1
"sub",2622,1
"qi",2003,1
"barbarize",1896,1
"pico",1676,1
"hoop",1655,2
"roman",1455,3
"owlet",1344,1
"earthenware",1311,1
"peddler",1292,1
"ochre",1249,2
"benedictine",1165,1
"alpine",1152,1
"duffel",1134,1
"xiang",1065,1
"nettle",1055,1
"riverside",776,2
"prune",746,1
"inter",517,1
"outlet",513,1
"mullet",498,2
"youngest",445,2
"citron",427,1
"trefoil",398,1
"household",383,1
"veteran",358,1
"platysma",355,1
"castrate",337,1
"gilt",334,1
"hawksbill",302,1
"marshal",298,1
"beaufort",290,1
"outlying",282,1
"bas",279,1
"quarter",274,1
"ferro",243,1
"brass",237,3
"lively",212,1
"choir",199,1
"guru",199,1
"luxury",199,2
"ninety",197,1
"saltillo",197,1
"insane",197,1
"skerry",196,1
"scallop",196,1
"railway",195,1
"viola",195,1
"qalandar",193,1
"martyr",192,1
"panda",192,1
"payee",191,1
"sphagnum",190,1
"rustle",190,1
"alga",189,1
"ardennais",188,1
"ocotillo",187,1
"knoll",187,1
"sleet",186,1
"diene",183,1
"adagio",183,1
"inferior",182,1
"princess",181,1
"seventy",179,1
"dingo",178,1
"ideal",177,1
"schooner",176,1
"deodorant",175,1
"ide",175,1
"convalescent",175,1
"enclosing",175,1
"bard",175,1
"bro",174,1
"avail",174,1
"lute",174,1
"sherry",174,1
"pumpkin",174,1
"apostle",174,2
"coach",174,2
"mulatto",172,1
"scarce",172,1
"esplanade",172,1
"pizza",172,1
"aura",171,1
"anarchist",171,1
"whirlpool",171,1
"eclipse",170,1
"curb",169,1
"greco",169,1
"insole",169,1
"purgatory",169,1
"endow",167,1
"taboo",167,1
"lieutenant",167,1
"parcel",167,1
"pudding",167,1
"siren",167,1
"aero",166,1
"eme",166,1
"falsify",166,1
"niche",164,1
"alb",164,1
"artificial",164,2
"ermine",163,1
"mezcal",163,1
"albino",163,1
"rabbi",162,1
"broadcast",162,1
"behen",162,1
"mitre",162,2
"toil",161,1
"lingerie",161,1
"drape",161,1
"cide",161,1
"hail",161,1
"gambier",161,1
"battery",161,1
"chili",161,1
"amateur",161,1
"granite",161,2
"wattled",160,1
"franc",160,1
"tallow",159,1
"hub",159,1
"abolished",159,1
"civic",158,1
"weirdo",158,1
"combustible",158,1
"fief",158,1
"pupil",158,1
"copse",157,1
"chott",156,1
"stall",156,2
"kiln",156,2
"guitar",155,1
"fore",155,1
"glebe",155,1
"vain",155,2
"muon",154,1
"musalla",154,1
"bough",154,1
"wigwam",153,1
"sledgehammer",153,1
"fleet",153,1
"skua",153,2
"cigarette",153,2
"ortho",152,1
"viaduct",152,1
"belvedere",152,1
"auk",152,1
"g",152,2
"severe",151,1
"medal",151,1
"stove",151,1
"anti",150,1
"trouser",150,1
"guyot",150,1
"madam",149,1
"clown",149,1
"bray",148,1
"sable",148,1
"gust",148,1
"tulip",147,1
"cooper",147,1
"agrarian",146,1
"idol",146,1
"boomerang",145,1
"farrier",145,1
"dumb",145,2
"tic",144,1
"unmerciful",144,1
"batavia",144,1
"detour",144,1
"bakery",144,1
"howler",144,1
"razor",144,2
"marmot",143,1
"incompetent",143,1
"ironmonger",142,1
"jib",142,1
"witch",141,1
"bland",141,1
"chonta",141,1
"kaiser",141,1
"abdominal",141,2
"escort",140,1
"hame",140,1
"kirchnerista",140,1
"starch",139,1
"diagonal",139,1
"smelt",139,1
"slipway",139,1
"spinnaker",139,2
"eparchy",138,1
"gon",138,1
"trump",138,1
"evangelical",137,1
"mihrab",136,1
"solstice",136,2
"hymn",135,1
"inquiry",134,1
"bruise",134,1
"saudade",134,1
"ulcer",134,1
"stirrup",133,1
"foehn",133,1
"smith",133,1
"goldsmith",132,1
"buttermilk",132,1
"brew",132,1
"alert",132,1
"zucchini",132,1
"macrochaeta",131,1
"resident",131,1
"capoeira",131,1
"catholic",131,1
"patience",131,1
"guarantor",130,1
"manatee",130,1
"botanic",130,1
"slander",129,1
"planet",129,1
"dauphin",129,1
"colt",129,1
"soccer",128,1
"chrysalis",127,1
"pariah",127,1
"puddle",127,1
"caiman",127,1
"ail",126,1
"bourgeois",126,1
"museum",126,2
"chamois",125,1
"combo",125,1
"marlin",125,1
"crumb",125,1
"cradle",125,2
"emir",124,1
"coupé",124,1
"cenote",124,1
"chervil",123,1
"liver",122,1
"lived",122,1
"yucca",122,1
"cigar",122,1
"zinc",121,1
"kasha",121,1
"celebrity",121,1
"tweed",121,1
"bulwark",121,1
"albatross",120,1
"bio",120,1
"pampas",120,1
"yeshiva",120,1
"protein",119,1
"brackish",119,1
"arbour",119,1
"yoga",118,1
"interrupted",117,1
"arrogant",117,1
"palomino",117,1
"marabout",117,1
"margin",117,1
"sauna",116,1
"cunt",116,1
"grandma",116,1
"agouti",116,1
"linden",116,2
"seraph",115,1
"professional",115,1
"courier",115,1
"mortgage",115,1
"soursop",115,1
"pyro",115,1
"groan",115,2
"prattle",114,1
"lawn",114,1
"massacre",114,1
"finest",113,1
"daffodil",113,1
"piccolo",113,1
"myrobalan",112,1
"arbiter",112,1
"german",112,1
"rattlesnake",112,1
"despotic",112,1
"caravanserai",112,1
"phantom",112,1
"halibut",112,1
"dairy",112,1
"concrete",112,1
"fez",112,1
"wrestle",111,1
"nshima",111,1
"dinar",111,1
"radar",111,1
"yen",111,1
"blizzard",111,1
"holiday",111,2
"rune",110,1
"tutu",110,1
"cancer",110,1
"chorous",110,1
"gallup",110,1
"humane",110,1
"electrode",109,1
"girasol",109,1
"app",108,1
"priory",108,1
"canary",108,2
"theo",107,1
"hydro",107,1
"turmeric",107,1
"rabbet",107,1
"citizen",107,2
"obscure",106,1
"regiment",106,1
"congress",106,1
"arsenal",106,1
"epazote",106,1
"zenith",106,1
"okra",106,2
"mesa",105,1
"lux",105,1
"indo",105,1
"licensed",105,1
"mamba",105,1
"guinea",104,1
"kangaroo",104,1
"lingam",104,1
"lax",104,1
"fluke",104,1
"khural",104,1
"territorial",104,1
"squash",104,1
"cormorant",104,1
"ness",104,1
"talisman",104,1
"weasel",103,1
"alvine",103,1
"bedside",103,1
"maxim",103,1
"ecological",103,1
"calabash",103,1
"ninth",102,1
"inconvenient",102,1
"argument",102,1
"ascetic",102,1
"slingshot",102,1
"bougainvillea",102,1
"lysine",101,1
"doline",101,1
"criminal",100,1
"oboe",100,1
"textile",100,1
"gable",100,1
"domestic",99,1
"imam",99,1
"duma",99,1
"pasta",99,1
"fava",99,1
"mercer",99,1
"steeplechase",99,1
"machete",99,1
"cistern",99,1
"unskilled",98,1
"immigrant",98,1
"stipe",98,1
"cyanogen",98,1
"hangar",98,1
"blackberry",98,1
"christmas",98,1
"fistula",98,1
"file",98,2
"chlorine",97,1
"chic",97,1
"lazy",97,1
"sue",97,1
"pub",97,1
"sharqi",97,1
"parochial",97,1
"quagmire",97,1
"reel",97,1
"nasty",97,1
"manganese",97,2
"castrated",96,1
"lyrist",96,1
"furrier",96,1
"racket",96,1
"termite",96,1
"participant",96,1
"nickel",96,1
"transalpine",95,1
"codling",95,1
"oratorio",95,1
"calla",95,1
"best",95,2
"scourge",95,2
"beret",94,1
"elf",94,1
"aloof",94,1
"bailiff",94,1
"preparation",93,1
"cyst",93,1
"trowel",93,1
"stamina",93,1
"bight",93,1
"spy",93,1
"suffix",93,2
"zen",92,1
"brothel",92,1
"takyr",92,1
"deliverance",92,1
"sesamoid",91,1
"masochistic",91,1
"prank",91,1
"rookery",91,1
"exposed",90,1
"ance",90,1
"ester",90,1
"nits",90,1
"halo",90,1
"seepwillow",90,1
"genesis",90,1
"clerk",90,1
"fart",90,2
"kneading",89,1
"bromine",89,1
"squeegee",89,1
"oxford",89,1
"captive",89,1
"hog",89,1
"sheepskin",88,1
"clavellate",88,1
"indifferent",88,1
"strengthened",88,1
"spa",88,1
"veneer",88,1
"lotto",88,1
"magnifying",88,1
"jatobá",88,1
"countess",88,1
"equality",88,1
"quern",88,1
"vase",88,2
"migratory",87,1
"borax",87,1
"azo",87,1
"brewery",87,1
"ogre",87,1
"amusement",87,2
"topaz",86,1
"gaunt",86,1
"meme",86,1
"ayatollah",86,1
"observatory",86,1
"smear",86,1
"living",86,3
"tab",85,1
"collie",85,1
"leftoid",85,1
"hornero",85,1
"prosperity",85,1
"tomcat",85,1
"gaudy",85,1
"caracara",85,1
"whetstone",85,1
"afflicted",84,1
"chaplain",84,1
"trans",84,1
"bentonite",84,1
"bermuda",84,1
"chantilly",84,1
"sami",84,1
"vip",84,1
"bilingual",84,1
"gendarmerie",83,1
"tournament",83,1
"valence",83,1
"aroma",83,1
"lightening",83,1
"rotunda",83,1
"ade",82,1
"sleeve",82,1
"ark",82,1
"suspended",81,1
"huntress",81,1
"slug",81,1
"transom",81,1
"milli",81,1
"cuttlebone",81,1
"electrify",81,1
"romanticism",81,1
"valuable",81,1
"maraca",81,1
"toucan",80,1
"foul",80,1
"burbot",80,1
"twill",80,1
"drowned",80,2
"paternal",80,2
"towel",79,1
"ace",79,1
"wilderness",79,1
"b",79,1
"anniversary",79,1
"galilee",79,1
"bistro",79,1
"rhea",79,1
"calamity",79,1
"refill",79,1
"stew",79,1
"northwestern",78,1
"arsonist",78,1
"llama",78,1
"teak",78,1
"kelp",78,1
"diocesan",78,1
"syphilis",78,1
"lyrics",78,1
"mangabeira",78,1
"swede",78,1
"supper",78,1
"desirable",77,1
"algonquin",77,1
"fontanelle",77,1
"hornito",77,1
"unthreshed",77,1
"arabian",77,1
"jaguar",77,1
"tow",77,1
"heiress",76,1
"coachman",76,1
"emission",76,1
"quadricycle",76,1
"stamp",76,2
"separable",75,1
"bugle",75,1
"iq",75,1
"shampoo",75,1
"abscess",75,1
"attar",75,1
"sulfate",75,1
"editor",75,1
"japanware",75,1
"pinole",75,1
"totem",75,1
"antenna",75,1
"shingle",75,2
"salute",74,1
"clinch",74,1
"corrupt",74,1
"wallaby",74,1
"banjo",74,1
"iceberg",74,1
"scream",73,1
"borane",73,1
"corncob",73,1
"trio",73,1
"tsarina",73,1
"bypass",73,1
"lab",73,1
"sap",73,1
"fiddler",73,1
"f",73,2
"translucent",72,1
"chough",72,1
"motto",72,1
"grebe",72,1
"excavate",72,1
"liberating",72,1
"wok",72,1
"suicide",72,1
"stumbling",72,1
"sago",72,1
"pascal",72,1
"taco",71,1
"impure",71,1
"ell",71,1
"shura",71,1
"meteor",71,1
"smock",71,1
"coniferous",71,1
"sundanese",71,1
"monitor",70,1
"jigsaw",70,1
"fulfill",70,1
"sapphire",69,1
"cheque",69,1
"jacal",69,1
"indigence",69,1
"multi",69,1
"palimpsest",69,1
"amphipod",69,1
"emblic",68,1
"crisis",68,1
"duet",68,1
"intercity",68,1
"bowsprit",68,1
"ozone",68,1
"withe",67,1
"jamb",67,1
"paratha",67,1
"tuxedo",67,1
"panting",67,1
"tare",67,2
"intercalary",66,1
"cobbler",66,1
"impossible",66,1
"pelvis",66,1
"boast",66,1
"yeast",66,1
"klipspringer",66,1
"reveille",66,1
"guaco",66,1
"roaming",66,2
"indefinite",65,1
"styloglossal",65,1
"sheng",65,1
"aval",65,1
"weld",65,1
"affirm",65,1
"visual",65,1
"derrick",65,1
"sling",65,1
"viscount",65,1
"industrial",65,2
"marsh",65,2
"buttock",64,1
"marijuana",64,1
"century",64,1
"whistle",64,1
"linstock",64,1
"copra",64,1
"piranha",64,1
"privilege",64,1
"tourism",64,1
"roadstead",64,1
"inelegant",63,1
"squirting",63,1
"gander",63,1
"houri",63,1
"lur",63,1
"sumo",63,1
"phosphate",63,1
"yolk",63,1
"logist",63,1
"sabkha",63,1
"suction",63,1
"apiary",63,1
"flamboyant",63,1
"peculiar",63,1
"bait",62,1
"rally",62,1
"lysis",62,1
"thuja",62,1
"financial",62,1
"voltage",62,1
"dolomite",62,1
"maar",62,1
"zander",62,1
"pyrite",61,1
"traffic",61,1
"temperament",61,1
"puck",61,1
"corporal",61,1
"gaucho",61,1
"covet",61,1
"provost",61,1
"parapet",61,1
"tripod",61,1
"nougat",61,1
"motor",61,1
"pedicular",60,1
"ejaculate",60,1
"pelite",60,1
"esprit",60,1
"reset",60,1
"waltz",60,1
"redeemer",60,1
"lens",59,1
"forgetfulness",59,1
"myth",59,1
"renewed",59,1
"canvas",59,1
"tango",59,1
"combat",59,1
"crystalline",58,1
"unprepared",58,1
"epidemic",58,1
"butane",58,1
"apostate",58,1
"cloister",58,1
"annatto",58,1
"austral",58,1
"quartzose",58,1
"second",58,1
"fauna",58,1
"reliquary",58,1
"parachute",58,1
"jacuzzi",58,1
"first",58,4
"incomparable",57,1
"limnetic",57,1
"shroud",57,1
"bicycle",57,1
"democrat",57,1
"english",57,1
"silica",57,1
"silicone",57,1
"retirement",57,1
"minaret",57,1
"cult",57,1
"whirl",56,1
"patchwork",56,1
"slate",56,1
"spoonbill",56,1
"mandrake",56,1
"vitriol",56,1
"sake",56,1
"dharma",56,1
"liar",56,1
"karpas",56,1
"megalo",56,1
"optimist",56,1
"mononucleosis",56,1
"retail",56,1
"incendiary",56,1
"steno",56,1
"tilery",56,1
"median",56,1
"curaçao",56,1
"barbecue",56,1
"forth",56,5
"[homer]",55,1
"enervated",55,1
"agitated",55,1
"herm",55,1
"wushu",55,1
"edema",55,1
"hosanna",55,1
"acropolis",55,1
"biosphere",55,1
"endorsement",55,1
"quadrilateral",54,1
"sorcerer",54,1
"micro",54,1
"rya",54,1
"russet",54,1
"academic",54,1
"anklet",54,1
"belongings",54,1
"inclining",54,1
"curliness",54,1
"vera",54,1
"prefect",54,1
"infantryman",54,1
"delight",54,2
"hoopoe",53,1
"perimeter",53,1
"lecture",53,1
"gallows",53,1
"cinder",53,1
"vicar",53,1
"picket",53,1
"importance",53,1
"overrefined",53,1
"amole",53,1
"lolita",53,1
"southerly",53,1
"taxi",53,1
"prudent",53,1
"compass",53,1
"lick",53,2
"karting",53,2
"groin",52,1
"licorice",52,1
"castigated",52,1
"desperate",52,1
"irrational",52,1
"sediment",52,1
"rickets",52,1
"chassis",52,1
"drizzle",52,1
"aguapanela",52,1
"crevasse",52,1
"compartment",52,1
"hippodrome",52,1
"steakhouse",52,1
"telecom",52,1
"committee",52,1
"score",52,1
"leisure",52,2
"lurk",52,2
"chimpanzee",52,2
"romantic",52,2
"appease",51,1
"pistol",51,1
"raw",51,1
"hastening",51,1
"hemispherical",51,1
"coccyx",51,1
"tuco",51,1
"kiosk",51,1
"veranda",51,1
"scoter",51,1
"pork",51,2
"abscissa",50,1
"underneath",50,1
"semicircle",50,1
"volley",50,1
"riel",50,1
"ballad",50,1
"talc",50,1
"diplomat",50,1
"lumberjack",50,1
"indoor",50,1
"pavlova",50,1
"galician",50,1
"pegmatite",50,1
"whispering",50,1
"chapter",50,1
"twice",50,2
"pussy",50,2
"stimulating",49,1
"hydrangea",49,1
"mojarra",49,1
"hoodlums",49,1
"crate",49,2
"written",49,2
"nectar",48,1
"unwavering",48,1
"circumcised",48,1
"antecedent",48,1
"sporadic",48,1
"naval",48,1
"kestrel",48,1
"engraver",48,1
"stubborn",48,1
"bustle",48,1
"worn",48,1
"defeating",48,1
"jararaca",48,1
"philia",48,1
"perlite",48,1
"chinchilla",48,1
"pregnancy",48,1
"crusader",48,2
"reclining",47,1
"tragic",47,1
"ulna",47,1
"bra",47,1
"shaman",47,1
"amble",47,1
"burgundy",47,1
"mistral",47,1
"necropolis",47,1
"pump",47,1
"bivouac",47,1
"fleeing",46,1
"subdivided",46,1
"arene",46,1
"rancid",46,1
"raki",46,1
"galley",46,1
"imbecile",46,1
"pusta",46,1
"abbé",46,1
"benign",46,1
"index",46,1
"lackey",46,1
"portobello",46,1
"alcove",46,1
"harem",46,1
"parka",46,1
"hostess",46,1
"cousin",46,2
"nausea",45,1
"upbringing",45,1
"repurchased",45,1
"capitation",45,1
"wherever",45,1
"moses",45,1
"barite",45,1
"turbeh",45,1
"zine",45,1
"arid",45,1
"ally",45,1
"jangada",45,1
"curiosity",45,1
"reverend",45,1
"patriarch",45,1
"tortilla",45,1
"encounter",45,1
"cabaret",45,1
"saliva",45,1
"muleteer",45,1
"lacquer",45,2
"augmented",44,1
"vagabond",44,1
"dislocated",44,1
"murderess",44,1
"exhausted",44,1
"abyss",44,1
"butch",44,1
"welfare",44,1
"adze",44,1
"hospice",44,1
"kowtow",44,1
"landau",44,1
"åland",44,1
"marshy",44,1
"rhenate",44,1
"spyglass",44,1
"boatswain",44,1
"pants",44,1
"tabby",44,1
"trickle",44,1
"greensward",43,1
"karst",43,1
"hypha",43,1
"tsimané",43,1
"refreshment",43,1
"cistus",43,1
"caulker",43,1
"headkerchief",43,1
"prospector",43,1
"quinoa",43,1
"boulder",43,1
"secure",43,1
"turbot",43,1
"hyrax",43,1
"imitable",42,1
"piratical",42,1
"parallelogram",42,1
"sanctified",42,1
"spittle",42,1
"d",42,1
"riparian",42,1
"peta",42,1
"muzzle",42,1
"abrupt",42,1
"arras",42,1
"buccal",42,1
"limekiln",42,1
"carmelite",42,1
"kibbutz",42,1
"fairywren",42,1
"sentence",42,1
"hooligan",42,1
"larynx",41,1
"haste",41,1
"violin",41,1
"clone",41,1
"tackle",41,1
"binge",41,1
"gusan",41,1
"crib",41,1
"pausa",41,1
"penitent",41,1
"rondeau",41,1
"vigilance",41,1
"chill",41,1
"greek",41,3
"unharmed",40,1
"distrusting",40,1
"bale",40,1
"tulle",40,1
"logo",40,1
"billiards",40,1
"winch",40,1
"suckling",40,1
"kaolin",40,1
"muskellunge",40,1
"deck",40,1
"khamsin",40,1
"ambiance",40,1
"chayote",40,1
"cannonball",40,1
"burg",40,1
"meringue",40,1
"tithe",40,2
"tickle",40,2
"rhyme",40,2
"disturbance",39,1
"einkorn",39,1
"epic",39,1
"parietal",39,1
"acrostic",39,1
"skirmish",39,1
"catarrh",39,1
"innocent",39,1
"ethane",39,1
"astrolabe",39,1
"sock",39,1
"lee",39,1
"abalone",39,1
"fyke",39,1
"freckle",39,1
"romani",39,1
"conchal",39,1
"religious",39,1
"peregrine",39,1
"creole",39,1
"ramp",39,1
"referee",39,1
"awesome",39,1
"harness",39,2
"unwritten",38,1
"putrefying",38,1
"ballista",38,1
"genitalia",38,1
"acoustic",38,1
"papaya",38,1
"pogo",38,1
"pickup",38,1
"pollute",38,1
"lag",38,1
"southwest",38,1
"polycaprolactam",38,1
"crater",38,1
"cabinet",38,1
"jackfruit",38,1
"patrician",38,1
"tug",38,1
"torpedo",38,1
"manifold",38,1
"caramel",38,1
"artist",38,1
"uncastrated",38,2
"firstborn",38,2
"bastardy",37,1
"trident",37,1
"refuge",37,1
"raisin",37,1
"socage",37,1
"stucco",37,1
"guild",37,1
"celebrate",37,1
"caste",37,1
"chullpa",37,1
"aristocracy",37,1
"stampede",37,1
"velour",37,1
"sabre",37,1
"silversmith",37,1
"spruce",37,1
"alarm",37,1
"submarine",37,1
"maidenhair",36,1
"pinewood",36,1
"forthwith",36,1
"turpentine",36,1
"shortsightedness",36,1
"yacht",36,1
"heir",36,1
"populate",36,1
"coup",36,1
"maharani",36,1
"dorade",36,1
"rollerblade",36,1
"aida",36,1
"macaque",36,1
"blossom",36,1
"cacao",36,1
"fjeld",36,1
"grout",36,1
"trebuchet",36,1
"urgent",36,1
"tannery",36,1
"allyl",36,1
"bureaucrat",36,1
"karate",36,1
"frieze",36,1
"tattoo",36,2
"ate",35,1
"caries",35,1
"articular",35,1
"unfaithful",35,1
"nerd",35,1
"cataract",35,1
"avalanche",35,1
"chloride",35,1
"tapir",35,1
"tramp",35,1
"chagas",35,1
"cocona",35,1
"encompass",35,1
"conquistador",35,1
"koala",35,1
"primeval",35,1
"infirmary",35,1
"veal",35,1
"saur",35,1
"nym",35,1
"amusing",35,1
"barge",35,1
"sarcastic",34,1
"impostor",34,1
"dialectics",34,1
"parallax",34,1
"sacrificed",34,1
"mmr",34,1
"email",34,1
"skip",34,1
"coffin",34,1
"habitually",34,1
"eider",34,1
"lumbago",34,1
"shieling",34,1
"azimuth",34,1
"burger",34,1
"capulí",34,1
"croissant",34,1
"galette",34,1
"were",34,1
"gyno",34,1
"awaited",34,1
"awful",34,1
"patriot",34,1
"doggie",34,1
"adjournment",34,1
"clamp",34,1
"arsenic",34,1
"beneficent",33,1
"wiped",33,1
"besmeared",33,1
"undefined",33,1
"erotic",33,1
"duct",33,1
"crumple",33,1
"thru",33,1
"biennale",33,1
"polypore",33,1
