tune,species,latin,literal
dajgras mej,5,"Carex capillacea","edge + grass | hairy"
dajgras mej,5,"Carex capillaris","edge + grass | capillary"
dajgras mej,5,"Carex hirtelloides","edge + grass | hairy + suffix"
dajgras mej,5,"Carex hirticaulis","edge + grass | hairy + stem"
dajgras mej,5,"Carex pilosa","edge + grass | hairy"
skebtok caif,4,"Rhododendron lanatoides","rose + tree | woolly"
skebtok caif,4,"Rhododendron lanatum","rose + tree | wooly"
skebtok caif,4,"Rhododendron lanigerum","rose + tree | woolly"
skebtok caif,4,"Rhododendron vellereum","rose + tree | woollen"
flasvaukmos saiblif,3,"Fissidens angustifolius","phoenix + tail + moss | narrow + leaf"
flasvaukmos saiblif,3,"Fissidens kinabaluensis","phoenix + tail + moss | like + narrow + leaf"
flasvaukmos saiblif,3,"Fissidens wichurae","phoenix + tail + moss | narrow + leaf"
goksgec xort,3,"Astragalus brachysemia","vertebra | short + Shimei"
goksgec xort,3,"Astragalus breviscapus","vertebra | short"
goksgec xort,3,"Astragalus malcolmii","vertebra | short + stem"
cornxoik corn,3,"Caragana aegacanthoides","thorn + pea | Aegeus + thorn"
cornxoik corn,3,"Caragana spinifera","thorn + pea | thorny"
cornxoik corn,3,"Caragana spinosa","thorn + pea | thorny"
dajgras frut,3,"Carex cranaocarpa","edge + grass | Cranaa + fruit"
dajgras frut,3,"Carex hebecarpa","edge + grass | Hebe + fruit"
dajgras frut,3,"Carex nudicarpa","edge + grass | Nudium + fruit"
zaic bag,3,"Allium caeruleum","onion | blue"
zaic bag,3,"Allium caesium","onion | blue"
zaic bag,3,"Allium cyaneum","onion | blue"
swejfaj cet,3,"Corydalis pseudoadoxa","spur + flower | false"
swejfaj cet,3,"Corydalis pseudoalpestris","spur + flower | false + Alpine"
swejfaj cet,3,"Corydalis pseudomairei","spur + flower | false + Maire"
crifCen lutlstrim,3,"Elatostema nanchuanense","ductile + then | south + stream"
crifCen lutlstrim,3,"Elatostema pseudonanchuanense","ductile + then | like + south + stream"
crifCen lutlstrim,3,"Elatostema nanxiense","ductile + then | south + stream"
caidj mej,3,"Viola hirta","violet | hairy"
caidj mej,3,"Viola pilosa","violet | hairy"
caidj mej,3,"Viola thomsonii","violet | hair"
nam klaudlut,3,"Aquilaria yunnanensis","name | cloud + south"
nam klaudlut,3,"Philadelphus delavayi","name | cloud + south"
nam klaudlut,3,"Hippolytia yunnanensis","name | cloud + south"
xucfaj saiblif,3,"Wikstroemia angustifolia","fuel + flower | narrow + leaf"
xucfaj saiblif,3,"Wikstroemia chui","fuel + flower | narrow + leaf"
xucfaj saiblif,3,"Wikstroemia stenophylla","fuel + flower | narrow + leaf"
spriqfaj wug,3,"Primula bella","spring + flower | beautiful"
spriqfaj wug,3,"Primula calliantha","spring + flower | beautiful"
spriqfaj wug,3,"Primula pulchella","spring + flower | beautiful"
skebtok nolp,3,"Rhododendron tomentosum","rose + tree | bristly"
skebtok nolp,3,"Rhododendron setiferum","rose + tree | bristly"
skebtok nolp,3,"Rhododendron setosum","rose + tree | bristle"
skebtok lif,3,"Rhododendron myrsinifolium","rose + tree | Myrsinus + leaf"
skebtok lif,3,"Rhododendron rhombifolium","rose + tree | Alpha Reticuli + leaf"
skebtok lif,3,"Rhododendron siderophyllum","rose + tree | Siderus + leaf"
pinjoin loqlif,3,"Callicarpa dolichophylla","purple + bead | long + leaf"
