leaf,occurrences,meanings
fig,4390,2
holm,3898,1
centaurea centaurium,3557,1
aside,3417,1
cilia,3361,1
cloak,2252,2
chaste,2183,1
crowned,2020,1
hoop,1594,1
ochre,1263,2
nettle,1060,1
beetle,936,1
cinnamon,864,2
sambuca,719,1
inhabit,660,1
sow thistle,649,1
snarl,595,1
beech,588,2
birch,588,1
coal,577,1
sessile,563,1
sri lanka,516,1
mullet,508,2
snub,457,1
citron,427,1
trefoil,398,1
platysma,355,1
adriatic,318,1
bas,279,1
sororal niece,268,1
olive,266,3
ursa,243,2
sororal nephew,225,1
daisy,224,1
moray,212,1
stipulated,204,1
devour,200,1
fallow,183,2
ad unguem,172,1
curb,170,1
pigeon,162,3
olive pomace,161,1
wattled twigs,160,1
tallow,159,1
endow,157,1
allis shad,157,1
pudendum muliebre,141,1
negros,141,1
solstice,136,2
boar,133,1
pomegranate-peel,132,1
finest,122,1
mulberry,117,2
myrobalan,112,1
threshing,109,1
phenomena,109,1
mattock,106,2
bray,105,1
propped,98,1
codling,95,1
urn,91,1
conger,78,1
pomace,77,1
reefing,77,1
serpent,71,5
oneum,70,1
boot,70,1
poultice,68,1
forth,68,6
wrestle,67,1
canary,67,1
einkorn,65,1
epidemic,58,1
slate,56,1
[homer],55,1
appease,52,1
phalanx,51,1
twice,50,2
underneath,50,1
-headed,49,1
al-andalus,49,1
wrought,47,1
berried,46,1
led astray,45,1
-bearing,42,1
dried fig,42,1
usk,42,1
gurnard,40,1
thyrsus,40,1
porridge,39,1
prune,39,1
skirmish,39,1
chimpanzee,38,1
trident,37,1
minoan civilization,36,1
ate,35,1
caries,35,1
european bison,35,1
brutal,34,1
sale,34,1
clary sage,33,1
greek,32,3
lemma,32,1
cilician,32,1
onyx marble,31,1
scourge,31,1
-ful,30,1
conjoined,30,1
uncared,30,2
salmon,29,1
serrated,29,1
tunny,28,1
married,28,1
avenged,27,1
horehound,27,1
mooring,27,1
remeasured,27,1
dried,27,2
refolded,25,1
manure,25,1
-phile,24,1
cloven-hooved,24,1
victim,23,1
reunite,22,1
splinter,22,1
thrice-cloven,22,1
crook,21,1
salve,19,1
armillary,18,1
incision,18,1
bronze,17,1
provisions,16,2
wagging,16,1
cape taenarus,16,1
bream,15,1
sat,15,1
companion,14,3
manganese,14,1
moabite,14,1
spectre,14,1
genitalia,14,1
pleasant,14,1
coëst,13,1
emulator,13,1
demolish,13,1
whom,12,1
meteoric,12,1
dung beetle,12,1
jujube,12,1
twig,12,1
cyclamen graecum,12,1
canis,12,1
written,12,1
tarried,12,1
-nomy,11,1
endeavoured,11,1
africa,11,1
bleat,11,1
slept,11,1
parched,10,1
struck,10,1
marble,10,1
congratulated,10,1
calf,10,1
nipper,10,1
roman,10,1
cithara,10,1
gourmandise,9,1
atlantic,9,1
vitreous,9,1
harness,9,1
fraternal nephew,9,1
diminutive noun,9,1
-saying,8,1
