term,occurrences,tree
fig tree,4375,"?fig + tree"
holm oak,3898,"?holm + oak"
centaurea centaurium,3557,"?centaurea centaurium"
set aside,3417,"set + ?aside"
having cilia,3361,"have + ?cilia"
cloak,2251,"?cloak"
chaste tree,2183,"?chaste + tree"
crowned,2020,"?crowned"
iron hoop,1594,"iron + ?hoop"
yellow ochre,1250,"yellow + ?ochre"
stinging nettle,1060,"sting + ?nettle"
longhorn beetle,936,"long + horn + ?beetle"
cinnamon-coloured,863,"?cinnamon + coloured"
sambuca player,719,"?sambuca + player"
to inhabit,660,"to + ?inhabit"
sow thistle,649,"?sow thistle"
to snarl,595,"to + ?snarl"
birch tree,588,"?birch + tree"
coal black,577,"?coal + black"
beech tree,571,"?beech + tree"
sessile-leafed,563,"?sessile + leaf"
sri lanka,516,"?sri lanka"
snub-nosed,457,"?snub + nose"
citron tree,427,"?citron + tree"
bean trefoil,398,"bean + ?trefoil"
platysma muscle,355,"?platysma + muscle"
adriatic sea,318,"?adriatic + sea"
grey mullet,316,"gray + ?mullet"
bas relief,279,"?bas + relief"
sororal niece,268,"?sororal niece"
sororal nephew,225,"?sororal nephew"
ox-eye daisy,224,"ox + eye + ?daisy"
ursa major,221,"?ursa + major"
moray eel,212,"?moray + eel"
having stipulated,204,"have + ?stipulated"
to devour,200,"to + ?devour"
red mullet,192,"red + ?mullet"
olive oil,184,"?olive + oil"
ad unguem,172,"?ad unguem"
curb chain,170,"?curb + chain"
olive pomace,161,"?olive pomace"
wattled twigs,160,"?wattled twigs"
tallow candle,159,"?tallow + candle"
to endow,157,"to + ?endow"
allis shad,157,"?allis shad"
fallow-land,155,"?fallow + land"
pudendum muliebre,141,"?pudendum muliebre"
negros island,141,"?negros + island"
wild boar,133,"wild + ?boar"
pomegranate-peel,132,"?pomegranate-peel"
finest wool,122,"?finest + wool"
winter solstice,113,"winter + ?solstice"
myrobalan fruit,112,"?myrobalan + fruit"
threshing floor,109,"?threshing + floor"
celestial phenomena,109,"celestial + ?phenomena"
wood pigeon,107,"wood + ?pigeon"
to bray,105,"to + ?bray"
mattock-shaped,105,"?mattock + shape"
propped up,98,"?propped + up"
codling moth,95,"?codling + moth"
urn-bearing,91,"?urn + bear"
conger eel,78,"?conger + eel"
pomace wine,77,"?pomace + wine"
reefing rope,77,"?reefing + rope"
olive grove,74,"?olive + grove"
mount oneum,70,"mount + ?oneum"
half-boot,70,"half + ?boot"
fatty poultice,68,"fat + ?poultice"
to wrestle,67,"to + ?wrestle"
canary-colored,67,"?canary + color"
einkorn wheat,65,"?einkorn + wheat"
mulberry tree,60,"?mulberry + tree"
epidemic diseases,58,"?epidemic + disease"
black mulberry,57,"black + ?mulberry"
slate-colored,56,"?slate + color"
expectation [homer],55,"expect + ?[homer]"
to appease,52,"to + ?appease"
first phalanx,51,"first + ?phalanx"
placed underneath,50,"place + ?underneath"
-headed,49,"?-headed"
rock pigeon,49,"rock + ?pigeon"
al-andalus,49,"?al-andalus"
cunningly wrought,47,"cunning + ?wrought"
hard-berried,46,"hard + ?berried"
dyed twice,46,"dye + ?twice"
led astray,45,"?led astray"
-bearing,42,"?-bearing"
dried fig,42,"?dried fig"
river usk,42,"river + ?usk"
