kind,term,species
grammar,"case",267
grammar,"form",217
grammar,"like",102
grammar,"stem",13
grammar,"sense",1
a name,"song",218
a form,"kernellous",39
a form,"shrublike",6
a form,"conjunction",4
a form,"heterogeneous",4
a form,"curative",4
a form,"bountiful",4
a form,"mansion",4
a form,"undergarment",3
a form,"hoarseness",3
a form,"gravelly",3
a form,"parrotfish",3
a form,"resinous",3
a form,"ly",3
a form,"viniferous",3
a form,"salinity",3
a form,"especially",3
a form,"wavily",3
a form,"transliteration",3
a form,"carefully",3
a form,"chilly",3
a form,"superlative",2
a form,"strumous",2
a form,"hilly",2
a form,"cavernous",2
a form,"pacification",2
a form,"irritation",2
a form,"sulphurous",2
a form,"auction",2
a form,"disorderly",2
a form,"unlike",2
a form,"figurative",2
a form,"granulous",2
a form,"somniferous",2
a form,"ply",2
a form,"razorfish",2
a form,"leprous",2
a form,"pearly",2
a form,"perforation",2
a form,"catchfly",2
a form,"exceedingly",2
a form,"dislike",2
a form,"meritorious",2
a form,"vermiferous",1
a form,"hindrance",1
a form,"instillation",1
a form,"addition",1
a form,"application",1
a form,"irregularity",1
a form,"soldierly",1
a form,"entanglement",1
a form,"agility",1
a form,"globuliferous",1
a form,"agglomeration",1
a form,"metalliferous",1
a form,"inebriation",1
a form,"heartily",1
a form,"equally",1
a form,"constriction",1
a form,"pankration",1
a form,"necessity",1
a form,"dubious",1
a form,"zealous",1
a form,"obeisance",1
a form,"flatfish",1
a form,"moderation",1
a form,"gregarious",1
a form,"interrogative",1
a form,"impregnation",1
a form,"equality",1
a form,"matronly",1
a form,"scottish",1
a form,"circularly",1
a form,"consumption",1
a form,"circumambulation",1
a form,"delusion",1
a form,"eternity",1
a form,"weightless",1
a form,"pustulous",1
a form,"bashful",1
a form,"horsefly",1
a form,"adulterous",1
a form,"fluctuation",1
a form,"steely",1
a form,"accidentally",1
a form,"decisive",1
a form,"vicinity",1
a form,"stingily",1
odd,"肉豆蔻",28
odd,"angle.",15
odd,"20",9
odd,"16",6
odd,"coëst",4
odd,"mixture.",3
odd,"10th",2
odd,".",2
odd,"i.d.",2
odd,"bean.",1
odd,"3",1
odd,"hair.",1
odd,"combmaker.",1
odd,"80",1
odd,"plants.",1
unknown,"chestnuts",286
unknown,"hgs",201
unknown,"whisker",146
