relation,occurrences,spellings
about,193933,"pertaining to"
hold,115754,"provided with | bristly | winged | having cilia | tremate | foreign | hated | having | different-coloured | headed | having many-flowers | round-leaved | having seen | having risen | small-eyed | thin-tailed | umbellate | long-haired | whorled | awned | appendaged | granulous | having drawn | papillate | double-threaded | sighted | thorny | passable | pedicellate | murex-shaped | thigh-shaped | long-nosed | fenestrated | uniform | two-flowered | eared | penicillate | mammillate | finished | three-ply | few | short-beaked | large-eyed | red-stemmed | oblivious | red-bellied | centred | three-bristled | wide-winged | many-seeded | having ridges | spotted | bossed | stayed | golden-flowered | having avenged | three-way | facial | black-fronted | associated | big-buttocked | biform | rolled | short-haired | flat-leaved | three-footed | red-winged | dimorphic | two-coloured | eaten | two-furrowed | begun | narrow-necked | two-faced | hairy | having returned | toothed | powerful | two-marked | banded-necked | many-folded | having wept | three-pronged | adic | ramiflorous | bleary-eyed | black-bellied | diseased | steely | short-tailed | white-bellied | ungulate | four-toothed | dead | diandrous | thick-lipped | severed | hooked | wide-beaked | having stipulated | warmed | having sharp-flowers | three-furrowed | spiny | beloved | cavernous | bull-headed | long-sleeved | woody | represented | having hunted | aegis-bearing | having boiled | having struggled | honored | curly | mourned | shorn | pointed-snouted | well-wheeled | multicoloured | head-underneath | full-cheeked | two-bristled | melancholy | feather-footed | caudal | long-tailed | lamented | lair-rich | encircled | arbutus-leaved | met | having comforted | having kissed | formed | flat-winged | four-bristled | having endeavoured | hirsute | lowered | one-bristled | explored | coniferous | few-toothed | smooth-winged | two-scaled | clubfooted | intelligent | entire-leaved | having roots | six-rowed | seen | threefold | pointed | having pipes | narrow-beaked | many-fronted | four-keeled | anointed | angled | two-named | broad purple-striped | two-doored | bee-shaped | concordant | horse-tailed | lingered | many-toed | having admitted | struck | crooked-counseled | potbellied | escaped | dominant | witnessed | having measured | presaged | bombastic | skilled | squinting | white-beaked | bruised | separated | many-benched | adulated | wandered | turreted | bipartite | measured | arched | knowing | advanced | thought | touched | having remeasured | god-possessed | high-beaked | played | attended | steatopygous | prostituted | beautiful-cheeked | rugged | extinct | having hesitated | having harmed | gray-marked | observed | abducted | deceived | gazed | resisted | sunken | waddling | two-banked | rivaled | white-spotted | pierced | humped-beaked | tetrahedral | overtaken | remaining | removed | homonymous | purple | cloacal | striven | horn-fruited | followed | parallel-faced | departed | red | surpassed | plundered | revered | wandering | arrhythmic | auspicated | water-fetching | dissected | despised | one-horned | recoiled | dislocated | having repeled | strayed | having accused | amazed | heptamerous | having met | having plundered | firewood-fetched | having obtained | opened | tall-spined | having tarried | worked | shieldless | having testicles | cursed | found | three-horned | having appeared | carried | parted | hot-tempered | having congratulated | snaky-haired | reflected | sent | cast | begonia-leaved | short-abdomened | four-pronged | arcturian | dog-shaped | beautiful-legged | felled | having leaped | having loitered | red-tailed | trireme | approached | saffron-robed | sad | double-peaked | having consoled | counted | invoked | having lodged | preceded | ochre-marked | polysemous | demon-possessed | rested | having lamented | uncloven-hoofed | having approached | jawed | having measure | clasped | resting | symbolic | having oars | having feasted | introduced | fed | tested | returned | arm-branched | well-benched | recollected | quarrelled | having raised | many-flowered | maple-flowered | prickly-flowered | rained upon | acknowledged | having fabricated | threatened | slid | reversed | spent | executed | frightened | admired | golden-frontleted | building | walked around | young-leaved | fronted | lurking | hairy-chested | having bargained | dissolved | awoken | six-stranded | having flattered | trifled | extended | driven | enthusiastic | having deprecated | disputed | subservient | mocked | boasted | borrowed | contradicting | occurred | ravaged | receded | subsequent | having descended | gained | having pursued | having fished | rejected | sailed | cooperated | uttered | flown | chattered | bacchated | pitied | unguliferous | chambered | having dissuaded | having demolished | fortified | having imagined | torticollous | resented | having entered | having dared | having devised | having changed | horned | premeditated | truncated-nosed | having skirmished | disputing | accompanied | having advanced | thousand-formed | questioned | skimmed | expectant | crooked-walking | three-banked | recorded | agreed | having striven | having escorted | assisted | two-bodied | having travelled | caroused | noticed | insulted | stricken | sloping-snouted | having misused | outspoken | pleased | prophesied | having squandered | effected | having explained | joked | given | having felled | three-storeyed | nesting | having traded | stretched | performed | having endured | branching | prematurely dead | bound | passed | battled | confessed | remembered | six-fingered | seven-mouthed | borne | shaped | having testified | foretold"
very,61107,"tiny | very | very small | great | exceedingly | very similar | very much | savage | very long | very high | very little | brilliant | thin | lengthy | elegant | costly | very narrow | very pale | sharp | very great | very dense | poisonous | hairy | very large | delightful | prettily | flat | rare | quick | small | ardent | humble | huge | pretty | plain | very famous | very beautiful | obscure | very powerful | pallid | very sharp | very noble | sad | very worthy | excellent | ancient | very ancient | very strong | very pleasant | pleasant | beloved | very fiery | moderate | very near | swollen | troublesome | powerful | holy | wealthy | hard | magnificent | ponderous | numerous | loyal | few | very heavy | abundant | high | suitable | very difficult | sweet | very old | curious | very few | bitter | very attentive | very easy | very cold | acute | illustrious | very fertile | excellently | very absurd | penetrating | very fortunate | swift | infamous | terribly | very necessary | very useful | frightful | fierce | very wealthy"
like,34263,"resembling | like | similar | oid | ashen | ribes-like"
full,31141,"full"
make,26577,"golden | made | twiggy | brick | rushy | peacock-feathered | maple | forwarding | earthy | rocky | rose-made | cork | berry-bearing | henna | papyrus | acorned | wicker | oxhide | issuing | pea | chalky | ivy | iron | willow | linden | hempen | breaden | iris-made | marble | olivewood | leathern | castor | earthen | leather | wooden | boxwood | woollen | byssine | floral | rose | acorn-producing | reedy | ruddled | lily | fleshy | ceramic | wheaten | horny | bony | felted | flaxen | linen | feathered | mushroom | flinty | onyx | millstone | lotuswood | basilic | hazel | pine-bearing | lilied | root-derived | amber | producing fire | marten-skin | producing | bringing up | mallow-fibered | stannous | tufaceous | hogskin | leafy | stalked | elder | tearful | reeden | esparto-made | fir | color-changing | chestnut | distressing | sandalwood | alabaster | grassy | cedar | vetch-based | haircloth | cornelian | executing | bringing forth | carbuncled | bean-made | ferrous | myrtle | bringing victory | holm-oak | vetchy | saffron | beech | storacic | spelt | barky | pearwood | rushen | almond | celery | alder | chaste-tree | morria | silver | sinewy | laurel | gutty | honeyed | tow | mastic | bringing delight | dill | asphodel | groaty | barley | cumin | bringing in | holm oak | damaging | henbane | black-cumin | monolithic | clayey | basil | wild-vine | brazen | panacean | lentil | brightening | lupine | citrous | dreggy"
bear,8854,"bearing | -bearing | toothed | hooked | returning | carrying | armed | fontal | cone-bearing | gold-bearing | triangular | tolerant | spiny | golden-berried | bearing well | berried | saddle-bearing | winged | downy | cluster-bearing | planetless | fasces-bearing | bearing gold | club-bearing | staff-bearing | thyrsus-bearing | gait | bow-bearing | woody | bearing flowers | carrying out | axe-bearing | bearing berries | bag-carrying | parasol-bearing | biga-bearing | eponymous | quiver-bearing"
arm,8345,"lance-bearing | spear-armed | shield-bearing | shielded | bow-bearing | javelined | parma-armed"
somewhat,7662,"glabrate | somewhat long | slightly | palish | rough | somewhat hairy | somewhat obscure | somewhat | florid | somewhat curly | tired | rustic | ginger | clownish | sad | deaf | bitterish | somewhat angry | somewhat better | blemished | somewhat transparent | somewhat quickly | refractory | vexatious | rancidish"
dwell,6771,"to inhabit | place | inhabiting | aquatic | shady | sapporo | field-dwelling | norfolk | rural | desert-dwelling | communal | potiguar | african | gravel-dwelling"
