term,occurrences,forms
to inhabit,33030,4823
bristle,30807,4123
appearance,26441,2537
half,26211,3960
goldenfleece,25809,24
hedgehog,22608,3500
holm oak,21685,1134
vermilion,16881,2482
supportive,16313,2903
fawn,14301,3173
bramble,14068,63
variegated,13429,1097
el,13222,2506
opus,13095,951
southern,12119,102
nape,11838,1195
marl,11734,1029
sporus,11712,1786
arum,11616,803
forehead,11559,1052
beautiful,11552,391
zeus,11356,2541
carrier,11322,512
dotted,11255,1260
grey,11173,1848
related,11070,3035
sedge,11064,276
adjectival,11016,1174
pore,10813,1435
io,10813,2352
intermediate,10366,34
whiten,10249,1493
leah,10175,1260
african,9794,925
husk,9788,1389
prolonged,9556,209
sea lettuce,9400,575
mistress,9279,1078
yellow ochre,9244,1312
equal,9176,983
praenomen,9121,1414
rump,9109,1389
baris,9057,1343
nike,9036,1620
ic,9015,1783
shaggy,8870,423
eighth note,8822,852
ful,8787,640
vertebra,8448,19
first,8384,677
ivy,8348,46
water parsley,8289,1664
himalaya,8221,941
belly,8194,1073
bucket,8138,1765
double,8082,667
cl,8026,888
mono,7891,820
visible,7796,730
oaken,7784,98
temporal,7724,1421
hypericon,7710,797
hari,7615,425
reversal,7589,1305
beautiful,7434,654
pleural,7382,532
flint,7106,965
ker,7100,1242
urinary,7064,498
bicolored,7025,116
subordinate,6988,304
chilon,6967,895
ior,6947,749
tormenting,6947,2063
caria,6939,834
varied,6890,954
stigma,6843,896
indian,6841,86
naked,6820,596
ino,6796,882
belly,6761,680
struck,6719,390
neighbouring,6711,86
eastern,6528,12
turban,6452,303
bent,6400,363
twenty,6385,925
terrestrial,6370,980
dung,6320,89
ing,6310,1793
seres river,6305,1478
tadpole,6284,67
laevi,6253,437
lentil,6249,1435
cyme,6188,1107
asp,6138,723
actress,6077,1052
annual,6065,413
keos,6015,1242
willow,6003,257
augusta,5956,1131
acrid,5921,620
husked,5912,528
ochus,5902,540
ops,5887,686
ripening,5885,27
earliest,5880,946
alpine,5865,7
flea,5830,687
haploid,5823,533
jesus,5819,1220
fig tree,5770,330
appearance,5762,854
bristly,5720,7
gnat,5692,94
einkorn,5688,613
indeed,5612,1763
yoke,5611,478
oscillating,5607,260
october,5607,307
distress,5588,1058
gift,5587,984
gadfly,5562,111
olive,5504,572
mexican,5424,49
robe,5400,516
pebble,5378,674
serican,5371,475
ops,5353,1039
punctuated,5330,8
iole,5329,388
onyx,5305,525
garum,5303,1313
protuberance,5299,908
unity,5265,117
western,5261,6
celestial body,5244,266
pluto,5233,1303
-bearing,5199,394
cornel,5148,399
elias,5142,384
cubit,5141,825
scab,5138,493
trope,5103,570
roof,5095,379
verdant,5077,119
elecampane,5054,428
bleating,5049,880
irregular,5035,81
fetter,5028,593
dirphys,5025,869
tinder fungus,4973,32
oblique,4968,478
forelock,4909,842
reticulated,4905,7
lichen,4903,105
hammerhead shark,4812,22
tlos,4779,444
proclaim,4712,435
gait,4701,333
sinew,4683,675
eve,4682,522
sorrel,4681,590
census,4671,628
venus,4649,338
pious,4619,955
lance-bearing,4591,7
kettle,4571,34
aurochs,4569,434
dinah,4564,566
coccus,4551,485
bestial,4549,742
hunchbacked,4545,522
sexi,4542,525
tomis,4539,549
axletree,4533,476
acacia,4483,42
germanic tribe,4482,1215
caught,4465,276
chaste tree,4460,323
water plantain,4438,710
trachis,4435,355
wrestling,4397,353
galingale,4393,53
christ,4387,610
pleura,4385,616
bluish,4370,428
equipped,4358,64
maimed,4358,239
bristly,4356,5
fallow-land,4355,396
radon,4329,652
brazilian,4310,19
spotted,4303,405
having cilia,4277,261
-phile,4270,495
cloak,4270,316
chian wine,4269,763
thorax,4257,378
wagtail,4241,329
blond,4234,39
thracian,4224,405
rotatory,4212,339
ravenous hunger,4158,30
chinese,4147,66
idaean,4139,3883
thermodon,4116,745
acanthus,4101,1305
blanching,4100,244
minnow,4091,598
cush,4059,437
rejoiced,4047,12
millet,4036,13
sage,4024,44
eugenia,3995,15
heath,3976,159
peneus,3961,533
northern,3956,779
vetch,3945,562
arcade,3925,1136
tremate,3919,407
seining,3906,367
american,3886,20
miltwaste,3884,9
eyelid,3883,457
testicle,3876,167
celtici,3874,533
sibae,3873,685
pleasant,3871,247
tylos,3855,336
terrible,3832,1020
rhus,3826,452
golden,3821,154
belly,3817,601
depth,3815,351
levi,3813,667
jar,3806,535
went,3805,723
spindle,3803,258
yew,3799,285
californian,3795,36
whey,3768,369
shovel,3752,660
chinese,3745,144
hypius,3726,478
mace,3717,326
burial,3706,728
pearl,3700,189
occipital bone,3695,1585
iliad,3689,741
carvable,3685,404
indian,3681,541
apt,3674,164
com,3648,638
thee,3643,590
corioli,3643,552
sinus,3625,816
proto,3590,670
muscular,3576,446
brutal outrage,3567,444
ashen,3566,12
centaurea centaurium,3557,3
set aside,3536,26
chub,3510,461
beautiful,3497,281
nera,3496,732
barbel,3476,388
persephone,3475,260
maggot,3471,254
krypton,3462,361
marine,3461,59
enfolding,3460,131
taunt,3459,272
forceps,3435,210
cylon,3412,538
aunt,3410,387
thrifty,3398,242
fraud,3365,310
gentian,3360,27
ceaseless wandering,3360,691
cleft,3359,278
grey,3358,536
mina,3357,576
cicada,3345,102
rome,3329,561
peperomia,3314,8
made,3308,168
shaggy,3290,623
foliage,3286,125
northern,3285,27
arable,3284,393
turnip,3282,417
oleander,3271,3
cloak,3271,116
woodlouse,3265,462
berga,3225,891
bidirectional,3219,60
parsley,3219,530
darkening,3215,342
sage,3190,53
baiae,3190,652
fleece,3188,806
amenemhat,3182,630
threshing floor,3176,359
sora,3172,545
nisida,3169,612
mussel,3151,243
stature,3151,425
stellar,3142,295
garlic,3130,450
coconut,3127,570
pallidum,3125,419
spacious,3119,359
kernellous,3108,128
laundryman,3107,364
unarmed,3094,86
gudgeon,3094,335
bustard,3094,202
reprisal,3070,707
gala,3046,778
becoming blackish,3044,61
ductile,3038,79
toward,3032,396
shovel,3031,338
long-legged,3023,21
clio,3016,269
metope,2997,247
xenon,2993,534
unseen,2986,286
caius,2986,809
deceptive,2978,36
apex,2977,682
southeast wind,2966,519
laius,2961,678
beautiful,2953,6
mime,2947,119
ivory,2944,226
giga,2932,149
raphe,2903,341
mountaineer,2895,57
nourishment,2886,488
ode,2872,345
sylvan,2869,29
hoarseness,2868,641
cleft,2866,223
agitation,2864,166
cyclops,2859,132
gazelle,2847,37
neon,2838,594
double,2823,179
bent hams,2820,414
flay,2812,367
elliptical,2803,9
alpine,2801,282
enlargement,2798,116
panicle,2783,96
incense,2783,336
ovular,2778,320
boot,2770,128
made pointed,2769,83
murex,2755,113
ribbon,2753,309
fiery,2747,673
praenomen,2735,325
den,2732,218
twice,2726,558
sack,2722,386
saffron,2721,279
weevil,2717,22
formosan,2715,12
probe,2715,350
artemis,2710,38
bottle,2705,178
plough-beam,2686,506
