term,parts,occurrences,forms
provided with,provide with,155396,20806
passageway,passage way,22527,1999
shaped like,shape like,19952,5020
lawsuit,law suit,15455,2414
extended form,extend form,9797,1391
storage space,storage space,9367,828
small staff,small staff,9134,1479
pure gold,pure gold,8827,1461
old man,old man,7384,125
eyebrow,eye brow,6977,549
blackberry,black berry,6718,1072
nightshade,night shade,6159,153
ribbed,rib bed,5967,675
south wind,south wind,5906,1051
hair ornament,hair ornament,5808,442
redwing,red wing,5335,653
fishing net,fish net,5211,706
woodworm,wood worm,5079,626
childbirth,child birth,4903,881
south wind,south wind,4825,720
shipway,ship way,4782,353
forage,for age,4768,220
dripping,drip ping,4762,721
pure wine,pure wine,4755,746
furrow,fur row,4726,471
somehow,some how,4624,360
furrowed,fur row,4611,10
bedstraw,bed straw,4575,195
very small,very small,4569,606
countryside,country side,4538,748
nonself,non self,4534,804
woodworm,wood worm,4476,428
hard substance,hard substance,4449,640
dark blue,dark blue,4315,637
ball-shaped mass,ball shape mass,4292,249
purple-fish,purple fish,4161,383
rose-colored,rose color,4139,536
with thorns,with thorn,4105,464
handsome,hand some,4080,40
screech owl,screech owl,4068,380
tending to,tend to,3989,1866
moderate,mode rate,3896,49
disgrace,die grace,3891,385
polypody,pole pod,3791,2
human being,human being,3785,479
old man,old man,3708,827
wedge-shaped,wedge shape,3706,178
callused,call use,3598,319
peaceable,peace able,3594,85
domestic animal,domestic animal,3554,394
whitetop,white top,3522,55
extraordinary,extra ordinary,3465,56
black oak-fern,black oak fern,3435,7
clansman,clan man,3419,341
three each,three each,3382,413
puffball,puff ball,3233,140
firefly,fire fly,3216,6
bugloss,bug lose,3213,311
thighbones,thigh bone,3197,348
without cause,without cause,3158,709
shining white,shin white,3063,106
chestnut,chest nut,3050,92
stone-crushing,stone crush,3035,19
firewood,fire wood,3027,315
will say,will say,3021,634
you buy,you buy,2998,729
saw-toothed,saw tooth,2994,537
distribute,die tribute,2985,198
reddish,red dish,2965,479
she-wolf,she wolf,2878,48
fair wind,fair wind,2869,420
small shield,small shield,2843,96
female slave,female slave,2783,441
defendant,defend ant,2775,396
furrow,fur row,2774,361
footlet,foot let,2759,248
catkin,cat kin,2702,361
male name,male name,2678,372
two each,two each,2643,637
barley-beer,barley beer,2633,773
stronghold,strong hold,2626,337
swimming,swim me,2623,251
butterfly,butter fly,2598,49
whirlwind,whirl wind,2590,33
big toe,big toe,2583,439
that writes,that write,2546,290
shipworm,ship worm,2524,518
chestnut,chest nut,2507,469
dissected,die sect,2500,136
ringlet,ring let,2496,415
grow hairy,grow hair,2467,278
pilot fish,pilot fish,2465,21
lissus,lie sue,2450,197
spread out,spread out,2444,153
rotten,rot ten,2435,120
labor pains,labor pain,2409,322
discus,die cue,2408,302
feather-shaped,feather shape,2397,299
goldflower,gold flower,2395,2
having many-flowers,have many flower,2390,4
seatable,sea table,2390,85
flower medicine,flower medicine,2384,227
suitable,suit able,2354,287
earthquake,earth quake,2349,460
sea-eagle,sea eagle,2337,741
round-leaved,round leave,2336,13
broken apart,broken apart,2325,71
bugloss,bug lose,2322,434
landlady,land lady,2301,385
riverbank,river bank,2270,123
acornlet,acorn let,2256,260
withered,wit here,2225,204
will know,will know,2208,474
be absent,be absent,2191,408
broad-leaved,broad leave,2178,7
