term,occurrences,forms
named after,457286,34149
suffix,55755,8089
s,41933,5367
pertaining,26973,2466
suffix,24200,3662
verbal adjective,20714,2329
aitch,18925,4777
diminutive,16532,724
c,14621,1854
relating,12267,1182
d,11320,1476
chi,9739,2361
k,9246,2990
feminine,8745,518
b,8299,2015
feminine,8028,1098
t,7873,1816
em,7726,1443
participle,5770,564
n,5707,1366
gee,5470,1183
pertaining,4817,878
diminutive,3628,388
diminutive,3591,284
pertaining,2850,340
iota,2578,261
phi,2544,517
diminutive,2424,205
psi,1879,351
sigma,1798,260
phylum,1654,172
suffix,1648,220
cognomen,1607,233
tau,1596,431
suffix,1468,291
patronymic,1427,154
cognomen,1390,116
feminine,1321,94
cognomen,1211,22
diminutive suffix,1191,177
iota,1125,115
cognomen,1105,176
lambda,785,209
pertaining,724,176
delta,705,149
alpha,622,159
beta,599,147
cognomen,596,57
suffix,574,112
augmentative,572,191
diminutive,552,97
diminutive,542,63
cognomen,529,21
epithet,487,7
gamma,450,109
cognomen,374,79
participle,356,104
delta,354,140
accusative plural,347,135
suffix,317,31
suffix,281,32
pertaining,281,64
omicron,273,46
cognomen,258,42
kingdom,247,5
suffix,247,61
epsilon,231,44
omega,230,56
masculine cognomen,216,61
upsilon,213,60
cognomen,197,52
lambda,174,2
cognomen,173,46
zeta,165,39
wye,162,12
suffix,151,65
epithet,127,52
e,124,14
nominative,110,11
epithet,100,21
kappa,91,30
feminine,62,3
cognomen,61,8
cognomen,46,13
cognomen,46,8
abbreviation,43,14
numeral,42,4
neuter,40,11
alpha,40,27
feminine,39,4
feminine,38,3
abbreviation,38,17
xi,33,15
epithet,31,3
cognomen,31,9
zeta,28,11
gee,23,9
feminine,22,6
abbreviation,18,8
cognomen,18,11
cognomen,17,4
cognomen,17,8
suffix,16,14
alphabet,14,2
suffix,12,7
cognomen,10,4
l,9,1
epithet,9,3
cognomen,9,6
gentile,6,3
feminine,5,1
abbreviation,5,2
dative,5,3
d,4,2
r,3,1
epithet,3,1
abbreviation,3,2
abbreviation,3,2
suffix,3,2
nomen,3,2
genitive,3,2
participle,2,1
cognomen,2,1
variant,2,2
epithet,1,1
diminutive,1,1
dative,1,1
epithet,1,1
verbal,1,1
abbreviation,1,1
nominative,1,1
cognomen,1,1
