term,occurrences,forms
montane,8300,7
olaf,8148,1361
nickname,7878,1352
vis,7452,757
lerma,7354,577
rachel,6664,684
skyros,5582,687
female name,5240,436
syme,4879,443
trigon,4422,475
insular,4267,73
parma,4221,971
otus,4035,316
phaedromus,3539,235
kythira,3536,301
ham,3388,408
myron,3107,279
apama,3089,581
kythira,3028,210
maues,2996,656
hanno,2846,321
samos,2774,474
ararat,2669,619
calpas,2609,496
bion,2606,200
rubi,2585,320
mountaineer,2583,95
volga,2493,311
cosenus,2390,661
cotys,2347,584
togo,2301,302
omphale,2234,177
iberian,2144,156
fortress,2119,654
stephen,2057,266
thera,1978,300
atrium,1957,361
syme,1954,227
ann,1937,305
bolivia,1934,66
dor,1913,222
eulaeus,1875,348
minho,1862,726
ath,1831,206
kos,1819,520
island town,1817,119
anllóns,1798,448
noto,1796,316
lycus,1780,133
icaria,1710,160
chios,1695,235
ono,1686,162
cherchell,1671,442
poros,1613,330
panama,1584,32
rowan,1550,274
thecla,1487,13
female name,1460,254
esau,1459,253
cleitus,1444,74
tunis,1398,461
arizona,1364,28
syrian town,1355,216
rab,1292,187
phyte,1291,80
simois,1259,226
congius,1255,124
allia,1248,300
gens,1236,149
egerius,1204,185
benjamin,1200,342
andros,1187,91
soli,1162,318
leon,1161,108
teispes,1161,129
creon,1051,156
skyros,1046,81
sinni,1036,262
trapani,1021,133
dyme,1020,90
ghana,973,335
andrew,947,133
atax,899,188
alps,893,188
catius,880,296
neriton,872,21
cimon,872,191
guinea,857,82
leon,840,135
trojan,831,121
eunice,830,12
cádiz,822,98
siena,820,110
hymees,815,35
samos,780,145
isabella,776,55
adige,768,236
tobias,761,79
orco,751,112
ornain,739,123
irene,723,70
robert,714,125
otto,709,119
arabian town,696,131
auge,692,81
family name,689,93
atlas,684,103
given name,680,78
abalus,675,83
insular,669,28
arno,664,218
aswan,657,120
otanes,655,111
colombia,653,31
cleinias,647,69
menes,645,34
echion,643,110
buna,628,110
oread,625,100
hymaes,624,72
anthemus,619,60
