leaf,verdict,parts,why
nilotic,name,,of the river Nile and a place
moldiness,compound,mold,the state of being mouldy
bonito,name,,the sarda fish named only for itself
swathe,compound,wrap,to wrap around in bands
endowment,compound,give gift,what is given to hold
plover,name,,the charadrius bird named only for itself
bisected,compound,two cut,cut into two
fume,compound,smoke,the rising smoke or vapour
parrotfish,compound,parrot fish,the fish with a beak like a parrot
saucepan,compound,cook pan,the pan with a handle
splay,compound,spread,spread wide apart
saviour,compound,save man,the one who saves
daw,compound,crow,the jackdaw
condyle,compound,joint bone,the rounded end of a bone at a joint
fastidious,compound,hard please,hard to please
earthling,compound,earth man,one who lives on the earth
seizure,compound,grab,the sudden taking hold
anodyne,compound,pain stop,what stops pain
vehement,compound,strong,carried on with force
cinerarium,compound,ash pot,the pot that holds the ashes
teat,compound,milk point,the point the milk comes from
weft,compound,weave thread,the thread carried across the loom
pygidium,compound,tail plate,the hind plate of an insect
yoking,compound,yoke,the form of yoke
trigonal,compound,three corner,having three corners
bracelet,compound,arm ring,the ring worn on the arm
thunderstorm,compound,thunder storm,the storm that thunders
sowing,compound,sow,the form of sow
foal,compound,young horse,the young horse
costus,name,,the saussurea root named only for itself
